C0000731  ABDOMINAL DISTENTION
C2059328  ultrasound abdominal adrenal gland cyst multiple
C2061838  X-ray UGI small bowel diverticula
C2061839  X-ray UGI small bowel ulcer
C2062051  X-ray lumbosacral spine fracture burst
C2062302  X-ray lumbosacral spine fracture pediatric greenstick
C2062357  post small intestine resection (diagnosis)
C2062967  post cholecystectomy (diagnosis)
C2064643  large intestine biopsy benign granular cell tumor (procedure)
C2064645  large intestine biopsy benign ganglioneuromatosis (procedure)
C2064648  large intestine biopsy squamous cell carcinoma (procedure)
C2064649  large intestine biopsy adenosquamous carcinoma (procedure)
C2064650  large intestine biopsy small cell carcinoma
C2064651  large intestine biopsy malignant undifferentiated carcinoma (procedure)
C2064652  large intestine biopsy leiomyosarcoma
C2064653  large intestine biopsy malignant carcinoid tumor (procedure)
C2064654  biopsy large intestine malignant mixed carcinoid-adenocarcinoma
C2064655  large intestine biopsy Kaposi's sarcoma
C2064656  large intestine biopsy malignant lymphoma
C2064657  large intestine biopsy adenocarcinoma
C2064665  large intestine biopsy Duke's A adenocarcinoma (procedure)
C2064666  large intestine biopsy Duke's B adenocarcinoma (procedure)
C2064668  large intestine biopsy Duke's B2 adenocarcinoma (procedure)
C2064669  large intestine biopsy Duke's C adenocarcinoma
C2064670  large intestine biopsy Duke's C1 adenocarcinoma
C2064671  large intestine biopsy Duke's C2 adenocarcinoma (procedure)
C2064673  large intestine biopsy benign polyposis coli (procedure)
C2064674  biopsy large intestine polyposis coli familial
C2064676  large intestine biopsy polyposis coli retention (procedure)
C2064677  large intestine biopsy benign hyperplastic polyp (procedure)
C2064678  large intestine biopsy benign Gardner's syndrome
C2064679  large intestine biopsy benign sigmoid polyps (procedure)
C2064681  large intestine biopsy benign Turcot's syndrome (procedure)
C2071388  white patches of oropharynx
C2071389  lip epithelial lesion ulcer (___ cm)
C2071390  white exudate of lip
C2071391  tonsils enlargement asymmetrically
C2071392  asymmetrical enlargement of tonsils with right greater than left (physical finding)
C2071393  asymmetrical enlargement of tonsils with left greater than right (physical finding)
C2071437  diminished or absent bowel sounds in right upper quadrant (physical finding)
C2071438  decreased or absent bowel sounds in left upper quadrant
C2071439  bowel sounds diminished or absent RLQ
C2071440  decreased or absent bowel sounds in left lower quadrant
C2071441  abdomen hernia umbilical not reducible
C2071442  non-reducible inguinal hernia (physical finding)
C2071466  white patch on buccal mucosa does not wipe off (physical finding)
C2071467  white patch of tongue that does not wipe off (physical finding)
C2071468  lacelike white patch of tongue (physical finding)
C2073926  choking on foreign object (symptom)
C2073929  cholecystostomy present
C2074724  chronic improper nutrition (diagnosis)
C2074726  chronic insufficient nutrition
C2075225  circumoral ulcer on left side (#___) (physical finding)
C2075226  depth of circumoral ulcer on left side (physical finding)
C2075227  width of circumoral ulcer on left side
C2075228  circumoral ulcer on right side (#___)
C2075229  depth of circumoral ulcer on right side (physical finding)
C2075230  width of circumoral ulcer on right side
C2075507  clean incision of anus
C2075684  the lip was completely cleft
C2075685  left complete cleft lip (physical finding)
C2075686  right complete cleft lip (physical finding)
C2075687  incomplete cleft lip was observed
C2075688  left incomplete cleft lip (physical finding)
C2075689  right incomplete cleft lip
C2075692  cleft lip with prolabium displacement (physical finding)
C2075693  cleft lip with anterior prolabium displacement (physical finding)
C2075694  cleft lip with posterior prolabium displacement (physical finding)
C2075695  cleft lip with superior prolabium displacement (physical finding)
C2075698  cleft lip with presence of Simonart's band
C2075699  the palate was completely cleft on the left side
C2075700  the palate was completely cleft on the right side
C2075701  incomplete cleft palate was observed on the left side
C2075702  incomplete cleft palate was observed on the right side
C2076571  inflammation of both adenoids
C2076572  inflammation of buccal mucosa (physical finding)
C2076574  inflammation of left adenoid
C2076579  inflammation of right adenoid (physical finding)
C2076651  infraorbital wrinkles
C2077391  insufficient nutrition (diagnosis)
C2077392  edema due to insufficient nutrition (diagnosis)
C2077394  moderate insufficient nutrition
C2077851  manually reducible internal hemorrhoids (grade III) (physical finding)
C2077852  nonprolapsing internal hemorrhoids (grade I) (physical finding)
C2077853  nonreducible internal hemorrhoids
C2077854  internal hemorrhoids reduce spontaneously (grade II) (physical finding)
C2079301  irregular frequency of meals with extended period between (history)
C2079849  petechial hemorrhage of cheek
C2079850  petechial hemorrhages of both cheeks
C2079851  petechial hemorrhage of left cheek (physical finding)
C2079852  petechial hemorrhage of left inner cheek
C2079853  petechial hemorrhage of left lower cheek (physical finding)
C2079854  petechial hemorrhage of left outer cheek
C2079855  petechial hemorrhage of left upper cheek
C2079856  petechial hemorrhage of right cheek
C2079857  petechial hemorrhage of right inner cheek (physical finding)
C2079858  petechial hemorrhage of right lower cheek (physical finding)
C2079859  petechial hemorrhage of right outer cheek
C2079860  petechial hemorrhage of right upper cheek
C2079902  petechial hemorrhage of lower lip (physical finding)
C2079903  petechial hemorrhage of entire lower lip (physical finding)
C2079904  petechial hemorrhage of left lower lip (physical finding)
C2079905  petechial hemorrhage of right lower lip
C2079906  petechial hemorrhage of lip skin (physical finding)
C2079907  petechial hemorrhage of upper lip (physical finding)
C2079908  petechial hemorrhage of entire upper lip
C2079909  petechial hemorrhage of left upper lip (physical finding)
C2079910  petechial hemorrhage of right upper lip
C2079911  petechial hemorrhage of vermilion border of lip (physical finding)
C2079925  petechial hemorrhage of nasolabial groove
C2079938  petechial hemorrhage of philtrum
C2080367  pharynx epithelial lesion leukoplakia (___ cm)
C2080431  X-ray pharynx foreign body
C2081682  plaque on the face along the jaw line anterior
C2081683  plaque on the face along the jaw line entire
C2081684  plaque along jaw line
C2081685  plaque on the face along the jaw line left
C2081686  plaque along posterior jaw line
C2081687  plaque on the face along the jaw line right
C2081740  plaque on anal region (physical finding)
C2081769  plaque on both cheeks (physical finding)
C2081862  plaque on entire lower lip (physical finding)
C2081865  plaque on the face lip upper entire
C2081963  plaque on left lower lip
C2082001  plaque on left upper lip (physical finding)
C2082005  plaque on the face lip
C2082008  plaque on lower lip (physical finding)
C2082055  plaque on nasolabial groove (physical finding)
C2082085  plaque on philtrum
C2082170  plaque on right lower lip (physical finding)
C2082208  plaque on right upper lip
C2082214  plaque on the face lip skin
C2082282  plaque on the face lip upper
C2082284  plaque on the face lip vermilion
C2087122  lesions on the face lip upper right
C2087123  lesions on the face lip upper left
C2087124  lesions on the face lip upper entire
C2087125  lesions on the face lip lower
C2087126  lesions on the face lip lower right
C2087127  lesions on the face lip lower left
C2087128  lesions on the face lip lower entire
C2087489  severity of obstruction due to enlargement of tonsils
C2087491  adenoids enlargement severity of hypertrophy ___(0-4+)
C2087500  swelling of nasopharynx on right (physical finding)
C2087501  swelling of nasopharynx on left
C2087502  swelling of nasopharynx on both sides
C2087507  nasopharynx mass right (___ cm)
C2087508  nasopharynx mass left (___ cm)
C2087509  nasopharynx mass bilateral (___ cm)
C2087510  nasopharynx mass fluctuant (___ cm)
C2087511  nasopharynx mass rubbery (___ cm)
C2087512  nasopharynx mass hard (___ cm)
C2087572  warmth and inflammation of tonsils
C2087573  tonsillar induration
C2087574  inflammation of right tonsil
C2087575  inflammation of left tonsil (physical finding)
C2087576  inflammation of both tonsils
C2087577  bilateral swelling of tonsils
C2087578  tonsils tenderness
C2087579  tenderness of right tonsil (physical finding)
C2087580  tenderness of left tonsil
C2087581  tenderness of both tonsils (physical finding)
C2087582  tonsils mass (___ cm)
C2087583  tonsils mass fluctuant (___ cm)
C2087584  tonsils mass rubbery (___ cm)
C2087585  tonsils mass hard (___ cm)
C2087586  tonsils mass right (___ cm)
C2087587  tonsils mass left (___ cm)
C2087588  tonsils mass bilateral (___ cm)
C2087589  warmth and inflammation of hypopharynx
C2087709  induration of buccal mucosa (physical finding)
C2087710  abscess of buccal mucosa
C2087712  mucocele buccal mucosa (physical finding)
C2087713  nasopharynx mass polypoid (___ cm)
C2087714  nasopharynx mass polypoid multiple (___ cm)
C2087718  kissing tonsils (physical finding)
C2087719  tongue ulcer (___ cm) eroding
C2087720  tongue ulcer (___ cm) hemorrhagic
C2087764  bleeding of buccal surface of maxillary gingiva (physical finding)
C2087765  bleeding of buccal surface of mandibular gingiva (physical finding)
C2087766  bleeding of labial surface of lower gums
C2087767  bleeding of labial surface of upper gums
C2087768  bleeding of lower gums on right
C2087769  bleeding of upper gums on right
C2087770  bleeding of lower gums on left
C2087771  bleeding of upper gums on left
C2087772  tooth abscess in right upper central incisor (physical finding)
C2087773  tooth abscess in right lower central incisor (physical finding)
C2087774  tooth abscess in left upper central incisor
C2087775  tooth abscess in left lower central incisor (physical finding)
C2087776  tooth abscess in right upper lateral incisor
C2087777  tooth abscess in right lower lateral incisor
C2087778  tooth abscess in left upper lateral incisor (physical finding)
C2087779  tooth abscess in left lower lateral incisor (physical finding)
C2087780  tooth abscess in right upper cuspid
C2087781  tooth abscess in right lower cuspid (physical finding)
C2087782  tooth abscess in left upper cuspid (physical finding)
C2087783  tooth abscess in left lower cuspid (physical finding)
C2087784  tooth abscess in right upper first bicuspid (physical finding)
C2087785  tooth abscess in right lower first bicuspid
C2087786  tooth abscess in left upper first bicuspid
C2087787  tooth abscess in left lower first bicuspid
C2087788  tooth abscess in right upper second bicuspid
C2087789  tooth abscess in right lower second bicuspid (physical finding)
C2087790  tooth abscess in left upper second bicuspid
C2087791  tooth abscess in left lower second bicuspid (physical finding)
C2087792  tooth abscess in right upper first molar (physical finding)
C2087793  tooth abscess in right lower first molar (physical finding)
C2087794  tooth abscess in left upper first molar (physical finding)
C2087795  tooth abscess in left lower first molar (physical finding)
C2087796  tooth abscess in right upper second molar
C2087797  tooth abscess in right lower second molar (physical finding)
C2087798  tooth abscess in left upper second molar
C2087799  tooth abscess in left lower second molar
C2087800  tooth abscess in right upper third molar (physical finding)
C2087801  tooth abscess in right lower third molar
C2087802  tooth abscess in left upper third molar (physical finding)
C2087803  tooth abscess in left lower third molar
C2087804  loose right upper central incisor (physical finding)
C2087805  loose right lower central incisor
C2087806  loose left upper central incisor
C2087807  loose left lower central incisor (physical finding)
C2087808  loose teeth right upper lateral incisor
C2087809  loose right lower lateral incisor (physical finding)
C2087810  loose teeth left upper lateral incisor
C2087811  loose teeth left lower lateral incisor
C2087812  loose teeth right upper cuspid
C2087813  loose right lower cuspid
C2087814  loose left upper cuspid (physical finding)
C2087815  loose left lower cuspid
C2087816  loose teeth right upper first bicuspid
C2087817  loose right lower first bicuspid (physical finding)
C2087818  loose left upper first bicuspid (physical finding)
C2087819  loose left lower first bicuspid
C2087820  loose right upper second bicuspid (physical finding)
C2087821  loose right lower second bicuspid (physical finding)
C2087822  loose teeth left upper second bicuspid
C2087823  loose teeth left lower second bicuspid
C2087824  loose right upper first molar (physical finding)
C2087825  loose right lower first molar (physical finding)
C2087826  loose left upper first molar
C2087827  loose teeth left lower first molar
C2087828  loose right upper second molar (physical finding)
C2087829  loose right lower second molar (physical finding)
C2087830  loose left upper second molar
C2087831  loose left lower second molar (physical finding)
C2087832  loose right upper third molar
C2087833  loose teeth right lower third molar
C2087834  loose left upper third molar (physical finding)
C2087835  loose teeth left lower third molar
C2087836  floor of mouth epithelial lesion leukoplakia (___ cm)
C2087838  induration of floor of mouth (physical finding)
C2087839  floor of mouth epithelial lesion vesicle (___ cm)
C2087840  floor of mouth epithelial lesion bulla (___ cm)
C2087841  floor of mouth mucocele (___mm)
C2087842  floor of mouth epithelial lesion desquamation
C2087843  floor of mouth abscess (___mm)
C2087844  floor of mouth epithelial lesion ulcer (___ cm)
C2087845  white spots of floor of mouth
C2087846  floor of mouth epithelial lesion patch white (___ cm)
C2087847  lacelike white patch of floor of mouth (physical finding)
C2087848  cheesy white patch of floor of mouth
C2087849  ulcerated white patch of floor of mouth
C2087850  white patch of floor of mouth does not wipe off (physical finding)
C2087852  inflammation of uvula
C2087853  erythematous inflammation of uvula
C2087854  warmth and inflammation of uvula
C2087855  uvula inflammation induration (___cm)
C2087856  inflammation of uvula on right (physical finding)
C2087857  inflammation of uvula on left (physical finding)
C2087858  bilateral inflammation of uvula
C2087859  swelling of uvula on right (physical finding)
C2087860  swelling of uvula on left
C2087861  swelling of uvula bilaterally (physical finding)
C2087862  tenderness of uvula
C2087863  tenderness of uvula on right
C2087864  tenderness of uvula on left (physical finding)
C2087865  tenderness of uvula bilaterally (physical finding)
C2087874  asymmetrical enlargement of uvula
C2087875  uvula enlargement asymmetrically right > left
C2087876  uvula enlargement asymmetrically left > right
C2087895  enlargement of anterior tonsillar pillar
C2087896  anterior tonsillar pillar enlargement asymmetrically
C2087897  ant tonsillar pillar enlargement asymmetrically right > left
C2087898  ant tonsillar pillar enlargement asymmetrically left > right
C2087899  ant tonsillar pillar enlargement severity obstruct ___(0-4+)
C2087913  posterior tonsillar pillar mass (___ cm)
C2087914  posterior tonsillar pillar mass fluctuant (___ cm)
C2087915  posterior tonsillar pillar mass rubbery (___ cm)
C2087916  posterior tonsillar pillar mass hard (___ cm)
C2087917  posterior tonsillar pillar mass right (___ cm)
C2087918  posterior tonsillar pillar mass left (___ cm)
C2087919  posterior tonsillar pillar mass bilateral (___ cm)
C2087921  asymmetrical enlargement of posterior tonsillar pillar
C2087922  post tonsillar pillar enlargement asymmetrically right>left
C2087923  post tonsillar pillar enlargement asymmetrically left>right
C2087961  posterior tonsillar arch mass (___cm)
C2087962  posterior tonsillar arch mass fluctuant (___ cm)
C2087963  posterior tonsillar arch mass rubbery (___ cm)
C2087964  posterior tonsillar arch mass hard (___ cm)
C2087965  posterior tonsillar arch mass right (___ cm)
C2087966  posterior tonsillar arch mass left (___ cm)
C2087967  posterior tonsillar arch mass bilateral (___ cm)
C2087972  tongue pierced for ornamentation
C2088001  diffuse direct tenderness of abdomen
C2088352  area of burns of forehead
C2088353  border of burns of forehead (physical finding)
C2088354  well demarcated border of burns of forehead (physical finding)
C2088355  poorly demarcated border of burns of forehead (physical finding)
C2088356  degree of burns of forehead
C2088835  contusion of right cheek
C2088836  contusion of left cheek
C2088842  contusion of right upper lip
C2088843  contusion of left upper lip (physical finding)
C2088844  contusion of right lower lip (physical finding)
C2088845  contusion of left lower lip (physical finding)
C2088847  contusion of chin right of midline
C2088848  contusion of chin midline
C2088849  contusion of chin left of midline (physical finding)
C2089002  condylomata acuminata of lip (physical finding)
C2089003  condylomata acuminata of tongue
C2089226  area of burns of abdomen (physical finding)
C2089227  border of burns of abdomen (physical finding)
C2089228  well demarcated border of burns of abdomen
C2089229  poorly demarcated border of burns of abdomen (physical finding)
C2089230  degree of burns of abdomen (physical finding)
C2089231  bleeding incision of abdominal wall
C2089232  incision of abdominal wall with arterial bleeding (physical finding)
C2089233  incision of abdominal wall with venous bleeding
C2089234  incision of abdominal wall with tissue bleeding
C2089235  weeping incision of abdominal wall
C2089236  serous drainage from incision of abdominal wall
C2089237  serosanguineous drainage from incision of abdominal wall (physical finding)
C2089238  bloody incision of abdominal wall
C2089239  purulent incision of abdominal wall (physical finding)
C2089240  incision of abdominal wall with aligned margins
C2089241  abdominal wall incision length (___ cm)
C2089242  abdominal wall incision width (___ cm)
C2089243  shape of incision of abdominal wall
C2089244  abdominal wall incision shape straight
C2089245  abdominal wall incision shape curvilinear
C2089246  abdominal wall incision shape angulated
C2089247  abdominal wall incision shape angulated V-shaped
C2089248  abdominal wall incision shape angulated Y-shaped
C2089249  L-shaped incision of abdominal wall
C2089250  abdominal wall incision shape irregular
C2089251  abdomen tissue injury incision direction
C2089252  abdomen tissue injury incision direction vertical
C2089253  abdomen tissue injury incision direction transverse
C2089254  abdominal tissue injury incision superior lateral to inferior medial
C2089255  abdominal tissue injury incision inferior lateral to superior medial
C2089256  dehiscence of incision of abdominal wall
C2089258  bleeding laceration of abdominal wall (physical finding)
C2089259  laceration of abdominal wall with arterial bleeding
C2089260  venous bleeding of a laceration on the abdomen
C2089261  laceration of abdominal wall with tissue bleeding
C2089262  weeping laceration of abdominal wall (physical finding)
C2089263  serous drainage from laceration of abdominal wall
C2089264  serosanguineous drainage from laceration of abdominal wall (physical finding)
C2089265  bloody laceration of abdominal wall
C2089266  purulent laceration of abdominal wall
C2089267  laceration of abdominal wall with aligned margins
C2089268  abdominal wall laceration length (___ cm)
C2089269  abdominal wall laceration width (___ cm)
C2089270  shape of laceration of abdominal wall
C2089271  abdominal wall laceration shape straight
C2089272  curvilinear laceration of abdominal wall (physical finding)
C2089273  angulated laceration of abdominal wall
C2089274  V-shaped laceration of abdominal wall (physical finding)
C2089275  Y-shaped laceration of abdominal wall (physical finding)
C2089276  L-shaped laceration of abdominal wall (physical finding)
C2089277  irregular laceration of abdominal wall
C2089278  abdomen tissue injury laceration direction
C2089279  abdomen tissue injury laceration direction vertical
C2089280  abdomen tissue injury laceration direction horizontal
C2089281  abdominal tissue injury laceration superior lateral to inferior medial
C2089282  abdominal tissue injury laceration inferior lateral to superior medial
C2089283  dehiscence of laceration of abdominal wall (physical finding)
C2089286  puncture of abdominal wall by needle (physical finding)
C2089287  puncture of abdominal wall by single needle
C2089288  puncture of abdominal wall by multiple needles
C2089289  abdominal wall puncture wound due tonail
C2089290  puncture of abdominal wall by ice pick (physical finding)
C2089291  puncture of abdominal wall by knife (physical finding)
C2089292  abdominal tissue injury puncture consistent with bullet entry wound
C2089293  abdominal tissue injury puncture consistent with bullet exit wound
C2089294  closed wound of abdominal wall (physical finding)
C2089295  aseptic injury of abdominal wall
C2089296  septic tissue injury of abdominal wall (physical finding)
C2089297  tissue injury to the abdomen penetrating to the viscus
C2089306  dentition in poor repair
C2089308  salivary calculus on right side
C2089309  salivary calculus on left side
C2089310  purulent discharge from Wharton's duct
C2089311  purulent discharge from right Wharton's duct (physical finding)
C2089312  purulent discharge from left Wharton's duct
C2089438  thyroid single nodule size ___cm
C2089501  lesions on the face lip skin
C2089502  lesions on the face lip vermilion
C2089895  laceration of right cheek (physical finding)
C2089896  laceration of left cheek
C2089897  laceration of both cheeks (physical finding)
C2089915  laceration of skin of lip (physical finding)
C2089916  laceration of vermilion border of lip
C2089917  laceration of upper lip (physical finding)
C2089918  laceration of right upper lip
C2089919  laceration of left upper lip
C2089920  laceration of upper lip bilaterally
C2089922  laceration of right lower lip
C2089923  laceration of left lower lip (physical finding)
C2089924  laceration of lower lip bilaterally (physical finding)
C2089925  laceration of right side of chin (physical finding)
C2089926  laceration of left side of chin
C2089927  laceration of both sides of chin
C2096729  X-ray lumbosacral spine fracture L1
C2096730  X-ray lumbosacral spine fracture L2
C2096731  X-ray lumbosacral spine fracture L3
C2096732  X-ray lumbosacral spine fracture L4
C2096733  X-ray lumbosacral spine fracture L5
C2097733  echocardiogram hepatic ___cm mass echogenicity
C2097736  ultrasound pancreatic mass echogenicity
C2098401  salivary gland biopsy acinic cell carcinoma
C2098431  large intestine biopsy overlapping lesion (procedure)
C2098432  large intestine biopsy results
C2098433  large intestine biopsy benign lipoma
C2098434  large intestine biopsy benign lipomatosis
C2098435  large intestine biopsy benign adenoma
C2098436  large intestine biopsy benign tubular adenoma (procedure)
C2098437  large intestine biopsy benign tubulovillous adenoma (procedure)
C2098438  large intestine biopsy benign villous adenoma
C2098439  large intestine biopsy benign adenomatosis (procedure)
C2098440  large intestine biopsy benign leiomyoma
C2098441  large intestine biopsy benign hemangioma
C2098442  large intestine biopsy benign lymphangioma
C2098443  large intestine biopsy benign neurilemoma (procedure)
C2098444  large intestine biopsy benign neurofibroma
C2098445  large intestine biopsy benign neurofibromatosis (procedure)
C2098446  large intestine biopsy malignant neoplasm
C2098447  large intestine biopsy benign growth (procedure)
C2098464  thyroid biopsy benign thyroid adenoma
C2104252  tuberculosis of peritoneum bacteriology and histology not done
C2104253  tuberculosis of peritoneum bacteriology and histology unknown (diagnosis)
C2104306  tuberculous salpingitis bacteriology and histology not done
C2104324  tuberculous oophoritis bacteriology and histology not done (diagnosis)
C2104325  tuberculous oophoritis bacteriology and histology unknown (diagnosis)
C2104365  tuberculosis of adrenal gland bacteriology and histology not done (diagnosis)
C2104366  tuberculosis of adrenal gland bacteriology and histology unknown
C2104371  tuberculous Addison's disease bacteriology and histology not done (diagnosis)
C2104372  tuberculous Addison's disease bacteriology and histology unknown (diagnosis)
C2104373  tuberculous Addison's disease TB (+) microscopy
C2104374  tuberculous Addison's disease TB (+) culture (-) microscopy (diagnosis)
C2104375  tuberculous Addison's disease TB (+) histology (-) bacteriology (diagnosis)
C2104376  tuberculous Addison's disease TB (+) other way (-) bacteriology (-) histology (diagnosis)
C2104379  tuberculosis of esophagus bacteriology and histology not done (diagnosis)
C2104380  tuberculosis of esophagus bacteriology and histology unknown (diagnosis)
C2104385  tuberculous gingivitis bacteriology and histology not done
C2104386  tuberculous gingivitis bacteriology and histology unknown (diagnosis)
C2104756  recurrent jaundice of pregnancy with baby delivered
C2104757  recurrent jaundice of pregnancy as antepartum condition (diagnosis)
C2106085  closed renal bx post-procedural hematoma (length) (___ cm)
C2106086  closed renal bx post-procedural hematoma (width) (___ cm)
C2106316  coffee-stained teeth (physical finding)
C2106473  abdomen ostomy type colostomy with blood
C2106474  abdomen ostomy type colostomy with gas
C2106475  colostomy with intestinal content
C2106485  abdomen ostomy type colostomy epigastric
C2106486  abdomen ostomy type colostomy LLQ
C2106487  abdomen ostomy type colostomy LUQ
C2106488  abdomen ostomy type colostomy narrowed
C2106676  complete fiberoptic colonoscopy: diffuse diverticula (procedure)
C2106677  complete fiberoptic colonoscopy: left-sided diverticula (procedure)
C2106678  complete fiberoptic colonoscopy: right-sided diverticula
C2106679  complete fiberoptic colonoscopy: scattered diverticula (procedure)
C2106682  complete fiberoptic colonoscopy: internal bleeding hemorrhoids (procedure)
C2106683  complete fiberoptic colonoscopy: internal friable hemorrhoids
C2106684  complete fiberoptic colonoscopy: internal prolapsed hemorrhoids
C2106687  complete fiberoptic colonoscopy: diminutive mass (procedure)
C2106688  complete fiberoptic colonoscopy: friable mass
C2106689  complete fiberoptic colonoscopy: hypertrophied anal papilla
C2106690  complete fiberoptic colonoscopy: polyps (procedure)
C2106691  complete fiberoptic colonoscopy: flat polyps
C2106692  complete fiberoptic colonoscopy: near-obstructing polyps (procedure)
C2106693  complete fiberoptic colonoscopy: obstructing polyps
C2106694  complete fiberoptic colonoscopy: pedunculated polyps
C2106695  complete fiberoptic colonoscopy: sessile polyps (procedure)
C2106696  complete fiberoptic colonoscopy: ulcerated mass
C2106727  complete colonoscopy (fiberoptic) dilation
C2106728  complete colonoscopy (fiberoptic) diverticula
C2106729  complete colonoscopy (fiberoptic) hemorrhoids internal
C2106730  complete colonoscopy (fiberoptic) fistula
C2106732  complete colonoscopy (fiberoptic) hemorrhoids
C2106734  complete colonoscopy (fiberoptic) hyperpigmentation
C2106736  complete colonoscopy (fiberoptic) mass (___ cm)
C2106740  complete colonoscopy (fiberoptic) mucosa ulcerated
C2108132  contours of restored tooth biologically incompatible with oral health
C2108447  jejunostomy bag empty (physical finding)
C2108448  jejunostomy bag with blood (physical finding)
C2108449  jejunostomy bag with gas
C2108450  jejunostomy with intestinal content
C2108459  abdomen ostomy type jejunostomy epigastric
C2108460  abdomen ostomy type jejunostomy LUQ
C2108461  abdomen ostomy type jejunostomy narrowed
C2108462  abdomen ostomy type jejunostomy obstructed
C2108465  abdomen ostomy type jejunostomy prolapsed
C2111422  the appendix was absent
C2111423  laparoscopy: adhesions of appendix (procedure)
C2111424  laparoscopy: dilation of appendix
C2111425  laparoscopy: endometriotic tissue of appendix
C2111426  laparoscopy: erythema of appendix (procedure)
C2111427  evidence of appendectomy
C2111428  the appendix showed fibrinous material
C2111429  laparoscopy: gangrene of appendix (procedure)
C2111430  the appendix was in a retrocecal position
C2111431  laparoscopy: rupture of appendix
C2111440  laparoscopy: adhesions of large intestine (procedure)
C2111441  laparoscopy: dilation of large intestine (procedure)
C2111442  laparoscopy: endometriotic tissue of large intestine (procedure)
C2111443  the large intestine showed Meckel's diverticulum
C2111444  laparoscopy: stricture of large intestine
C2111485  laparoscopy: adhesions of small intestine (procedure)
C2111486  laparoscopy: dilation of small intestine
C2111487  laparoscopy: endometriotic tissue of small intestine (procedure)
C2111488  the small intestine showed Meckel's diverticulum
C2111489  laparoscopy: stricture of small intestine (procedure)
C2112133  post-delivery exam cervical laceration (___ mm)
C2112134  post-delivery exam showing cervical laceration at specified location
C2112158  post-delivery exam vaginal sulcus tear (___ cm)
C2112159  post-delivery exam vaginal sulcus tear left sidewall (cm)
C2112160  post-delivery exam vaginal sulcus tear right sidewall (cm)
C2112754  post-osseointegration biological failure of dental implant due to complications of systemic disease (diagnosis)
C2112755  iatrogenic post-osseointegration biological failure of dental implant (diagnosis)
C2112756  post-osseointegration biological failure of dental implant due to lack of attached gingiva
C2112757  post-osseointegration biological failure of dental implant due to occlusal trauma (diagnosis)
C2112758  post-osseointegration biological failure of dental implant due to parafunctional habits
C2112759  post-osseointegration biological failure of dental implant due to periodontal infection
C2112760  post-osseointegration biological failure of dental implant due to poor oral hygiene
C2112761  post-osseointegration biological failure of dental implant due to occlusal trauma caused by poor design (diagnosis)
C2112762  post-osseointegration fracture of dental implant
C2112816  status post gastric or duodenal anastomosis (diagnosis)
C2112817  status post intestinal bypass (diagnosis)
C2112818  status post gastric banding
C2112819  status post gastric bypass for obesity (diagnosis)
C2112820  post-obesity surgery
C2114692  difficulty nursing with nipple shield (symptom)
C2114725  rigid proctosigmoidoscopy: bleeding internal hemorrhoids
C2114726  rigid proctosigmoidoscopy: friable internal hemorrhoids (procedure)
C2114727  rigid proctosigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2114739  proctosigmoidoscopy (rigid) hemorrhoids
C2114740  proctosigmoidoscopy (rigid) hemorrhoids internal
C2116022  firm nodule of thyroid (physical finding)
C2116023  firm nodule of left lobe of thyroid
C2116024  firm nodule of right lobe of thyroid
C2116025  fixed nodule of thyroid (physical finding)
C2116026  fixed nodule of left lobe of thyroid
C2116027  fixed nodule of right lobe of thyroid
C2116034  hard, small, and smooth nodule of thyroid
C2116035  hard, small, and smooth nodule of left lobe of thyroid (physical finding)
C2116036  hard, small, and smooth nodule of right lobe of thyroid (physical finding)
C2116082  thyroid nodule
C2116147  single nodule of thyroid (physical finding)
C2116148  single hard nodule of thyroid (physical finding)
C2116149  single nodule of thyroid with increase in size since prior exam (physical finding)
C2116150  single nodule of midline thyroid
C2116151  single nodule of left lobe of thyroid (physical finding)
C2116152  single nodule of right lobe of thyroid
C2116153  single tender nodule of thyroid (physical finding)
C2116159  soft nodule of thyroid (physical finding)
C2116160  soft nodule of left lobe of thyroid (physical finding)
C2116161  soft nodule of right lobe of thyroid (physical finding)
C2116883  teeth discoloration tobacco-stained
C2118640  tuberculosis of nasopharynx bacteriology and histology not done (diagnosis)
C2118641  tuberculosis of nasopharynx bacteriology and histology unknown
C2121405  sigmoidoscopy (fiberoptic) diverticula
C2121406  fiberoptic sigmoidoscopy: diffuse diverticula (procedure)
C2121407  fiberoptic sigmoidoscopy: left-sided diverticula (procedure)
C2121408  fiberoptic sigmoidoscopy: right-sided diverticula (procedure)
C2121409  fiberoptic sigmoidoscopy: scattered diverticula
C2121410  sigmoidoscopy (fiberoptic) mass (___ cm)
C2121411  fiberoptic sigmoidoscopy: diminutive mass (procedure)
C2121412  fiberoptic sigmoidoscopy: polyps (procedure)
C2121413  fiberoptic sigmoidoscopy: flat polyps (procedure)
C2121414  fiberoptic sigmoidoscopy: pedunculated polyps (procedure)
C2121415  fiberoptic sigmoidoscopy: sessile polyps
C2121416  fiberoptic sigmoidoscopy: obstructing polyps
C2121417  fiberoptic sigmoidoscopy: near-obstructing polyps (procedure)
C2121418  fiberoptic sigmoidoscopy: ulcerated mass
C2121419  fiberoptic sigmoidoscopy: friable mass (procedure)
C2121420  fiberoptic sigmoidoscopy: hypertrophied anal papilla (procedure)
C2121421  sigmoidoscopy (fiberoptic) hemorrhoids
C2121422  sigmoidoscopy (fiberoptic) hemorrhoids internal
