C0008301  Choking
C2028037  purulent discharge of gums on mesial surface of right mandibular first molar (physical finding)
C2028038  purulent discharge of gums on right mandibular lateral incisor (physical finding)
C2028039  purulent discharge of gums on distal surface of right mandibular lateral incisor
C2028040  purulent discharge of gums on labial surface of right mandibular lateral incisor (physical finding)
C2028041  purulent discharge of gums on lingual surface of right mandibular lateral incisor (physical finding)
C2028042  purulent discharge of gums on mesial surface of right mandibular lateral incisor (physical finding)
C2028043  purulent discharge of gums on right mandibular second bicuspid (physical finding)
C2028044  purulent discharge of gums on buccal surface of right mandibular second bicuspid (physical finding)
C2028045  purulent discharge of gums on distal surface of right mandibular second bicuspid
C2028046  purulent discharge of gums on lingual surface of right mandibular second bicuspid (physical finding)
C2028047  purulent discharge of gums on mesial surface of right mandibular second bicuspid (physical finding)
C2028048  purulent discharge of gums on right mandibular second molar
C2028049  purulent discharge of gums on buccal surface of right mandibular second molar
C2028050  purulent discharge of gums on distal surface of right mandibular second molar (physical finding)
C2028051  purulent discharge of gums on lingual surface of right mandibular second molar
C2028052  purulent discharge of gums on mesial surface of right mandibular second molar
C2028053  purulent discharge of gums on right mandibular third molar (physical finding)
C2028054  purulent discharge of gums on buccal surface of right mandibular third molar
C2028055  purulent discharge of gums on distal surface of right mandibular third molar
C2028056  purulent discharge of gums on lingual surface of right mandibular third molar (physical finding)
C2028057  purulent discharge of gums on mesial surface of right mandibular third molar
C2028058  purulent discharge of gums on right upper central incisor
C2028059  purulent discharge of gums on distal surface of right maxillary central incisor (physical finding)
C2028060  purulent discharge of gums on labial surface of right maxillary central incisor (physical finding)
C2028061  purulent discharge of gums on mesial surface of right maxillary central incisor (physical finding)
C2028062  purulent discharge of gums on palatal surface of right maxillary central incisor (physical finding)
C2028063  purulent discharge of gums on right maxillary cuspid (physical finding)
C2028064  purulent discharge of gums on distal surface of right maxillary cuspid
C2028065  purulent discharge of gums on labial surface of right maxillary cuspid
C2028066  purulent discharge of gums on mesial surface of right maxillary cuspid (physical finding)
C2028067  purulent discharge of gums on palatal surface of right maxillary cuspid
C2028068  purulent discharge of gums on right maxillary first bicuspid (physical finding)
C2028069  purulent discharge of gums on buccal surface of right maxillary first bicuspid (physical finding)
C2028070  purulent discharge of gums on distal surface of right maxillary first bicuspid (physical finding)
C2028071  purulent discharge of gums on mesial surface of right maxillary first bicuspid
C2028072  purulent discharge of gums on palatal surface of right maxillary first bicuspid (physical finding)
C2028073  purulent discharge of gums on right maxillary first molar (physical finding)
C2028074  purulent discharge of gums on buccal surface of right maxillary first molar
C2028075  purulent discharge of gums on distal surface of right maxillary first molar (physical finding)
C2028076  purulent discharge of gums on mesial surface of right maxillary first molar (physical finding)
C2028077  purulent discharge of gums on palatal surface of right maxillary first molar (physical finding)
C2028078  purulent discharge of gums on right maxillary lateral incisor (physical finding)
C2028079  purulent discharge of gums on distal surface of right maxillary lateral incisor
C2028080  purulent discharge of gums on labial surface of right maxillary lateral incisor (physical finding)
C2028081  purulent discharge of gums on mesial surface of right maxillary lateral incisor (physical finding)
C2028082  purulent discharge of gums on palatal surface of right maxillary lateral incisor
C2028083  purulent discharge of gums on right maxillary second bicuspid (physical finding)
C2028084  purulent discharge of gums on buccal surface of right maxillary second bicuspid (physical finding)
C2028085  purulent discharge of gums on distal surface of right maxillary second bicuspid (physical finding)
C2028086  purulent discharge of gums on mesial surface of right maxillary second bicuspid (physical finding)
C2028087  purulent discharge of gums on palatal surface of right maxillary second bicuspid (physical finding)
C2028088  purulent discharge of gums on right maxillary second molar
C2028089  purulent discharge of gums on buccal surface of right maxillary second molar (physical finding)
C2028090  purulent discharge of gums on distal surface of right maxillary second molar
C2028091  purulent discharge of gums on mesial surface of right maxillary second molar (physical finding)
C2028092  purulent discharge of gums on palatal surface of right maxillary second molar
C2028093  purulent discharge of gums on right maxillary third molar (physical finding)
C2028094  purulent discharge of gums on buccal surface of right maxillary third molar (physical finding)
C2028095  purulent discharge of gums on distal surface of right maxillary third molar (physical finding)
C2028096  purulent discharge of gums on mesial surface of right maxillary third molar (physical finding)
C2028097  purulent discharge of gums on palatal surface of right maxillary third molar (physical finding)
C2028098  swollen, spongy, tender gums
C2028099  swollen, spongy, tender mandibular gums
C2028100  swollen, spongy, tender buccal surface of mandibular gums
C2028101  swollen, spongy, tender buccal surface of mandibular gums on left
C2028102  swollen, spongy, tender buccal surface of mandibular gums on right
C2028103  swollen, spongy, tender labial surface of mandibular gums (physical finding)
C2028104  swollen, spongy, tender mandibular gums on left
C2028105  swollen, spongy, tender lingual surface of mandibular gums (physical finding)
C2028106  swollen, spongy, tender lingual surface of mandibular gums anteriorly (physical finding)
C2028107  swollen, spongy, tender lingual surface of mandibular gums on left (physical finding)
C2028108  swollen, spongy, tender lingual surface of mandibular gums on right (physical finding)
C2028109  swollen, spongy, tender mandibular gums on right (physical finding)
C2028110  swollen, spongy, tender maxillary gums
C2028111  swollen, spongy, tender buccal surface of maxillary gums (physical finding)
C2028112  swollen, spongy, tender buccal surface of maxillary gums on left (physical finding)
C2028113  swollen, spongy, tender buccal surface of maxillary gums on right
C2028114  swollen, spongy, tender labial surface of maxillary gums
C2028115  swollen, spongy, tender maxillary gums on left (physical finding)
C2028116  swollen, spongy, tender palatal surface of maxillary gums
C2028117  swollen, spongy, tender palatal surface of maxillary gums anteriorly (physical finding)
C2028118  swollen, spongy, tender palatal surface of maxillary gums on left (physical finding)
C2028119  swollen, spongy, tender palatal surface of maxillary gums on right (physical finding)
C2028120  swollen, spongy, tender maxillary gums on right
C2028121  ulceration of gingiva adjacent to a tooth (physical finding)
C2029247  hard palate mass left side (___ cm)
C2029248  hard palate mass midline (___ cm)
C2029249  hard palate mass right side (___ cm)
C2029250  necrotic membrane on hard palate (physical finding)
C2029251  necrotic membrane on left side of hard palate
C2029252  necrotic membrane on midline of hard palate (physical finding)
C2029253  necrotic membrane on right side of hard palate (physical finding)
C2029254  necrotic membrane on hard palate stops at midline
C2029255  necrotic ulcer on hard palate
C2029256  necrotic ulcer on left side of hard palate
C2029257  necrotic ulcer on midline of hard palate (physical finding)
C2029258  necrotic ulcer on right side of hard palate (physical finding)
C2029259  perforation of hard palate
C2029260  perforation of left side of hard palate (physical finding)
C2029261  midline perforation of hard palate
C2029262  perforation of right side of hard palate
C2029263  petechiae of left side of hard palate (physical finding)
C2029264  petechiae of midline of hard palate
C2029265  petechiae of right side of hard palate (physical finding)
C2029267  vesicles on hard palate (physical finding)
C2029268  vesicles on left side of hard palate (physical finding)
C2029269  vesicles on midline of hard palate (physical finding)
C2029270  vesicles on right side of hard palate (physical finding)
C2029271  white exudate of hard palate (physical finding)
C2029272  white exudate of left side of hard palate
C2029273  white exudate of midline of hard palate (physical finding)
C2029274  white exudate of right side of hard palate (physical finding)
C2029275  white patch on left side of hard palate
C2029276  white patch on midline of hard palate
C2029277  white patch on right side of hard palate
C2032751  edema of palate
C2033459  papule on both nostrils (physical finding)
C2033478  papule on columella of nose (physical finding)
C2033529  papule on dorsum of nose
C2033653  papule on the face nose nostril left
C2033664  papule on the face nose left
C2033667  papule on the face nose tip left
C2033733  papule on nasolabial groove (physical finding)
C2033735  papule on nostril (physical finding)
C2033861  papule on the face nose nostril right
C2033872  papule on the face nose right
C2033875  papule on right side of tip of nose (physical finding)
C2033909  papule of both sides of nose
C2033936  papule on the face nose tip
C2034143  paranasal ethmoid sinus anterior right polyp (___ cm)
C2034144  paranasal ethmoid sinus posterior left polyp (___ cm)
C2034146  paranasal ethmoid sinus posterior right polyp (___ cm)
C2034151  drainage of left anterior ethmoid sinus (physical finding)
C2034153  paranasal sinuses ethmoid sinus anterior left polyp (___ cm)
C2034158  drainage of right anterior ethmoid sinus
C2034165  drainage of left posterior ethmoid sinus
C2034171  drainage of right posterior ethmoid sinus (physical finding)
C2034177  drainage of frontal recess of left paranasal sinus (physical finding)
C2034178  clear drainage of frontal recess of left paranasal sinus
C2034179  mucoid drainage of frontal recess of left paranasal sinus
C2034180  purulent drainage of frontal recess of left paranasal sinus
C2034181  serous drainage of frontal recess of left paranasal sinus
C2034188  drainage of frontal recess of right paranasal sinus (physical finding)
C2034189  clear drainage of frontal recess of right paranasal sinus
C2034190  mucoid drainage of frontal recess of right paranasal sinus
C2034191  purulent drainage of frontal recess of right paranasal sinus
C2034192  serous drainage of frontal recess of right paranasal sinus (physical finding)
C2034200  drainage of left frontal sinus (physical finding)
C2034201  drainage clear drainage of left frontal sinus (physical finding)
C2034202  mucoid drainage of left frontal sinus
C2034203  purulent drainage of left frontal sinus
C2034204  serous drainage of left frontal sinus (physical finding)
C2034211  drainage of right frontal sinus (physical finding)
C2034212  clear drainage of right frontal sinus
C2034213  mucoid drainage of right frontal sinus
C2034214  purulent drainage of right frontal sinus
C2034215  serous drainage of right frontal sinus
C2034223  drainage of left maxillary sinus (physical finding)
C2034224  clear drainage of left maxillary sinus
C2034225  mucoid drainage of left maxillary sinus
C2034226  purulent drainage of left maxillary sinus
C2034227  serous drainage of left maxillary sinus
C2034229  paranasal sinuses maxillary sinus left polyp (___ cm)
C2034234  drainage of right maxillary sinus (physical finding)
C2034235  clear drainage of right maxillary sinus (physical finding)
C2034236  mucoid drainage of right maxillary sinus (physical finding)
C2034237  purulent drainage of right maxillary sinus (physical finding)
C2034238  serous drainage of right maxillary sinus (physical finding)
C2034240  paranasal sinuses maxillary sinus right polyp (___ cm)
C2034246  drainage of left middle meatus
C2034247  clear drainage of left middle meatus
C2034248  mucoid drainage of left middle meatus (physical finding)
C2034249  purulent drainage of left middle meatus (physical finding)
C2034250  serous drainage of left middle meatus (physical finding)
C2034252  paranasal sinuses middle meatus left polyp (___ cm)
C2034257  drainage of right middle nasal meatus
C2034258  clear drainage of right middle nasal meatus (physical finding)
C2034259  mucoid drainage of right middle nasal meatus (physical finding)
C2034260  purulent drainage of right middle nasal meatus
C2034261  serous drainage of right middle nasal meatus
C2034263  paranasal sinuses middle meatus right polyp (___ cm)
C2034269  drainage of left sphenoid sinus (physical finding)
C2034270  clear drainage of left sphenoid sinus
C2034271  mucoid drainage of left sphenoid sinus
C2034272  purulent drainage of left sphenoid sinus
C2034273  serous drainage of left sphenoid sinus (physical finding)
C2034275  paranasal sinuses sphenoid sinus left polyp (___ cm)
C2034280  drainage of right sphenoid sinus (physical finding)
C2034281  clear drainage of right sphenoid sinus (physical finding)
C2034282  mucoid drainage of right sphenoid sinus
C2034283  purulent drainage of right sphenoid sinus
C2034284  serous drainage of right sphenoid sinus
C2034286  paranasal sinuses sphenoid sinus right polyp (___ cm)
C2034681  paroxysmal cough machine-gun bursts
C2034682  paroxysmal cough staccato
C2036442  combined stridor was observed
C2036443  fixed stridor was observed
C2037121  sudden hearing loss of unknown etiology
C2037417  supernumerary teeth were noted in multiple positions
C2038659  swelling of both adenoids
C2038763  swelling of left adenoid (physical finding)
C2038809  swelling of left tonsil
C2038928  swelling of right adenoid
C2038977  swelling of right tonsil
C2040058  echocardiography: post-stenotic dilation of pulmonary artery
C2040059  echocardiography: aneurysm of pulmonary artery (procedure)
C2040060  echocardiography: aneurysm of main pulmonary artery
C2040061  echocardiography: aneurysm of left pulmonary artery
C2040062  echocardiography: aneurysm of right pulmonary artery branch (procedure)
C2040358  echocardiography: abscess of aortic root
C2040537  echocardiography: abscess of mitral valve annulus
C2040548  echocardiography: atresia of pulmonary artery (procedure)
C2040549  echocardiography: confluent atresia of pulmonary artery (procedure)
C2040716  echocardiography: pericardial cyst
C2040738  echocardiography: abscess of pulmonary valve (procedure)
C2045116  chancre on both nostrils
C2045135  chancre on columella of nose (physical finding)
C2045186  chancre on dorsum of nose
C2045307  chancre on left nostril (physical finding)
C2045317  chancre on left side of nose
C2045320  chancre on left side of tip of nose (physical finding)
C2045387  chancre on nasolabial groove (physical finding)
C2045390  chancre on nostril (physical finding)
C2045515  chancre on right nostril
C2045524  chancre on right side of nose (physical finding)
C2045527  chancre on right side of tip of nose
C2045564  chancre of both sides of nose (physical finding)
C2045593  chancre on tip of nose
C2045736  cheesy exudative discharge from left external ear canal (physical finding)
C2045737  external auditory canal discharge cheesy exudate right ear
C2046120  absence of one lung
C2046121  chest computerized tomography aortic dissection
C2046166  chest computerized tomography dissection of aortic arch
C2046167  chest computerized tomography dissection of ascending aorta
C2046168  chest computerized tomography dissection of descending thoracic aorta
C2046396  using TV, radio at high volume
C2046450  hoarse speech (physical finding)
C2047413  the hyoid bone was low-lying
C2047414  location of hyoid bone (physical finding)
C2047415  the hyoid bone was recessed
C2047416  tender hyoid bone (physical finding)
C2047646  gums gingival hypertrophy mandibular buccal left
C2047657  gums gingival hypertrophy mandibular buccal
C2047658  gums gingival hypertrophy mandibular
C2047663  nasal mucosa hypertrophy responds ___(0-4+) to decongestants
C2047664  nasal mucosa hypertrophy severity ___(0-4+)
C2047665  nasal septum mucosa hypertrophy
C2047666  nasal septum mucosa hypertrophy responds (0-4+) to decongest
C2047667  nasal septum mucosa hypertrophy severity ___(0-4+)
C2047681  gums gingival hypertrophy mandibular buccal right
C2047741  discharge of hypopharynx
C2047742  mucoid discharge of hypopharynx (physical finding)
C2047743  sanguineous discharge of hypopharynx
C2047744  serous discharge of hypopharynx (physical finding)
C2047749  inflammation of hypopharynx (physical finding)
C2047750  inflammation of hypopharynx bilaterally (physical finding)
C2047751  inflammation with erythema of hypopharynx (physical finding)
C2047752  hypopharynx inflammation induration (___cm)
C2047753  inflammation of left hypopharynx (physical finding)
C2047754  inflammation of right hypopharynx
C2047757  hypopharynx mass (___ mm)
C2047758  hypopharynx mass bilateral (___ mm)
C2047759  hypopharynx mass exophytic (___ mm)
C2047760  hypopharynx mass fluctuant (___ mm)
C2047761  hypopharynx mass hard (___ mm)
C2047762  hypopharynx mass left (___ mm)
C2047763  hypopharynx mass right (___ mm)
C2047764  hypopharynx mass rubbery (___ mm)
C2047765  hypopharynx mass ulcerative (___ mm)
C2047769  swelling of hypopharynx
C2047770  swelling of hypopharynx bilaterally (physical finding)
C2047771  swelling of left hypopharynx (physical finding)
C2047772  swelling of right hypopharynx
C2047773  tenderness of hypopharynx (physical finding)
C2047774  tenderness of hypopharynx bilaterally (physical finding)
C2047775  tenderness of left hypopharynx
C2047776  tenderness of right hypopharynx (physical finding)
C2047778  foreign body of vallecula of hypopharynx
C2047779  the vallecula had a fishbone
C2047780  the vallecula had a foreign body on the left
C2047781  the vallecula had a foreign body on the right
C2047782  the vallecula was abnormal on the left
C2047783  the vallecula was abnormal on the right
C2050686  patch on ala nasi
C2050709  patch on both ala nasi
C2050870  patch on left ala nasi (physical finding)
C2050939  patch on left side of tip of nose
C2051079  patch on right ala nasi (physical finding)
C2051148  patch on the face nose tip right
C2051182  patch of both sides of nose (physical finding)
C2051211  patch on tip of nose (physical finding)
C2052879  percussion dullness apex (physical finding)
C2052880  dullness of lower lung on percussion (physical finding)
C2052881  dullness of lower left lung on percussion (physical finding)
C2052882  dullness of lower right lung on percussion (physical finding)
C2054284  tea-stained teeth (physical finding)
C2054305  the left lower central incisor was absent
C2054306  the left lower cuspid was absent
C2054307  the left lower first bicuspid was absent
C2054308  the left lower first molar was absent
C2054309  the left lower lateral incisor was absent
C2054310  the left lower second bicuspid was absent
C2054311  the left lower second molar was absent
C2054312  the left lower third molar was absent
C2054313  the left upper central incisor was absent
C2054314  the left upper cuspid was absent
C2054315  the left upper first bicuspid was absent
C2054316  the left upper first molar was absent
C2054317  the left upper lateral incisor was absent
C2054318  the left upper second bicuspid was absent
C2054319  the left upper second molar was absent
C2054320  the left upper third molar was absent
C2054321  the right lower central incisor was absent
C2054322  the right lower cuspid was absent
C2054323  the right lower first bicuspid was absent
C2054324  the right lower first molar was absent
C2054325  the right lower lateral incisor was absent
C2054326  the right lower second bicuspid was absent
C2054327  the right lower second molar was absent
C2054328  the right lower third molar was absent
C2054329  the right upper central incisor was absent
C2054330  the right upper cuspid was absent
C2054331  the right upper first bicuspid was absent
C2054332  the right upper first molar was absent
C2054333  the right upper lateral incisor was absent
C2054334  the right upper second bicuspid was absent
C2054335  the right upper second molar was absent
C2054336  the right upper third molar was absent
C2054337  teeth Angle's class I (physical finding)
C2054338  teeth Angle's class I left (physical finding)
C2054339  teeth Angle's class I right
C2054340  teeth Angle's class II (retrognathism)
C2054341  teeth Angle's class II division 1
C2054342  teeth Angle's class II division 1 left (physical finding)
C2054343  teeth Angle's class II division 1 right (physical finding)
C2054344  teeth Angle's class II division 2 (physical finding)
C2054345  teeth Angle's class II division 2 left (physical finding)
C2054346  teeth Angle's class II division 2 right (physical finding)
C2054347  teeth Angle's class II left (physical finding)
C2054348  teeth Angle's class II right
C2054349  teeth Angle's class II with tooth size anomaly
C2054350  teeth Angle's class II with tooth size anomaly left (physical finding)
C2054351  teeth Angle's class II with tooth size anomaly right
C2054352  teeth Angle's class III (prognathism)
C2054353  teeth Angle's class III left
C2054354  teeth Angle's class III right (physical finding)
C2054355  teeth Angle's classification (physical finding)
C2054390  teeth have turned black
C2054391  teeth have turned blue
C2054392  generalized teeth discoloration
C2054393  gray discoloration of teeth (symptom)
C2054394  red discoloration of teeth
C2054395  teeth discoloration through tooth no. ___
C2054396  teeth discoloration tooth no. ___
C2054397  tooth displacement with avulsion
C2054398  buccal tooth displacement (physical finding)
C2054399  displacement of extruded tooth
C2054400  displacement of intruded tooth (physical finding)
C2054401  labial tooth displacement (physical finding)
C2054402  lingual tooth displacement (physical finding)
C2054403  displacement of multiple teeth (physical finding)
C2054404  palatal tooth displacement
C2054405  displacement of a single tooth
C2054406  teeth displacement through tooth no. ___
C2054407  teeth displacement tooth no. ___
C2054408  chipped tooth enamel
C2054409  chipped enamel of left lower central incisor (physical finding)
C2054410  chipped enamel of left lower cuspid
C2054411  chipped enamel of left lower first bicuspid
C2054412  chipped enamel of left lower first molar (physical finding)
C2054413  teeth enamel chipped left lower lateral incisor
C2054414  chipped enamel of left lower second bicuspid (physical finding)
C2054415  chipped enamel of left lower second molar
C2054416  chipped enamel of left mandibular third molar
C2054417  teeth enamel chipped left upper central incisor
C2054418  chipped enamel of left upper cuspid (physical finding)
C2054419  chipped enamel of left upper first bicuspid
C2054420  chipped enamel of upper first molar (physical finding)
C2054421  chipped enamel of left upper lateral incisor (physical finding)
C2054422  teeth enamel chipped left upper second bicuspid
C2054423  chipped enamel of left upper second molar (physical finding)
C2054424  chipped enamel of left upper third molar (physical finding)
C2054425  chipped enamel of right lower central incisor (physical finding)
C2054426  teeth enamel chipped right lower cuspid
C2054427  chipped enamel of right mandibular first bicuspid
C2054428  chipped enamel of right lower first molar (physical finding)
C2054429  teeth enamel chipped right lower lateral incisor
C2054430  teeth enamel chipped right lower second bicuspid
C2054431  teeth enamel chipped right lower second molar
C2054432  teeth enamel chipped right lower third molar
C2054433  teeth enamel chipped right upper central incisor
C2054434  chipped enamel of right upper cuspid (physical finding)
C2054435  chipped enamel of right upper first bicuspid
C2054436  teeth enamel chipped right upper first molar
C2054437  chipped enamel of right upper lateral incisor (physical finding)
C2054438  chipped enamel of right maxillary second bicuspid
C2054439  chipped enamel of right upper second molar (physical finding)
C2054440  chipped enamel of right upper third molar
C2054446  fracture of dental corona
C2054447  fracture of corona below alveolar crest
C2054448  fracture of dentin and pulp (physical finding)
C2054449  fracture of dentin only
C2054450  fracture of an incisor
C2054453  impaction of left lower third molar (physical finding)
C2054454  impaction of left upper third molar
C2054455  impaction of right lower third molar
C2054456  impaction of right upper third molar
C2054458  recent tooth loss
C2054460  teeth malformed single central incisor
C2054461  wedge-shaped tooth
C2054477  mixed dentition was advanced
C2054478  mixed dentition was delayed
C2054479  mixed dentition was normal for age
C2054528  tooth wear due to habitus was noted
C2054529  tooth wear of left lower central incisor
C2054530  tooth wear of left lower cuspid (physical finding)
C2054531  tooth wear of left lower first bicuspid
C2054532  tooth wear of left lower first molar (physical finding)
C2054533  tooth wear of left lower lateral incisor (physical finding)
C2054534  tooth wear of left lower second bicuspid (physical finding)
C2054535  tooth wear of left lower second molar (physical finding)
C2054536  tooth wear of left lower third molar (physical finding)
C2054537  tooth wear of left upper central incisor (physical finding)
C2054538  tooth wear of left upper cuspid (physical finding)
C2054539  tooth wear of left upper first bicuspid (physical finding)
C2054540  tooth wear of left upper first molar
C2054541  tooth wear of left upper lateral incisor
C2054542  tooth wear of left upper second bicuspid (physical finding)
C2054543  tooth wear of left upper second molar
C2054544  tooth wear of left upper third molar
C2054545  tooth wear of right lower central incisor (physical finding)
C2054546  tooth wear of right lower cuspid
C2054547  tooth wear of right lower first bicuspid (physical finding)
C2054548  tooth wear of right lower first molar (physical finding)
C2054549  tooth wear of right lower lateral incisor (physical finding)
C2054550  tooth wear of right lower second bicuspid
C2054551  tooth wear of right lower second molar
C2054552  tooth wear of right lower third molar (physical finding)
C2054553  tooth wear of right upper central incisor (physical finding)
C2054554  tooth wear of right upper cuspid
C2054555  tooth wear of right upper first bicuspid
C2054556  tooth wear of right upper first molar
C2054557  tooth wear of right upper lateral incisor
C2054558  tooth wear of right upper second bicuspid (physical finding)
C2054559  tooth wear of right upper second molar
C2054560  tooth wear of right upper third molar
C2054562  widened interdental spaces (physical finding)
C2054563  widened interdental spaces anteriorly
C2054564  widened interdental spaces anteriorly inferiorly
C2054565  widened interdental spaces anteriorly superiorly (physical finding)
C2054566  teeth widened interdental spaces from tooth no. ___
C2054567  widened interdental spaces laterally (physical finding)
C2054568  widened interdental spaces on left
C2054569  widened interdental spaces on left inferiorly (physical finding)
C2054570  widened interdental spaces on left superiorly (physical finding)
C2054571  widened interdental spaces medially (physical finding)
C2054572  widened interdental spaces posteriorly (physical finding)
C2054573  widened interdental spaces posteriorly inferiorly (physical finding)
C2054574  widened interdental spaces on right
C2054575  widened interdental spaces on right inferiorly (physical finding)
C2054576  widened interdental spaces on right superiorly (physical finding)
C2054577  teeth widened interdental spaces through tooth no. ___
C2055045  X-ray teeth displacement
C2055046  X-ray teeth displacement alvused
C2055047  X-ray teeth displacement buccal
C2055048  X-ray teeth displacement extruded
C2055049  X-ray teeth displacement intruded
C2055050  X-ray teeth displacement labial
C2055051  X-ray teeth displacement lingual
C2055052  X-ray teeth displacement multiple
C2055053  X-ray teeth displacement palatal
C2055054  X-ray teeth displacement single
C2055055  X-ray teeth displacement through tooth no. ___
C2055056  X-ray teeth displacement tooth no. ___
C2055068  X-ray teeth fracture root coronal 1/3
C2055631  TMJ swelling bilateral
C2056129  tenderness on palpation along intercostal nerve (physical finding)
C2059288  aortic catheterization interruption aortic arch between left carotid and subclavian arteries
C2062425  prosthetic valve endocarditis due to coagulase positive Staphylococcus aureus
C2062427  prosthetic valve endocarditis due to coagulase negative Staph epidermidis
C2063076  post adult respiratory distress syndrome (ARDS) (diagnosis)
C2063400  lung transplant candidate (diagnosis)
C2063401  lung transplant recipient
C2071170  bloody discharge from right external auditory canal (physical finding)
C2071171  bloody discharge from left external auditory canal
C2071172  bloody discharge from both external auditory canals (physical finding)
C2071173  serous discharge from right external auditory canal (physical finding)
C2071174  serous discharge from left external auditory canal (physical finding)
C2071175  serous discharge from both external auditory canals (physical finding)
C2071176  purulent discharge from right external ear canal (physical finding)
C2071177  purulent discharge from left external ear canal
C2071178  purulent discharge from both external auditory canals (physical finding)
C2071237  mastoid tenderness right side
C2071238  mastoid tenderness left side
C2071239  bilateral mastoid tenderness
C2071345  cheesy exudative discharge from external auditory canal (physical finding)
C2071346  cheesy exudative discharge from both external auditory canals
C2071347  mucopurulent discharge from external auditory canal (physical finding)
C2071348  mucopurulent discharge from right external auditory canal (physical finding)
C2071349  external auditory canal discharge mucopurulent left ear
C2071350  mucopurulent discharge from both external auditory canals (physical finding)
C2071378  sinus tenderness ethmoidal
C2071379  tenderness of right ethmoidal sinus
C2071380  tenderness of left ethmoidal sinus (physical finding)
C2071381  bilateral tenderness of ethmoidal sinuses
C2071385  intranasal mass polyp right (___cm)
C2071386  intranasal mass polyp left (___cm)
C2071391  tonsils enlargement asymmetrically
C2071392  asymmetrical enlargement of tonsils with right greater than left (physical finding)
C2071393  asymmetrical enlargement of tonsils with left greater than right (physical finding)
C2071402  wheezing was heard on the right at the apex
C2071403  wheezing was heard on the right at the midlung field
C2071404  wheezing was heard on the right at the base
C2071405  wheezing was heard on the left at the apex
C2071406  wheezing was heard on the left at the midlung field
C2071407  wheezing was heard on the left at the base
C2071408  wheezing was heard bilaterally at the apices
C2071409  wheezing was heard bilaterally at the midlung fields
C2071410  wheezing was heard bilaterally at the bases
C2071411  rhonchi right apex
C2071412  rhonchi right midlung field
C2071413  rhonchi right base
C2071414  rhonchi left apex
C2071415  rhonchi left midlung field
C2071416  rhonchi in left base (physical finding)
C2071417  rhonchi bilateral apices
C2071418  rhonchi were heard bilaterally in the midlung fields
C2071419  rhonchi bilateral bases
C2071420  decreased breath sounds in both apices
C2071421  decreased breath sounds in both mid-lung fields (physical finding)
C2071422  decreased breath sounds bilaterally bases
C2071423  rales / crackles right apex
C2071424  rales / crackles right midlung field
C2071425  rales / crackles right base
C2071426  rales / crackles left apex
C2071427  rales / crackles left midlung field
C2071428  rales / crackles left base
C2071429  rales / crackles bilateral apices
C2071430  rales / crackles bilateral midlung fields
C2071431  rales or crackles at both bases (physical finding)
C2071467  white patch of tongue that does not wipe off (physical finding)
C2071468  lacelike white patch of tongue (physical finding)
C2072946  aortic aneurysm
C2073383  tenderness of left intercostal space (#___) (physical finding)
C2073384  tenderness of right intercostal space (#___) (physical finding)
C2073385  tenderness on palpation of left pectoralis muscle (physical finding)
C2073386  tenderness on palpation of right pectoralis muscle (physical finding)
C2073410  chest palpation tenderness muscle
C2073412  X-ray chest infiltrate alveolar consolidation
C2073413  X-ray chest lungs infiltrate alveolar
C2073414  X-ray chest infiltrate alveolar ground glass appearance
C2073423  X-ray chest hilar lymphadenopathy bilateral
C2073424  X-ray chest lungs infiltrate bilateral
C2073489  X-ray chest infiltrate alveolar diffuse / patchy
C2073491  X-ray chest aorta root dilated
C2073514  X-ray chest hilar lymphadenopathy
C2073519  X-ray infiltrates alveolar lobar/local left lung middle lobe
C2073520  X-ray infiltrates alveolar lobar/local left lung upper lobe
C2073521  X-ray infiltrates alveolar lobar/local right lung lower lobe
C2073522  X-ray infiltrate alveolar lobar/local right lung middle lobe
C2073523  X-ray infiltrates alveolar lobar/local right lung upper lobe
C2073524  X-ray chest infiltrates left lung
C2073525  X-ray chest infiltrates left lung lower lobe
C2073526  X-ray chest infiltrates right lung lower lobe
C2073527  X-ray chest infiltrates right lung middle lobe
C2073528  X-ray chest infiltrates right lung
C2073529  X-ray chest infiltrates left lung upper lobe
C2073530  X-ray chest infiltrates right lung upper lobe
C2073531  X-ray chest infiltrates with scarring left lung
C2073532  X-ray chest infiltrates with scarring left lung lower lobe
C2073533  X-ray chest infiltrates with scarring right lung lower lobe
C2073534  X-ray chest infiltrates with scarring right lung middle lobe
C2073535  X-ray chest infiltrates with scarring right lung
C2073536  X-ray chest infiltrates with scarring left lung upper lobe
C2073537  X-ray chest infiltrates with scarring right lung upper lobe
C2073538  X-ray chest lungs infiltrate interstitial
C2073539  X-ray chest lungs infiltrate interstitial honeycomb pattern
C2073542  X-ray chest infiltrate alveolar lobar / localized
C2073543  X-ray chest infiltrates alveolar lobar/localized left lung
C2073544  X-ray chest infiltrates alveolar lobar/localized right lung
C2073547  x-ray chest lungs mass lesion mediastinal coin lesion (cm)
C2073548  X-ray chest lungs infiltrate paraspinal behind heart
C2073549  X-ray chest lungs infiltrate paraspinal predominance
C2073550  X-ray chest lungs infiltrate perihilar predominance
C2073551  X-ray chest lungs infiltrate peripheral predominance
C2073552  X-ray chest lungs infiltrate scarring apical
C2073553  X-ray chest lungs infiltrate scarring basilar
C2073554  X-ray chest lungs infiltrate unilateral
C2073555  X-ray chest lungs infiltrates with scarring
C2073556  X-ray chest lungs mass lesion (___ cm)
