C0002418  Amblyopia
C2112109  enlarged, mobile postauricular lymph nodes bilaterally
C2112110  enlarged, suppurative postauricular lymph nodes bilaterally (physical finding)
C2112111  enlarged, tender postauricular lymph nodes bilaterally (physical finding)
C2112112  bubo of left postauricular lymph node
C2112113  consistency of enlarged left postauricular lymph node (physical finding)
C2112114  left posterior auricular lymphadenopathy with draining sinus tract
C2112115  enlarged, fixed left postauricular lymph node (physical finding)
C2112116  enlarged, mobile left postauricular lymph node (physical finding)
C2112117  enlarged, suppurative left postauricular lymph node
C2112118  enlarged, tender left postauricular lymph node
C2112119  enlarged left postauricular lymph node
C2112120  enlarged right postauricular lymph node
C2112121  bubo of right postauricular lymph node (physical finding)
C2112122  consistency of enlarged right postauricular lymph node
C2112123  postauric lymph nodes enlarged right draining sinus tract
C2112124  enlarged, fixed right postauricular lymph node (physical finding)
C2112125  enlarged, mobile right postauricular lymph node (physical finding)
C2112126  enlarged, suppurative right postauricular lymph node
C2112127  enlarged, tender right postauricular lymph node (physical finding)
C2112215  enlarged posterior cervical lymph nodes bilaterally
C2112216  enlarged left posterior cervical lymph nodes (physical finding)
C2112217  enlarged right posterior cervical lymph nodes (physical finding)
C2112420  neck posterior tissue injury wound weeping bloody
C2112488  ankle Achilles tendon insertion swelling right
C2112500  the posterior tibialis pulses were absent bilaterally
C2112501  the pulse was absent in the left posterior tibialis artery
C2112502  the pulse was absent in the right posterior tibialis artery
C2112503  absent posterior tibialis pulse on one side (physical finding)
C2112516  uveitis left eye posterior
C2112517  uveitis right eye posterior
C2112804  postsurgical cardiac device in situ
C2112805  post-surgical cortical cataract fragments in eye (diagnosis)
C2112806  post-surgical nuclear cataract fragments in eye
C2112807  post-surgical nuclear and cortical cataract fragments in eye (diagnosis)
C2112812  postsurgical state of eye and adnexa (diagnosis)
C2112898  PR segment on ECG
C2112915  enlarged, fluctuant preauricular lymph nodes bilaterally (physical finding)
C2112916  enlarged, rubbery preauricular lymph nodes bilaterally (physical finding)
C2112917  enlarged, hard preauricular lymph nodes bilaterally
C2112918  bilateral preauricular lymphadenopathy with draining sinus tract
C2112919  enlarged preauricular lymph nodes bilaterally (physical finding)
C2112920  buboes of preauricular lymph nodes bilaterally (physical finding)
C2112921  consistency of bilaterally enlarged preauricular lymph node
C2112922  enlarged, fixed preauricular lymph nodes bilaterally (physical finding)
C2112923  enlarged, mobile preauricular lymph nodes bilaterally
C2112924  enlarged, suppurative preauricular lymph nodes bilaterally
C2112925  enlarged, tender preauricular lymph nodes bilaterally (physical finding)
C2112926  bubo of left preauricular lymph node (physical finding)
C2112927  consistency of enlarged left preauricular lymph node
C2112928  enlarged left preauricular lymph node with draining sinus tract (physical finding)
C2112929  enlarged, fixed left preauricular lymph node (physical finding)
C2112930  enlarged, mobile left preauricular lymph node
C2112931  enlarged, suppurative left preauricular lymph node (physical finding)
C2112932  enlarged, tender left preauricular lymph node (physical finding)
C2112933  enlarged left preauricular lymph node
C2112934  enlarged right preauricular lymph node (physical finding)
C2112935  bubo of right preauricular lymph node (physical finding)
C2112936  consistency of enlarged right preauricular lymph node
C2112937  enlarged right preauricular lymph node with draining sinus tract (physical finding)
C2112938  enlarged, fixed right preauricular lymph node (physical finding)
C2112939  enlarged, mobile right preauricular lymph node
C2112940  enlarged, suppurative right preauricular lymph node (physical finding)
C2112941  enlarged, tender right preauricular lymph node (physical finding)
C2113599  precordial heave at left lower parasternal line
C2113600  precordial heave at right lower parasternal line
C2113833  preglaucoma steroid responders in both eyes
C2113834  preglaucoma steroid responders in left eye
C2113835  preglaucoma steroid responders in right eye (diagnosis)
C2113841  pregnancy complicated by chronic benign essential hypertension (diagnosis)
C2113843  pregnancy complicated by chronic benign essential hypertension with baby delivered (diagnosis)
C2113846  pregnancy complicated by chronic hypertension with heart disease
C2113848  pregnancy complicated by chronic hypertension with renal disease (diagnosis)
C2114693  currently nursing and nipples are sore
C2114725  rigid proctosigmoidoscopy: bleeding internal hemorrhoids
C2114726  rigid proctosigmoidoscopy: friable internal hemorrhoids (procedure)
C2114727  rigid proctosigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2114739  proctosigmoidoscopy (rigid) hemorrhoids
C2114740  proctosigmoidoscopy (rigid) hemorrhoids internal
C2114764  prolapse of both irises
C2114765  prolapse of inferior aspect of left iris (physical finding)
C2114766  prolapse of lateral aspect of left iris (physical finding)
C2114767  prolapse of medial aspect of left iris (physical finding)
C2114768  prolapse of superior aspect of left iris
C2114769  prolapse of inferior aspect of right iris
C2114770  prolapse of lateral aspect of right iris (physical finding)
C2114771  prolapse of medial aspect of right iris (physical finding)
C2114772  prolapse of superior aspect of right iris
C2115607  swelling of thoracic spine at specified level (T___) (physical finding)
C2115608  swelling of thoracic spine from specified level (T___) (physical finding)
C2115609  swelling of thoracic spine to specified level (T___)
C2115906  thrill in the apex
C2115907  diastolic thrill
C2115908  diastolic thrill at left sternal border
C2115909  thrill at left sternal border (physical finding)
C2115910  precordial thrill (physical finding)
C2115911  presystolic thrill (physical finding)
C2115912  thrill at supraclavicular fossa (physical finding)
C2115913  systolic thrill (physical finding)
C2115914  systolic thrill in the apex
C2115915  systolic thrill in carotid artery
C2115916  systolic thrill at lower sternal border
C2115917  thrill systolic second and third left intercostal space parasternal line
C2115918  thrill systolic second and third right intercostal space parasternal line
C2115919  systolic thrill at suprasternal notch (physical finding)
C2116010  bilateral thyroid bruit (physical finding)
C2116011  thyroid bruit on left (physical finding)
C2116012  thyroid bruit on right
C2116806  arterial bleeding of a wound
C2116807  wound with tissue bleeding (physical finding)
C2116808  venous bleeding of a wound
C2119049  eyelids cysts right upper eyelid (___ mm)
C2119050  eyelids cysts left upper eyelid (___ mm)
C2120523  X-ray fingers acroosteolysis right
C2120524  X-ray fingers acroosteolysis left
C2120807  X-ray fingers acroosteolysis right 1st distal phalanx
C2120808  X-ray fingers acroosteolysis right 2nd distal phalanx
C2120809  X-ray fingers acroosteolysis right 3rd distal phalanx
C2120810  X-ray fingers acroosteolysis right 4th distal phalanx
C2120811  X-ray fingers acroosteolysis right 5th distal phalanx
C2120812  X-ray fingers acroosteolysis left 1st distal phalanx
C2120813  X-ray fingers acroosteolysis left 2nd distal phalanx
C2120814  X-ray fingers acroosteolysis left 3rd distal phalanx
C2120815  X-ray fingers acroosteolysis left 4th distal phalanx
C2120816  X-ray fingers acroosteolysis left 5th distal phalanx
C2120917  coronary angiography: left main coronary artery stenosis thrombotic (procedure)
C2120918  left main artery stenosis length
C2121421  sigmoidoscopy (fiberoptic) hemorrhoids
C2121422  sigmoidoscopy (fiberoptic) hemorrhoids internal
C2121423  fiberoptic sigmoidoscopy: friable internal hemorrhoids (procedure)
C2121424  fiberoptic sigmoidoscopy: bleeding internal hemorrhoids (procedure)
C2121425  fiberoptic sigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2121427  fiberoptic sigmoidoscopy: arteriovenous malformations (procedure)
C2121435  ECG PR segment isoelectric convex upward
C2121436  ECG PR segment elevated
C2121437  ECG PR segment elevated I.
C2121438  ECG PR segment elevated II.
C2121439  ECG PR segment elevated III
C2121440  ECG PR segment elevated aVR
C2121441  ECG PR segment elevated aVL
C2121442  ECG PR segment elevated aVF
C2121443  ECG PR segment elevated V1
C2121444  ECG PR segment elevated V2
C2121445  ECG PR segment elevated V3
C2121446  ECG PR segment elevated V4
C2121447  ECG PR segment elevated V5
C2121448  ECG PR segment elevated V6
C2121449  ECG PR segment elevated V3R
C2121450  ECG PR segment elevated V4R
C2121451  ECG PR segment elevated V5R
C2121452  ECG PR segment elevated V6R
C2121453  ECG PR segment elevated upward concavity
C2121454  electrocardiogram PR elevated upward concavity with J point elevation
C2121455  ECG PR segment elevated upward convexity
C2121456  ECG PR segment elevated persistent (>2 weeks)
C2121457  ECG PR segment elevated during chest pain only
C2121458  ECG PR segment depressed
C2121459  ECG PR segment depressed I.
C2121460  ECG PR segment depressed II.
C2121461  ECG PR segment depressed III
C2121462  ECG PR segment depressed aVR
C2121463  ECG PR segment depressed aVL
C2121464  ECG PR segment depressed aVF
C2121465  ECG PR segment depressed V1
C2121466  ECG PR segment depressed V2
C2121467  ECG PR segment depressed V3
C2121468  ECG PR segment depressed V4
C2121469  ECG PR segment depressed V5
C2121470  ECG PR segment depressed V6
C2121471  ECG PR segment depressed scooped
C2121472  ECG PR segment depressed horizontal to downsloping
C2121473  ECG PR segment depressed during chest pain only
C2123230  echocardiography: late regurgitation of systolic mitral valve (procedure)
C2123231  echocardiography: diastolic regurgitation of mitral valve (procedure)
C2123487  echocardiogram L ventricle dilation
C2123488  echocardiogram L ventricle dilation globally
C2123489  echocardiogram L ventricle dilation regionally
C2123490  echocardiogram L ventricle dilation regionally anterior
C2123491  echocardiogram L ventricle dilation regionally anterobasal
C2123492  echocardiogram L ventricle dilation regionally anterolateral
C2123493  echocardiogram L ventricle dilation regionally apical
C2123494  echocardiogram L ventricle dilation regionally inferior wall
C2123495  echocardiogram L ventricle dilation regionally posterobasal
C2123496  echocardiogram L ventricle dilation regionally basoseptal
C2123497  echocardiogram L ventricle dilation regionally apicoseptal
C2123498  echocardiogram L ventricle dilation regionally posterolateral
C2123499  echocardiogram L ventricle dilation regionally lateral
C2123506  echocardiography: decreased thickness of anterolateral wall of left ventricle with extension since last study
C2123507  echocardiography: decreased thickness of anterolateral wall of left ventricle with expansion since last study (procedure)
C2123508  echocardiography: decreased thickness of lateral wall of left ventricle with expansion since last study
C2123509  echocardiography: decreased thickness of lateral wall of left ventricle with extension since last study
C2123510  echocardiography: decreased thickness of inferior wall of left ventricle with expansion since last study (procedure)
C2123511  echocardiography: decreased thickness of inferolateral wall of left ventricle with extension since last study
C2123512  echocardiography: decreased thickness of anterolateral septal wall of left ventricle with expansion since last study
C2123513  echocardiography: decreased thickness of anterolateral septal wall of left ventricle with extension since last study
C2123514  echocardiography: decreased thickness of inferolateral septal wall of left ventricle with expansion since last study (procedure)
C2123515  echocardiography: decreased thickness of inferolateral septal wall of left ventricle with extension since last study (procedure)
C2123516  echocardiography: decreased thickness of apical wall of left ventricle with expansion since last study (procedure)
C2123517  echocardiography: decreased thickness of apical wall of left ventricle with extension since last study
C2123525  MRA renal arteries stenosis
C2123526  MRA renal arteries stenosis right (___ %)
C2123527  MRA renal arteries stenosis left (___ %)
C2123629  ultrasound abdominal liver nonspecific abnormality
C2123631  abdominal MRI liver nonspecific abnormality
C2126982  drooping eyelid moves upward when looking up (symptom)
C2126983  drooping eyelid does not move when looking up (symptom)
C2127297  fainting preceded by finding a dead body (symptom)
C2128859  vaginal bleeding during pregnancy after 20th week
C2129050  scrotal swelling localized
C2129051  localized right scrotal swelling
C2129052  scrotal swelling localized left
C2129277  lower back pain muscle spasm right side
C2129278  lower back pain muscle spasm left side
C2134024  anaphylactic reaction to anesthetics
C2134025  anaphylactic reaction to narcotics (history)
C2134026  anaphylactic reaction to sulfa drugs (history)
C2137190  contusion of right eyelid
C2137264  cooing diastolic interscapular murmur (physical finding)
C2137265  cooing systolic interscapular region (physical finding)
C2137300  folds and rupture of Bowman's membrane of left eye (physical finding)
C2137301  folds and rupture of Bowman's membrane of right eye (physical finding)
C2137302  folds of Descemet's membrane of left eye (physical finding)
C2137303  grade of folds of Descemet's membrane of left eye
C2137304  folds of Descemet's membrane of right eye (physical finding)
C2137305  grade of folds of Descemet's membrane of right eye
C2137319  corneal infiltrate of left eye at specified location (physical finding)
C2137320  corneal infiltrate of right eye at specified location (physical finding)
C2137321  rupture of Descemet's membrane of left eye (physical finding)
C2137322  rupture of Descemet's membrane of right eye
C2137325  shape of abrasion of right cornea
C2137326  irregular abrasion of right cornea (physical finding)
C2137327  linear abrasion of right cornea (physical finding)
C2137328  oval abrasion of right cornea (physical finding)
C2137329  rectangular abrasion of right cornea (physical finding)
C2137330  round abrasion of right cornea (physical finding)
C2137331  triangular abrasion of right cornea
C2137332  grade of blood staining of left cornea
C2137333  grade of blood staining of right cornea (physical finding)
C2137334  grade of arcus senilis
C2137335  keratoconus with hydrops (physical finding)
C2137336  Salzmann's corneal degeneration
C2137339  posterior polymorphous endothelial corneal dystrophy
C2137340  epithelial dot dystrophy of cornea (physical finding)
C2137341  epithelial fingerprint dystrophy of cornea (physical finding)
C2137342  epithelial map dystrophy of cornea
C2137343  stromal granular dystrophy of cornea (physical finding)
C2137344  stromal lattice dystrophy of cornea
C2137345  stromal macular dystrophy of cornea (physical finding)
C2137346  epithelial edema of left cornea
C2137347  epithelial edema of central aspect of left cornea
C2137348  diffuse epithelial edema of left cornea (physical finding)
C2137349  grade of epithelial edema of left cornea (physical finding)
C2137350  epithelial edema of inferior aspect of left cornea
C2137351  epithelial edema of lateral aspect of left cornea (physical finding)
C2137352  epithelial edema of medial aspect of left cornea
C2137353  epithelial edema of superior aspect of left cornea (physical finding)
C2137354  epithelial edema of right cornea
C2137355  epithelial edema of central aspect of right cornea
C2137356  diffuse epithelial edema of right cornea (physical finding)
C2137357  grade of epithelial edema of right cornea
C2137358  epithelial edema of inferior aspect of right cornea
C2137359  epithelial edema of lateral aspect of right cornea
C2137360  epithelial edema of medial aspect of right cornea (physical finding)
C2137361  epithelial edema of superior aspect of right cornea (physical finding)
C2137362  stromal edema of left cornea
C2137363  stromal edema of central aspect of left cornea
C2137364  stromal edema of inferior aspect of left cornea (physical finding)
C2137365  stromal edema of lateral aspect of left cornea (physical finding)
C2137366  stromal edema of medial aspect of left cornea (physical finding)
C2137367  stromal edema of superior aspect of left cornea (physical finding)
C2137368  stromal edema of right cornea (physical finding)
C2137369  stromal edema of central aspect of right cornea
C2137370  diffuse stromal edema of right cornea (physical finding)
C2137371  grade of stromal edema of right cornea
C2137372  stromal edema of inferior aspect of right cornea (physical finding)
C2137373  stromal edema of lateral aspect of right cornea (physical finding)
C2137374  stromal edema of medial aspect of right cornea (physical finding)
C2137375  stromal edema of superior aspect of right cornea (physical finding)
C2137376  epithelial opacity of cornea (physical finding)
C2137377  corneal erosion of left eye at specified location (physical finding)
C2137378  shape of corneal erosion of left eye (physical finding)
C2137379  irregular corneal erosion of left eye
C2137380  linear corneal erosion of left eye
C2137381  oval corneal erosion of left eye (physical finding)
C2137382  rectangular corneal erosion of left eye (physical finding)
C2137383  round corneal erosion of left eye (physical finding)
C2137384  triangular corneal erosion of left eye (physical finding)
C2137385  corneal erosion of right eye at specified location
C2137386  shape of corneal erosion of right eye
C2137387  irregular corneal erosion of right eye
C2137388  linear corneal erosion of right eye (physical finding)
C2137389  oval corneal erosion of right eye
C2137390  rectangular corneal erosion of right eye (physical finding)
C2137391  round corneal erosion of right eye (physical finding)
C2137392  triangular corneal erosion of right eye (physical finding)
C2137393  foreign body of central cornea of left eye (physical finding)
C2137394  foreign body of corneal limbus of left eye (physical finding)
C2137395  foreign body of mid-peripheral cornea of left eye (physical finding)
C2137396  metallic foreign body of cornea
C2137397  metallic foreign body of cornea with rust ring (physical finding)
C2137401  foreign body of central aspect of right cornea (physical finding)
C2137402  foreign body of corneal limbus of right eye
C2137403  foreign body of midperipheral cornea of right eye
C2137405  hypoesthesia of both corneas (physical finding)
C2137406  hypoesthesia of left cornea (physical finding)
C2137407  hypoesthesia of right cornea (physical finding)
C2137410  corneal keratic precipitates bilaterally
C2137411  keratic precipitates of left cornea (physical finding)
C2137412  granulomatous keratic precipitates of left cornea
C2137413  nongranulomatous keratic precipitates of left cornea (physical finding)
C2137414  keratic precipitates of right cornea
C2137415  granulomatous keratic precipitates of right cornea
C2137416  nongranulomatous keratic precipitates of right cornea
C2137417  laceration of central cornea of left eye
C2137418  laceration of limbus of left cornea
C2137419  laceration of corneal limbus of left eye at specified location (physical finding)
C2137420  laceration of corneal limbus of left eye from specified location
C2137421  laceration of corneal limbus of left eye to specified location
C2137422  laceration of midperipheral cornea of left eye (physical finding)
C2137423  laceration of midperipheral cornea of left eye at specified location (physical finding)
C2137424  diffuse laceration of midperipheral cornea of left eye (physical finding)
C2137425  laceration of central cornea of right eye
C2137426  laceration of limbus of right cornea (physical finding)
C2137427  laceration of corneal limbus of right eye at specified location (physical finding)
C2137428  laceration of corneal limbus of right eye from specified location (physical finding)
C2137429  laceration of corneal limbus of right eye to specified location (physical finding)
C2137430  laceration of midperipheral cornea of right eye
C2137431  laceration of midperipheral cornea of right eye at specified location
C2137432  diffuse laceration of midperipheral cornea of right eye (physical finding)
C2137433  size of neovascularization of left cornea
C2137434  neovascularization of left cornea at specified location (physical finding)
C2137435  deep neovascularization of left cornea (physical finding)
C2137436  neovascularization of left cornea from specified location (physical finding)
C2137437  superficial neovascularization of left cornea (physical finding)
C2137438  neovascularization of left cornea to specified location (physical finding)
C2137439  neovascularization of right cornea at specified location
C2137440  size of neovascularization of right cornea (physical finding)
C2137441  deep neovascularization of right cornea (physical finding)
C2137442  neovascularization of right cornea from specified location (physical finding)
C2137443  superficial neovascularization of right cornea
C2137444  neovascularization of right cornea to specified location
C2137445  opacity of left central cornea
C2137446  diffuse opacity of left eye (physical finding)
C2137447  corneal leucoma of left eye (physical finding)
C2137448  opacity of corneal limbus of left eye (physical finding)
C2137449  opacity of corneal limbus of left eye at specified location
C2137450  corneal macula of left eye (physical finding)
C2137451  opacity of left mid-peripheral cornea
C2137452  opacity of mid-peripheral region of corneal limbus of left eye at specified location
C2137453  shape of opacity of left cornea (physical finding)
C2137454  irregularly shaped opacity of left cornea (physical finding)
C2137455  linear opacity of left cornea
C2137456  oval opacity of left cornea (physical finding)
C2137457  round opacity of left cornea
C2137458  size of opacity of left cornea (physical finding)
C2137459  opacity of right central cornea
C2137460  diffuse opacity of right cornea
C2137461  corneal leucoma of right eye
C2137462  opacity of right corneal limbus (physical finding)
C2137463  opacity of right corneal limbus at specified location
C2137464  corneal macula of right eye (physical finding)
C2137465  opacity of right mid-peripheral cornea
C2137466  opacity of right mid-peripheral cornea at specified location (physical finding)
C2137467  shape of opacity of right cornea
C2137468  irregularly shaped opacity of right cornea (physical finding)
C2137469  linear opacity of right cornea
C2137470  oval opacity of right cornea (physical finding)
C2137471  round opacity of right cornea
C2137472  size of opacity of right cornea (physical finding)
C2137478  diffuse pannus of left cornea (physical finding)
C2137479  pannus of left cornea from specified location (physical finding)
C2137480  pannus of left cornea to specified location (physical finding)
C2137481  diffuse pannus of right cornea (physical finding)
C2137482  pannus of right cornea from specified location
C2137483  pannus of right cornea to specified location (physical finding)
C2137485  grade of stromal edema of left cornea (physical finding)
C2137492  infectious corneal ulceration (physical finding)
C2137493  infectious corneal ulceration with perforation (physical finding)
C2137494  corneal ulceration of left eye with descemetocele (physical finding)
C2137495  ulceration of corneal limbus of left eye at specified location (physical finding)
C2137496  ulceration of corneal limbus of left eye from specified location
C2137497  ulceration of corneal limbus of left eye to specified location (physical finding)
C2137498  ulceration of midperipheral cornea of left eye (physical finding)
C2137499  ulceration of midperipheral cornea of left eye at specified location (physical finding)
C2137500  diffuse ulceration of midperipheral cornea of left eye (physical finding)
C2137501  perforated corneal ulceration of left eye
C2137502  corneal ulceration of left eye perforated with iris prolapse
C2137503  shape of corneal ulceration of left eye
C2137504  linear corneal ulceration of left eye (physical finding)
C2137505  oval corneal ulceration of left eye (physical finding)
C2137506  rectangular corneal ulceration of left eye (physical finding)
C2137507  round corneal ulceration of left eye (physical finding)
C2137508  noninfectious corneal ulceration (physical finding)
C2137509  Mooren's corneal ulceration (physical finding)
C2137510  pellucid corneal ulceration
C2137511  rheumatoid corneal ulceration
C2137512  Sjogren's corneal ulceration
C2137513  Terrien's corneal ulceration (physical finding)
C2137514  ulceration of central cornea of right eye (physical finding)
C2137515  depth of corneal ulceration of right eye (physical finding)
C2137516  corneal ulceration of right eye with descemetocele (physical finding)
C2137517  height of corneal ulceration of right eye
C2137518  ulceration of corneal limbus of right eye
C2137519  ulceration of corneal limbus of right eye at specified location
C2137520  ulceration of corneal limbus of right eye from specified location (physical finding)
C2137521  ulceration of corneal limbus of right eye to specified location (physical finding)
C2137522  ulceration of midperipheral cornea of right eye (physical finding)
C2137523  ulceration of midperipheral cornea of right eye at specified location (physical finding)
C2137524  diffuse ulceration of midperipheral cornea of right eye
C2137525  perforated corneal ulceration of right eye (physical finding)
C2137526  corneal ulceration of right eye perforated with iris prolapse (physical finding)
C2137527  shape of corneal ulceration of right eye (physical finding)
C2137528  linear corneal ulceration of right eye
C2137529  oval corneal ulceration of right eye
C2137530  rectangular corneal ulceration of right eye (physical finding)
C2137531  round corneal ulceration of right eye (physical finding)
C2137691  cortical blindness observed and deficit denied
C2137692  cortical cataract of both eyes (physical finding)
C2137693  grade of cortical cataract of left eye (physical finding)
C2138210  cotton wool spots of far peripheral inferior retina of left eye
C2138211  cotton wool spots of retinas of both eyes (physical finding)
C2138212  cotton wool spots of retina of left eye
C2138213  cotton wool spots of retina of right eye (physical finding)
C2138228  massive hemoptysis
C2139194  lateral displacement of eyeball (physical finding)
C2139220  swelling of lateral aspect of left foot (physical finding)
C2139221  swelling of great toe left lateral
C2139222  swelling of lateral aspect of right foot
C2139223  swelling of great toe right lateral
C2139345  acromioclavicular joint pain elicited by motion left
C2139347  acromioclavicular pain elicited on abduction left
C2139348  acromioclavicular pain elicited on overhead motion left
C2139649  bloody wound of left ankle (physical finding)
C2139695  left anterior cervical lymphadenopathy
C2139838  left arm hemodialysis access graft aneurysm (___ cm)
C2139839  bruit over hemodialysis access graft of left arm
C2139840  high-pitched bruit over hemodialysis access graft of left arm
C2139841  caliber of hemodialysis access graft of left arm
C2139842  discharge from site of hemodialysis access graft of left arm (physical finding)
C2139843  edema at site of hemodialysis access graft of left arm (physical finding)
C2139844  erythema at site of hemodialysis access graft of left arm (physical finding)
C2139845  immature caliber hemodialysis access graft of left arm (physical finding)
C2139846  mature caliber hemodialysis access graft of left arm
C2139847  mature large caliber hemodialysis access graft of left arm (physical finding)
C2139848  mature small caliber hemodialysis access graft of left arm
C2139849  left arm hemodialysis access graft pulsatile aneurysm (cm)
C2139850  purulent discharge from site of hemodialysis access graft of left arm (physical finding)
C2139851  serosanguineous discharge from site of hemodialysis access graft of left arm
C2139852  serous discharge from site of hemodialysis access graft of left arm
C2139853  tenderness at site of hemodialysis access graft of left arm (physical finding)
C2139854  left arm hemodialysis access graft thin-walled aneurysm (cm)
C2139855  thrill over hemodialysis access graft of left arm (physical finding)
C2139858  hemodialysis access graft of left arm
C2140108  bloody wound of left arm
C2140340  puncture of left breast with erythema (physical finding)
C2140391  bloody wound of left breast (physical finding)
C2140510  left calf circumference (10 cm below tibial tuberosity) (physical finding)
C2140512  left border cardiac dullness shifted to the left
C2140513  left border cardiac dullness shifted to the right
C2140514  carotid artery tenderness on the left
C2140516  enlarged, fixed left cervical lymph node (physical finding)
C2140517  enlarged, fluctuant left cervical lymph node
C2140518  enlarged, mobile left cervical lymph node (physical finding)
C2140519  enlarged, rubbery left cervical lymph node (physical finding)
C2140520  enlarged, hard left cervical lymph node
C2140521  enlarged, tender left cervical lymph node (physical finding)
C2140539  tenderness of left chest (physical finding)
C2140540  tenderness of left chest at anterior axillary line
C2140541  tenderness of left chest at mid-axillary line
C2140542  tenderness of left chest at mid-clavicular line
C2140543  tenderness of left chest at specified rib (#___) (physical finding)
C2140544  tenderness of left chest extending to specified rib (#___) (physical finding)
C2140765  bloody wound of left ear (physical finding)
C2140966  bloody wound of left elbow (physical finding)
C2141005  enlarged, fluctuant left epitrochlear lymph node (physical finding)
C2141006  enlarged, rubbery left epitrochlear lymph node
C2141007  enlarged, hard left epitrochlear lymph node
C2141013  extracapsular swelling of left ankle
C2141026  L eye tropia distance corrected constant (___ prism diopter)
C2141027  horizontal esophoria at distance in corrected left eye (physical finding)
C2141028  horizontal esotropia at distance in corrected left eye (physical finding)
C2141029  fixed horizontal esotropia at distance in corrected left eye (physical finding)
C2141030  variable horizontal esotropia at distance in corrected left eye (physical finding)
C2141031  variable horizontal esotropia at distance in corrected left eye minimum amount
C2141032  variable horizontal esotropia at distance in corrected left eye maximum amount
C2141033  horizontal exophoria at distance in corrected left eye
C2141034  horizontal exotropia at distance in corrected left eye
C2141035  fixed horizontal exotropia at distance in corrected left eye
C2141036  variable horizontal exotropia at distance in corrected left eye
C2141037  variable horizontal exotropia at distance in corrected left eye minimum amount (physical finding)
C2141038  variable horizontal exotropia at distance in corrected left eye maximum amount (physical finding)
C2141039  intermittent tropia at distance in corrected left eye
C2141040  left eye distance corrected intermittent more than half the time (physical finding)
C2141041  vertical hyperphoria at distance in corrected left eye
C2141042  vertical hypertropia at distance in corrected left eye (physical finding)
C2141043  constant tropia at distance in uncorrected left eye (physical finding)
C2141044  horizontal esophoria at distance in uncorrected left eye
C2141045  horizontal esotropia at distance in uncorrected left eye
C2141046  fixed horizontal esotropia at distance in uncorrected left eye
C2141047  variable horizontal esotropia at distance in uncorrected left eye
C2141048  variable horizontal esotropia at distance in uncorrected left eye minimum amount (physical finding)
C2141049  variable horizontal esotropia at distance in uncorrected left eye maximum amount (physical finding)
C2141050  horizontal exophoria at distance in uncorrected left eye
C2141051  horizontal exotropia at distance in uncorrected left eye
C2141052  fixed horizontal exotropia at distance in uncorrected left eye
C2141053  variable horizontal exotropia at distance in uncorrected left eye (physical finding)
C2141054  variable horizontal exotropia at distance in uncorrected left eye minimum amount
C2141055  variable horizontal exotropia at distance in uncorrected left eye maximum amount
C2141056  intermittent tropia at distance in uncorrected left eye (physical finding)
C2141057  intermittent tropia at distance of uncorrected right eye more than half the time (physical finding)
C2141058  vertical hyperphoria at distance in uncorrected left eye (physical finding)
C2141059  vertical hypertropia in uncorrected left eye (physical finding)
C2141070  L eye tropia near corrected constant (___ prism diopter)
C2141071  horizontal esophoria at near gaze in corrected left eye
C2141072  horizontal esotropia at near gaze in corrected left eye
C2141073  fixed horizontal esotropia at near gaze in corrected left eye (physical finding)
C2141074  L eye tropia near corrected horizontal esotropia variable
C2141075  horizontal exophoria at near gaze in corrected left eye
C2141076  horizontal exotropia at near gaze in corrected left eye (physical finding)
C2141077  fixed horizontal exotropia at near gaze in corrected left eye (physical finding)
C2141078  L eye tropia near corrected horizontal exotropia variable
C2141079  L eye tropia near corrected intermittent (___ prism diopter)
C2141080  intermittent tropia at near gaze of corrected right eye more than half the time
C2141081  vertical hyperphoria at near gaze in corrected left eye (physical finding)
C2141082  vertical hypertropia at near gaze in corrected left eye (physical finding)
C2141083  horizontal esophoria at near gaze in uncorrected left eye (physical finding)
C2141084  horizontal exophoria at near gaze in uncorrected left eye (physical finding)
C2141085  vertical hyperphoria at near gaze in uncorrected left eye
C2141098  phoria of corrected left eye at distance (physical finding)
C2141099  phoria of uncorrected left eye at distance (physical finding)
C2141100  phoria of corrected left eye at near gaze (physical finding)
C2141101  phoria of uncorrected left eye at near gaze
C2141102  left eye skew deviation higher than right
C2141105  tropia of corrected left eye at distance
C2141106  tropia of uncorrected left eye at distance
C2141107  tropia of corrected left eye at near gaze (physical finding)
C2141108  tropia of uncorrected left eye at near gaze
C2141109  L eye tropia near uncorrected constant (___ prism diopters)
C2141110  horizontal esotropia at near gaze in uncorrected left eye
C2141111  fixed horizontal esotropia at near gaze in uncorrected left eye
C2141112  L eye tropia near uncorrected horizontal esotropia variable
C2141113  horizontal exotropia at near gaze in uncorrected left eye
C2141114  fixed horizontal exotropia at near gaze in uncorrected left eye
C2141115  L eye tropia near uncorrected horizontal exotropia variable
C2141116  intermittent tropia at near gaze in uncorrected left eye
C2141117  intermittent tropia at near gaze of uncorrected right eye more than half the time
C2141118  vertical hypertropia at near gaze in uncorrected left eye (physical finding)
C2141130  left femoral bruit (physical finding)
C2141378  bloody wound of left foot
C2141664  bloody wound of left forearm (physical finding)
C2141877  bloody wound of left hand
C2142093  bloody wound of left hip
C2142140  left inferior quadrantanopsia (diagnosis)
C2142146  intracapsular swelling of left ankle (physical finding)
