C0027947  Neutropenia
C2228261  enlarged right epitrochlear lymph node (physical finding)
C2228262  bubo of right epitrochlear lymph node (physical finding)
C2228273  tonsils inflammation erythematous
C2235042  bubo of right axillary lymph node
C2235043  bubo of left axillary lymph node
C2235044  buboes of axillary lymph nodes bilaterally (physical finding)
C2235045  bubo of right femoral lymph node (physical finding)
C2235046  bubo of left femoral lymph node (physical finding)
C2235047  buboes of femoral lymph nodes bilaterally (physical finding)
C2237500  bilaterally enlarged cervical lymph nodes (physical finding)
C2237501  bilateral axillary lymphadenopathy
C2237511  enlarged femoral lymph nodes bilaterally (physical finding)
C2237692  X-ray abdominal flat plate splenic calcification
C2238353  ultrasound abdominal liver enlarged
C2317795  hereditary persistent fetal hemoglobin Hb-A
C2317796  hereditary persistent fetal hemoglobin Hb-S (diagnosis)
C2584441  carrier state for hemophilia B (factor IX deficiency)
C2585250  Platelet count below reference range at birth (finding)
C2711604  Swelling of tonsil (finding)
C2959371  Reactive lymphadenopathy
C2987486  Lymph node hyperplasia
C3163751  Spleen in left sided position
C3163752  Spleen in right sided position (disorder)
C3468867  lymphatics red streaking extends up from left distal extremity
C3468868  lymphatics red streaking extends up from right distal extremity
