C0000848  ABSENT POSTERIOR TIBIAL PULSE
C2233608  flank pain lessened by bowel movement
C2233609  flank pain lessened by urinating
C2233610  flank pain lessened by breathing deeply (symptom)
C2233611  flank pain lessened by bending forward (symptom)
C2233612  flank pain lessened by twisting (symptom)
C2233613  flank pain lessened by curling up on one's side (symptom)
C2233614  flank pain lessened by applying heat (symptom)
C2233615  flank pain lessened by applying cold
C2233616  flank pain lessened by massage
C2233617  flank pain not made better by anything (symptom)
C2233624  skin-like growth on eyelid
C2233625  skin colored growth on eyelid
C2233626  brown eyelid growth
C2233627  pigmented eyelid growth
C2233628  red growth on eyelid
C2233629  orange growth on eyelid (symptom)
C2233630  bumpy growth on eyelid (symptom)
C2233631  lumpy eyelid growth
C2233632  skin-like growth on white of eye (symptom)
C2233633  fibrous growth on white of eye (symptom)
C2233637  location of pain in flank
C2233638  timing of flank pain
C2233639  flank pain increasing in frequency
C2233640  flank pain decreasing in frequency (symptom)
C2233641  flank pain gradually resolves on its own
C2318661  chest pain made worse by exertion (symptom)
C2318662  chest pain radiating to arms (symptom)
C2318663  chest pain radiating to back (symptom)
C2318664  chest pain radiating to left arm (symptom)
C2318665  chest pain radiating to mid-back
C2318666  chest pain radiating to right arm (symptom)
C2318667  chest pain radiating to throat (symptom)
C2318668  chest pain relieved by exertion
C2321745  total vision loss occurring briefly
C2321786  progressive exertional angina pectoris
C2367594  fainting followed by event (symptom)
C2367595  fainting preceded by sudden severe neck pain (symptom)
C2728871  angina pectoris equivalent
C2729493  chest pain located left of center
C2729494  right precordial chest pain
C2881415  Glare sensitivity
C2919276  Edema of back (finding)
C2919314  Oedema of entire limb
C2919341  Edema of dorsum of foot
C2919556  Firm pitting edema (finding)
C2919622  Edema of suprapubic region (finding)
C2919683  Edema of sole of foot
C2919705  Soft pitting edema (finding)
C3203733  Precordial catch syndrome
C3272268  Typical Coronary Artery Disease Symptom
C3275051  Atypical Coronary Artery Disease Symptom
C3506134  cardiac defibrillator 'going off'
C3508111  retraction right eyelid
C3508112  retraction left eyelid (physical finding)
C3509788  neonatal jaundice due to excessive hemolysis (diagnosis)
C3532941  Anterior pleuritic pain (finding)
