C0002170  Hair loss
C2157257  excoriation on right paranasal fold (physical finding)
C2157258  excoriation on right upper paranasal fold (physical finding)
C2157259  excoriation face the paranasal folds right lower (inferior)
C2157260  excoriation on left paranasal fold (physical finding)
C2157261  excoriation face the paranasal folds left upper (superior)
C2157262  excoriation on left lower paranasal fold (physical finding)
C2157263  excoriation on the face the paranasal folds both
C2157264  excoriation on the face philtrum
C2157265  excoriation around mouth
C2157266  excoriation on the face circumorally right
C2157267  excoriation around left side of mouth
C2157268  excoriation on the face circumorally both
C2157269  excoriation around nose and mouth (physical finding)
C2157270  excoriation around right side of nose and mouth (physical finding)
C2157271  excoriation on the face around nose and mouth left
C2157272  excoriation around both sides of nose and mouth (physical finding)
C2157273  excoriation on the face lip skin
C2157274  excoriation on the face lip vermilion
C2157275  excoriation on upper lip (physical finding)
C2157276  excoriation on right upper lip (physical finding)
C2157277  excoriation on left upper lip (physical finding)
C2157278  excoriation on entire upper lip
C2157279  excoriation on the face lip lower lip
C2157280  excoriation on right lower lip
C2157281  excoriation on left lower lip
C2157282  excoriation on entire lower lip
C2157283  excoriation was seen on the angular commissure
C2157284  excoriation was seen on the angular commissure on the right
C2157285  excoriation was seen on the angular commissure on the left
C2157286  excoriation on chin (physical finding)
C2157287  excoriation on right side of chin
C2157288  excoriation on left side of chin (physical finding)
C2157289  excoriation on the face chin midline
C2157290  excoriation on the face chin entire
C2157291  excoriation along jaw line
C2157292  excoriation along right jaw line (physical finding)
C2157293  excoriation on the face along the jaw line left
C2157294  excoriation along anterior jaw line
C2157295  excoriation on the face along the jaw line posterior
C2157296  excoriation on the face along the jaw line entire
C2157297  excoriation was seen on the face in a butterfly pattern
C2157298  excoriation on neck (physical finding)
C2157299  excoriation on anterior neck (physical finding)
C2157300  excoriation on right side of anterior neck (physical finding)
C2157301  excoriation on the neck front left
C2157302  excoriation on both sides of anterior neck
C2157303  excoriation on posterior neck (physical finding)
C2157304  excoriation on the neck back right
C2157305  excoriation on left side of posterior neck (physical finding)
C2157306  excoriation on both sides of posterior neck (physical finding)
C2157307  excoriation on the shoulders
C2157308  excoriation on front of shoulder (physical finding)
C2157309  excoriation on front of right shoulder
C2157310  excoriation on front of left shoulder
C2157311  excoriation on front of both shoulders
C2157312  excoriation on top of shoulder
C2157313  excoriation on top of right shoulder (physical finding)
C2157314  excoriation on the shoulders top left
C2157315  excoriation on the shoulders top both
C2157316  excoriation on the shoulders back
C2157317  excoriation on the shoulders back right
C2157318  excoriation on the shoulders back left
C2157319  excoriation on the shoulders back both
C2157320  excoriation within armpit
C2157321  excoriation was seen within the right armpit
C2157322  excoriation was seen within the left armpit
C2157323  excoriation was seen within both armpits
C2157324  excoriation was seen on the right anterior axillary fold
C2157325  excoriation was seen on the left anterior axillary fold
C2157326  excoriation was seen in the right axillary vault
C2157327  excoriation was seen in the left axillary vault
C2157328  excoriation was seen on the right posterior axillary fold
C2157329  excoriation was seen on the left posterior axillary fold
C2157330  excoriation on the upper extremities
C2157331  excoriation on arm
C2157332  excoriation on the arms right
C2157333  excoriation on the arms right volar
C2157334  excoriation on the arms right dorsal
C2157335  excoriation on right medial arm (physical finding)
C2157336  excoriation on right lateral arm (physical finding)
C2157337  excoriation on the arms left
C2157338  excoriation on left volar arm
C2157339  excoriation on the arms left dorsal
C2157340  excoriation on left medial arm (physical finding)
C2157341  excoriation on left lateral arm
C2157342  excoriation on both arms
C2157343  excoriation on elbow (physical finding)
C2157344  excoriation on the elbows right
C2157345  excoriation on right antecubital fossa (physical finding)
C2157346  excoriation on the elbows right outside
C2157347  excoriation on right medial elbow (physical finding)
C2157348  excoriation on the elbows right lateral
C2157349  excoriation on right extensor region of elbow
C2157350  excoriation on the elbows left
C2157351  excoriation on left antecubital fossa (physical finding)
C2157352  excoriation on left outside elbow (physical finding)
C2157353  excoriation on left medial elbow
C2157354  excoriation on left lateral elbow (physical finding)
C2157355  excoriation on left extensor region of elbow
C2157356  excoriation on the elbows both
C2157357  excoriation on both outside elbows (physical finding)
C2157358  excoriation on both medial elbows (physical finding)
C2157359  excoriation on both lateral elbows (physical finding)
C2157360  excoriation was seen on the antecubital fossae
C2157361  excoriation on the forearms
C2157362  excoriation on the forearms right
C2157363  excoriation on the forearms right proximal
C2157364  excoriation on the forearms right distal
C2157365  excoriation on volar surface of right forearm
C2157366  excoriation on dorsal surface of right forearm (physical finding)
C2157367  excoriation on medial surface of right forearm (physical finding)
C2157368  excoriation on the forearms right lateral
C2157369  excoriation on the forearms left
C2157370  excoriation on proximal end of left forearm
C2157371  excoriation on distal end of left forearm (physical finding)
C2157372  excoriation on volar surface of left forearm (physical finding)
C2157373  excoriation on the forearms left dorsal
C2157374  excoriation on the forearms left medial
C2157375  excoriation on lateral surface of left forearm
C2157376  excoriation on both forearms (physical finding)
C2157377  excoriation of wrist
C2157378  excoriation was seen on the right wrist
C2157379  excoriation was seen on the right wrist volar aspect
C2157380  excoriation was seen on the right wrist dorsal aspect
C2157381  excoriation was seen on the right wrist ulnar aspect
C2157382  excoriation was seen on the right wrist radial aspect
C2157383  excoriation was seen on the left wrist
C2157384  excoriation was seen on the left wrist volar aspect
C2157385  excoriation was seen on the left wrist dorsal aspect
C2157386  excoriation was seen on the left wrist ulnar aspect
C2157387  excoriation was seen on the left wrist radial aspect
C2157388  excoriation was seen on both wrists
C2157389  excoriation was seen on the volar aspect of both wrists
C2157390  excoriation was seen on the dorsal aspect of both wrists
C2157391  excoriation was seen on the ulnar aspect of both wrists
C2157392  excoriation was seen on the radial aspect of both wrists
C2157393  excoriation on the hands
C2157394  excoriation on the hands right
C2157395  excoriation on dorsal surface of right hand (physical finding)
C2157396  excoriation on the hands right palmar
C2157397  excoriation on left hand (physical finding)
C2157398  excoriation on the hands left dorsal
C2157399  excoriation on palmar surface of left hand (physical finding)
C2157400  excoriation on both hands
C2157401  excoriation on the hands both dorsal
C2157402  excoriation on the hands both palmar
C2157403  excoriation on the fingers
C2157404  excoriation on the fingers right thumb
C2157405  excoriation on proximal end of right thumb
C2157406  excoriation on distal end of right thumb (physical finding)
C2157407  excoriation on dorsal surface of right thumb
C2157408  excoriation on palmar surface of right thumb (physical finding)
C2157409  excoriation on medial surface of right thumb (physical finding)
C2157410  excoriation on lateral surface of right thumb
C2157411  excoriation on periungual region of right thumb (physical finding)
C2157412  excoriation on the fingers right index finger
C2157413  excoriation on the fingers right index finger proximal
C2157414  excoriation on the fingers right index finger distal
C2157415  excoriation on the fingers right index finger dorsal
C2157416  excoriation on the fingers right index finger palmar
C2157417  excoriation on the fingers right index finger medial
C2157418  excoriation on the fingers right index finger lateral
C2157419  excoriation on the fingers right index finger periungual
C2157420  excoriation on the fingers right middle finger
C2157421  excoriation on the fingers right middle finger proximal
C2157422  excoriation on the fingers right middle finger distal
C2157423  excoriation on the fingers right middle finger dorsal
C2157424  excoriation on the fingers right middle finger palmar
C2157425  excoriation on the fingers right middle finger medial
C2157426  excoriation on the fingers right middle finger lateral
C2157427  excoriation on the fingers right middle finger periungual
C2157428  excoriation on the fingers right ring finger
C2157429  excoriation on the fingers right ring finger proximal
C2157430  excoriation on the fingers right ring finger distal
C2157431  excoriation on the fingers right ring finger dorsal
C2157432  excoriation on the fingers right ring finger palmar
C2157433  excoriation on the fingers right ring finger medial
C2157434  excoriation on the fingers right ring finger lateral
C2157435  excoriation on the fingers right ring finger periungual
C2157436  excoriation on the fingers right little finger
C2157437  excoriation on the fingers right little finger proximal
C2157438  excoriation on the fingers right little finger distal
C2157439  excoriation on the fingers right little finger dorsal
C2157440  excoriation on the fingers right little finger palmar
C2157441  excoriation on the fingers right little finger medial
C2157442  excoriation on the fingers right little finger lateral
C2157443  excoriation on the fingers right little finger periungual
C2157444  excoriation on the fingers left thumb
C2157445  excoriation on proximal end of left thumb (physical finding)
C2157446  excoriation on distal end of left thumb
C2157447  excoriation on dorsal surface of left thumb (physical finding)
C2157448  excoriation on palmar surface of left thumb (physical finding)
C2157449  excoriation on the fingers left thumb medial
C2157450  excoriation on the fingers left thumb lateral
C2157451  excoriation on periungual region of left thumb (physical finding)
C2157452  excoriation on the fingers left index finger
C2157453  excoriation on the fingers left index finger proximal
C2157454  excoriation on the fingers left index finger distal
C2157455  excoriation on the fingers left index finger dorsal
C2157456  excoriation on the fingers left index finger palmar
C2157457  excoriation on the fingers left index finger medial
C2157458  excoriation on the fingers left index finger lateral
C2157459  excoriation on the fingers left index finger periungual
C2157460  excoriation on the fingers left middle finger
C2157461  excoriation on the fingers left middle finger proximal
C2157462  excoriation on the fingers left middle finger distal
C2157463  excoriation on the fingers left middle finger dorsal
C2157464  excoriation on the fingers left middle finger palmar
C2157465  excoriation on the fingers left middle finger medial
C2157466  excoriation on the fingers left middle finger lateral
C2157467  excoriation on the fingers left middle finger periungual
C2157468  excoriation on the fingers left ring finger
C2157469  excoriation on the fingers left ring finger proximal
C2157470  excoriation on the fingers left ring finger distal
C2157471  excoriation on the fingers left ring finger dorsal
C2157472  excoriation on the fingers left ring finger palmar
C2157473  excoriation on the fingers left ring finger medial
C2157474  excoriation on the fingers left ring finger lateral
C2157475  excoriation on the fingers left ring finger periungual
C2157476  excoriation on the fingers left little finger
C2157477  excoriation on the fingers left little finger proximal
C2157478  excoriation on the fingers left little finger distal
C2157479  excoriation on the fingers left little finger dorsal
C2157480  excoriation on the fingers left little finger palmar
C2157481  excoriation on the fingers left little finger medial
C2157482  excoriation on the fingers left little finger lateral
C2157483  excoriation on the fingers left little finger periungual
C2157484  excoriation on the fingers multiple fingers of both hands
C2157485  excoriation on trunk
C2157486  excoriation was seen on the right lateral trunk
C2157487  excoriation was seen on the right lateral trunk superiorly
C2157488  excoriation was seen on the right lateral trunk inferiorly
C2157489  excoriation was seen on the left lateral trunk
C2157490  excoriation was seen on the left lateral trunk superiorly
C2157491  excoriation was seen on the left lateral trunk inferiorly
C2157492  excoriation on chest
C2157493  excoriation on right chest (physical finding)
C2157494  excoriation on the chest right upper (superior)
C2157495  excoriation on the chest right lower (inferior)
C2157496  excoriation on left chest (physical finding)
C2157497  excoriation on left upper chest
C2157498  excoriation on the chest left lower (inferior)
C2157499  excoriation on midline region of chest
C2157500  excoriation on entire chest (physical finding)
C2157501  excoriation on breast (physical finding)
C2157502  excoriation on the breasts right
C2157503  excoriation on the breasts right superior lateral quadrant
C2157504  excoriation on inferior lateral quadrant of right breast (physical finding)
C2157505  excoriation on superior medial quadrant of right breast (physical finding)
C2157506  excoriation on the breasts right inferior medial quadrant
C2157507  excoriation on left breast
C2157508  excoriation on superior lateral quadrant of left breast
C2157509  excoriation on inferior lateral quadrant of left breast
C2157510  excoriation on the breasts left superior medial quadrant
C2157511  excoriation on the breasts left inferior medial quadrant
C2157512  excoriation on both breasts
C2157513  excoriation on nipple (physical finding)
C2157514  excoriation on the chest nipple(s) right
C2157515  excoriation on left nipple (physical finding)
C2157516  excoriation on both nipples
C2157517  excoriation on areola
C2157518  excoriation on right areola
C2157519  excoriation on left areola (physical finding)
C2157520  excoriation on both areolae
C2157521  excoriation on supraclavicular region of chest (physical finding)
C2157522  excoriation on right supraclavicular region of chest
C2157523  excoriation on left supraclavicular region of chest
C2157524  excoriation on the chest supraclavicular bilateral
C2157525  excoriation on infraclavicular region
C2157526  excoriation on the chest infraclavicular right
C2157527  excoriation on left infraclavicular region
C2157528  excoriation on both infraclavicular regions
C2157529  excoriation abdomen right upper (superior)
C2157530  excoriation on left upper abdomen (physical finding)
C2157531  excoriation abdomen right lower (inferior)
C2157532  excoriation on left lower abdomen (physical finding)
C2157533  excoriation on midline region of abdomen
C2157534  excoriation on entire abdomen
C2157535  excoriation on umbilical region of abdomen
C2157536  excoriation on periumbilical region of abdomen
C2157537  excoriation back
C2157538  excoriation on upper back
C2157539  excoriation on right upper back (physical finding)
C2157540  excoriation on left upper back
C2157541  excoriation on entire upper back (physical finding)
C2157542  excoriation back middle
C2157543  excoriation on right middle back
C2157544  excoriation on left middle back (physical finding)
C2157545  excoriation back middle entire
C2157546  excoriation back lower
C2157547  excoriation back lower right
C2157548  excoriation on left lower back (physical finding)
C2157549  excoriation on entire lower back
C2157550  excoriation on anal region (physical finding)
C2157551  excoriation was seen in the perineum
C2157552  excoriation inguinal
C2157553  excoriation inguinal right
C2157554  excoriation inguinal left
C2157555  excoriation in entire inguinal region
C2157556  excoriation was seen on the scrotum
C2157557  excoriation of right side of scrotum
C2157558  excoriation of left side of scrotum (physical finding)
C2157559  excoriation of anterior aspect of scrotum (physical finding)
C2157560  excoriation of posterior aspect of scrotum
C2157561  excoriation was seen in the pubic area
C2157562  excoriation was seen in the pubic area on the right
C2157563  excoriation was seen in the pubic area on the left
C2157564  excoriation was seen in the pubic area bilaterally
C2157565  excoriation in diaper area
C2157566  excoriation was seen in the diaper area toward the front
C2157567  excoriation was seen in the diaper area involving the buttocks
C2157568  excoriation, with peeling, was seen in the diaper area
C2157569  excoriation, with scabs present, was seen in the diaper area
C2157570  excoriation, looking raw, was seen in the diaper area
C2157571  excoriation, looking smooth and red, was seen in the diaper area
C2157572  excoriation, looking papular, was seen in the diaper area
C2157573  excoriation of right vulva
C2157574  excoriation of left vulva (physical finding)
C2157575  excoriation was seen on the entire vulva
C2157576  excoriation on labia (physical finding)
C2157577  excoriation labia right
C2157578  excoriation on left labia
C2157579  excoriation labia bilateral
C2157580  excoriation on buttock (physical finding)
C2157581  excoriation on right buttock (physical finding)
C2157582  excoriation on the buttocks left
C2157583  excoriation on both buttocks (physical finding)
C2157584  excoriation on the lower extremities
C2157585  excoriation on thigh
C2157586  excoriation on the thighs right
C2157587  excoriation on proximal end of right thigh
C2157588  excoriation on distal end of right thigh
C2157589  excoriation on the thighs right anterior
C2157590  excoriation on the thighs right posterior
C2157591  excoriation on medial surface of right thigh (physical finding)
C2157592  excoriation on the thighs right lateral
C2157593  excoriation on the thighs left
C2157594  excoriation on proximal end of left thigh (physical finding)
C2157595  excoriation on the thighs left distal
C2157596  excoriation on anterior surface of left thigh (physical finding)
C2157597  excoriation on the thighs left posterior
C2157598  excoriation on medial surface of left thigh (physical finding)
C2157599  excoriation on the thighs left lateral
C2157600  excoriation on the thighs both
C2157601  excoriation on the thighs both proximal
C2157602  excoriation on distal end of both thighs
C2157603  excoriation on anterior surface of both thighs (physical finding)
C2157604  excoriation on posterior surface of both thighs (physical finding)
C2157605  excoriation on medial surface both thighs (physical finding)
C2157606  excoriation on lateral surface of both thighs
C2157607  excoriation on knee
C2157608  excoriation on right knee (physical finding)
C2157609  excoriation on the knees right anterior
C2157610  excoriation on right popliteal fossa (physical finding)
C2157611  excoriation on medial surface of right knee (physical finding)
C2157612  excoriation on lateral surface of right knee (physical finding)
C2157613  excoriation on the knees left
C2157614  excoriation on anterior surface of left knee (physical finding)
C2157615  excoriation on left popliteal fossa
C2157616  excoriation on medial surface of left knee (physical finding)
C2157617  excoriation on the knees left lateral
C2157618  excoriation on both knees (physical finding)
C2157619  excoriation on anterior surface of both knees
C2157620  excoriation on both popliteal fossae
C2157621  excoriation on medial surface of both knees
C2157622  excoriation on the knees both lateral
C2157623  excoriation on shin
C2157624  excoriation on the shins right
C2157625  excoriation on the shins right superior
C2157626  excoriation on right lower shin
C2157627  excoriation on the shins left
C2157628  excoriation on the shins left superior
C2157629  excoriation on left lower shin (physical finding)
C2157630  excoriation on both shins
C2157631  excoriation on both upper shins
C2157632  excoriation on both lower shins
C2157633  excoriation on the calves
C2157634  excoriation on right calf
C2157635  excoriation on right superior calf (physical finding)
C2157636  excoriation on right inferior calf (physical finding)
C2157637  excoriation on the calves on the left
C2157638  excoriation on left superior calf (physical finding)
C2157639  excoriation on left inferior calf (physical finding)
C2157640  excoriation on the calves bilaterally
C2157641  excoriation on both superior calves
C2157642  excoriation on both inferior calves
C2157643  excoriation on the ankles
C2157644  excoriation on right ankle
C2157645  excoriation on right medial ankle (physical finding)
C2157646  excoriation on the ankles right lateral
C2157647  excoriation on left ankle (physical finding)
C2157648  excoriation on left medial ankle
C2157649  excoriation on left lateral ankle
C2157650  excoriation on both ankles (physical finding)
C2157651  excoriation on the ankles both medial
C2157652  excoriation on both lateral ankles (physical finding)
C2157653  excoriation on the feet
C2157654  excoriation on sole of foot (physical finding)
C2157655  excoriation on heel of right foot (physical finding)
C2157656  excoriation on anterior heel of right foot (physical finding)
C2157657  excoriation on posterior heel of right foot (physical finding)
C2157658  excoriation on medial heel of right foot (physical finding)
C2157659  excoriation on lateral heel of right foot
C2157660  excoriation on arch of right foot
C2157661  excoriation on medial arch of right foot
C2157662  excoriation on lateral arch of right foot
C2157663  excoriation on the feet soles right metatarsal area
C2157664  excoriation on medial metatarsal area of sole of right foot (physical finding)
C2157665  excoriation on lateral metatarsal area of sole of right foot (physical finding)
C2157666  excoriation on the feet soles left heel
C2157667  excoriation on the feet soles left heel anterior
C2157668  excoriation on the feet soles left heel posterior
C2157669  excoriation on medial heel of left foot
C2157670  excoriation on the feet soles left heel lateral
C2157671  excoriation on the feet soles left arch
C2157672  excoriation on medial arch of left foot
C2157673  excoriation on lateral arch of left foot (physical finding)
C2157674  excoriation on metatarsal area of sole of left foot
C2157675  excoriation on medial metatarsal area of sole of left foot (physical finding)
C2157676  excoriation on the feet soles left metatarsal area lateral
C2157677  excoriation on soles of both feet
C2157678  excoriation on top of foot (physical finding)
C2157679  excoriation on top of right foot (physical finding)
C2157680  excoriation on top of right foot anteriorly
C2157681  excoriation on top of right foot posteriorly (physical finding)
C2157682  excoriation on top of right foot medially (physical finding)
C2157683  excoriation on top of right foot laterally
C2157684  excoriation on the feet top left
C2157685  excoriation on top of left foot anteriorly (physical finding)
C2157686  excoriation on top of left foot posteriorly (physical finding)
C2157687  excoriation on top of left foot medially (physical finding)
C2157688  excoriation on top of left foot laterally (physical finding)
C2157689  excoriation on tops of both feet (physical finding)
C2157690  excoriation of toe (physical finding)
C2157691  excoriation on the right great toe
C2157692  excoriation on proximal end of right great toe
C2157693  excoriation on distal end of right great toe
C2157694  excoriation on the right great toe plantar
C2157695  excoriation on the right great toe dorsal
C2157696  excoriation on medial surface of right great toe (physical finding)
C2157697  excoriation on lateral surface of right great toe (physical finding)
C2157698  excoriation on the right second toe
C2157699  excoriation on proximal end of right second toe
C2157700  excoriation on the right second toe distal
C2157701  excoriation on plantar surface of right second toe (physical finding)
C2157702  excoriation on the right second toe dorsal
C2157703  excoriation on medial surface of right second toe
C2157704  excoriation on lateral surface of right second toe (physical finding)
C2157705  excoriation on right third toe
C2157706  excoriation on proximal end of right third toe
C2157707  excoriation on distal end of right third toe
C2157708  excoriation on plantar surface of right third toe (physical finding)
C2157709  excoriation on the right third toe dorsal
C2157710  excoriation on medial surface of right third toe (physical finding)
C2157711  excoriation on lateral surface of right third toe (physical finding)
C2157712  excoriation on right fourth toe (physical finding)
C2157713  excoriation on the right fourth toe proximal
C2157714  excoriation on the right fourth toe distal
C2157715  excoriation on plantar surface of right fourth toe (physical finding)
C2157716  excoriation on dorsal surface of right fourth toe
C2157717  excoriation on medial surface of right fourth toe
C2157718  excoriation on lateral surface of right fourth toe
C2157719  excoriation on right little toe (physical finding)
C2157720  excoriation on proximal end of right little toe
C2157721  excoriation on distal end of right little toe (physical finding)
C2157722  excoriation on plantar surface of right little toe
C2157723  excoriation on dorsal surface of right little toe (physical finding)
C2157724  excoriation on medial surface of right little toe (physical finding)
C2157725  excoriation on lateral surface of right little toe
C2157726  excoriation on the left great toe
C2157727  excoriation on proximal end of left great toe (physical finding)
C2157728  excoriation on distal end of left great toe
C2157729  excoriation on the left great toe plantar
C2157730  excoriation on dorsal surface of left great toe (physical finding)
C2157731  excoriation on medial surface of left great toe
C2157732  excoriation on lateral surface of left great toe
C2157733  excoriation on left second toe
C2157734  excoriation on proximal end of left second toe
C2157735  excoriation on distal end of left second toe (physical finding)
C2157736  excoriation on plantar surface of left second toe
C2157737  excoriation on the left second toe dorsal
C2157738  excoriation on the left second toe medial
C2157739  excoriation on lateral surface of left second toe (physical finding)
C2157740  excoriation on the left third toe
C2157741  excoriation on proximal end of left third toe (physical finding)
C2157742  excoriation on the left third toe distal
C2157743  excoriation on plantar surface of left third toe (physical finding)
C2157744  excoriation on dorsal surface of left third toe
C2157745  excoriation on medial surface of left third toe (physical finding)
C2157746  excoriation on lateral surface of left third toe (physical finding)
C2157747  excoriation on the left fourth toe
C2157748  excoriation on proximal end of left fourth toe
C2157749  excoriation on distal end of left fourth toe
C2157750  excoriation on plantar surface of left fourth toe
C2157751  excoriation on dorsal surface of left fourth toe
C2157752  excoriation on medial surface of left fourth toe (physical finding)
C2157753  excoriation on the left fourth toe lateral
C2157754  excoriation on the left little toe
C2157755  excoriation on the left little toe proximal
C2157756  excoriation on distal end of left little toe (physical finding)
C2157757  excoriation on plantar surface of left little toe
C2157758  excoriation on dorsal surface of left little toe (physical finding)
C2157759  excoriation on medial surface of left little toe
C2157760  excoriation on lateral surface of left little toe
C2157761  excoriation between toes (physical finding)
C2157762  excoriation between the toes right foot
C2157763  excoriation between first and second toes on right foot (physical finding)
C2157764  excoriation between second and third toes on right foot
C2157765  excoriation between third and fourth toes on right foot
C2157766  excoriation between fourth and fifth toes on right foot (physical finding)
C2157767  excoriation between toes on left foot (physical finding)
C2157768  excoriation between first and second toes on left foot
C2157769  excoriation between the toes left foot second-third
C2157770  excoriation between the toes left foot third-fourth
C2157771  excoriation between the toes left foot fourth-fifth
C2157772  excoriation between toes on both feet (physical finding)
C2157806  nodules on the scalp
C2157807  nodules on the scalp frontal
C2157808  nodules on the scalp on top
C2157809  nodules on the scalp on the right side
C2157810  nodules on the scalp on the left side
C2157811  nodules on the scalp toward the back
C2157812  nodules on the face
C2157813  nodules on the face forehead
C2157814  nodules on the face forehead right upper (superior)
C2157815  nodules on the face forehead left upper (superior)
C2157816  nodules on the face forehead right lower (inferior)
C2157817  nodules on the face forehead left lower (inferior)
C2157818  nodules on the face forehead glabella
C2157819  nodules on the face forehead entire
C2157820  nodules on the face on the temple
C2157821  nodules on the face on the temple right
C2157822  nodules on the face on the temple left
C2157823  nodules on the face on the temple both
C2157824  nodules on the face eyebrows
C2157825  nodules on the face eyebrows right
C2157826  nodules on the face eyebrows right inner (medial)
C2157827  nodules on the face eyebrows right outer (lateral)
C2157828  nodules on the face eyebrows left
C2157829  nodules on the face eyebrows left inner (medial)
C2157830  nodules on the face eyebrows left outer (lateral)
C2157831  nodules on the face eyebrows both
C2157832  nodules on the face cheeks
C2157833  nodules on the face cheeks right
C2157834  nodules on the face cheeks right upper (superior)
C2157835  nodules on the face cheeks right lower (inferior)
C2157836  nodules on the face cheeks right inner (medial)
C2157837  nodules on the face cheeks right outer (lateral)
C2157838  nodules on the face cheeks left
C2157839  nodules on the face cheeks left upper (superior)
C2157840  nodules on the face cheeks left lower (inferior)
C2157841  nodules on the face cheeks left inner (medial)
C2157842  nodules on the face cheeks left outer (lateral)
C2157843  nodules on the face cheeks both
C2157844  nodules on the face nose
C2157845  nodules on the face nose right
C2157846  nodules on the face nose left
C2157847  nodules on the face nose both sides
C2157848  nodules on the face nose ala nasi
C2157849  nodules on the face nose ala nasi right
C2157850  nodules on the face nose ala nasi left
C2157851  nodules on the face nose ala nasi both
C2157852  nodules on the face nose alar groove
C2157853  nodules on the face nose alar groove right
C2157854  nodules on the face nose alar groove left
C2157855  nodules on the face nose alar groove both
C2157856  nodules on the face nose dorsum
C2157857  nodules on the face nose tip
C2157858  nodules on the face nose tip right
C2157859  nodules on the face nose tip left
C2157860  nodules on the face nose nostril
C2157861  nodules on the face nose nostril right
C2157862  nodules on the face nose nostril left
C2157863  nodules on the face nose nostril both
C2157864  nodules on the face nose columella
C2157865  nodules on the face nose nasolabial groove
C2157866  nodules on the face the paranasal folds
C2157867  nodules face the paranasal folds right
C2157868  nodules face the paranasal folds right upper (superior)
C2157869  nodules face the paranasal folds right lower (inferior)
C2157870  nodules face the paranasal folds left
C2157871  nodules face the paranasal folds left upper (superior)
C2157872  nodules face the paranasal folds left lower (inferior)
C2157873  nodules face the paranasal folds both
C2157874  nodules on the face philtrum
C2157875  nodules around mouth (physical finding)
C2157876  nodules on the face circumorally right
C2157877  nodules around left side of mouth (physical finding)
C2157878  nodules on the face circumorally both
C2157879  nodules around nose and mouth (physical finding)
C2157880  nodules around right side of nose and mouth (physical finding)
C2157881  nodules around left side of nose and mouth
C2157882  nodules around both sides of nose and mouth
C2157883  lip lesion nodules (physical finding)
C2157884  nodules on the face lip skin
C2157885  nodules on the face lip vermilion
C2157886  nodule of angular commissure (physical finding)
C2157887  nodule of angular commissure on right (physical finding)
C2157888  nodule of angular commissure on left (physical finding)
C2157889  nodules on the face chin
C2157890  nodules on the face chin right
C2157891  nodules on the face chin left
C2157892  nodules on the face chin midline
C2157893  nodules on the face chin entire
C2157894  nodules along jaw line
C2157895  nodules along right jaw line (physical finding)
C2157896  nodules on the face along the jaw line left
C2157897  nodules along anterior jaw line
C2157898  nodules on the face along the jaw line posterior
C2157899  nodules on the face along the jaw line entire
C2157900  nodules on the face a butterfly pattern
C2157901  nodules on the neck
C2157902  nodules on the neck front
C2157903  nodules on the neck front right
C2157904  nodules on the neck front left
C2157905  nodules on the neck front both
C2157906  nodules on the neck back
C2157907  nodules on the neck back right
C2157908  nodules on the neck back left
C2157909  nodules on the neck back both
C2157910  nodules on the shoulders front
C2157911  nodules on the shoulders front right
C2157912  nodules on the shoulders front left
C2157913  nodules on the shoulders front both
C2157914  nodules on the shoulders top
C2157915  nodules on the shoulders top right
C2157916  nodules on the shoulders top left
C2157917  nodules on the shoulders top both
C2157918  nodules on the shoulders back
C2157919  nodules on the shoulders back right
C2157920  nodules on the shoulders back left
C2157921  nodules on the shoulders back both
C2157922  nodule of armpit
C2157923  nodules within the armpits right
C2157924  nodules within the armpits left
C2157925  nodules within the armpits both
C2157926  nodules within the armpits right anterior axillary fold
C2157927  nodules within the armpits left anterior axillary fold
C2157928  nodules within the armpits right axillary vault
C2157929  nodules within the armpits left axillary vault
C2157930  nodules within the armpits right posterior axillary fold
C2157931  nodules within the armpits left posterior axillary fold
C2157932  nodules on the arms
C2157933  nodules on the arms right
C2157934  nodules on the arms right volar
C2157935  nodules on the arms right dorsal
C2157936  nodules on the arms right medial
C2157937  nodules on the arms right lateral
C2157938  nodules on the arms left
C2157939  nodules on the arms left volar
C2157940  nodules on the arms left dorsal
C2157941  nodules on the arms left medial
C2157942  nodules on the arms left lateral
C2157943  nodules on the arms both
C2157944  nodules on the elbows
C2157945  nodules on the elbows right
C2157946  nodules on the elbows right antecubital fossa
C2157947  nodules on the elbows right outside
C2157948  nodules on the elbows right medial
C2157949  nodules on the elbows right lateral
C2157950  nodules on the elbows right extensor
C2157951  nodules on the elbows left
C2157952  nodules on the elbows left antecubital fossa
C2157953  nodules on the elbows left outside
C2157954  nodules on the elbows left medial
C2157955  nodules on the elbows left lateral
C2157956  nodules on the elbows left extensor
C2157957  nodules on the elbows both
C2157958  nodules on the elbows both outside
C2157959  nodules on the elbows both medial
C2157960  nodules on the elbows both lateral
C2157961  nodules on the antecubital fossae
C2157962  nodules on the trunk
C2157963  nodules on the trunk right lateral
C2157964  nodules on the trunk right lateral superior
C2157965  nodules on the trunk right lateral inferior
C2157966  nodules on the trunk left lateral
C2157967  nodules on the trunk left lateral superior
C2157968  nodules on the trunk left lateral inferior
C2157969  nodules on the chest
C2157970  nodules on the chest right
C2157971  nodules on the chest right upper (superior)
C2157972  nodules on the chest right lower (inferior)
C2157973  nodules on the chest left
C2157974  nodules on the chest left upper (superior)
C2157975  nodules on the chest left lower (inferior)
C2157976  nodules on the chest midline
C2157977  nodules on the chest entire
C2157978  nodules on the breasts right
C2157979  nodules on the breasts right superior lateral quadrant
C2157980  nodules on the breasts right inferior lateral quadrant
