C0001925  Albuminuria
C2187384  retrograde pyelogram kidney calculi solitary, left only
C2187385  retrograde pyelogram kidney calculi solitary, right only
C2187386  retrograde pyelogram: cyst of kidney (procedure)
C2187387  retrograde pyelogram: cyst of kidney with calcification of wall (procedure)
C2187388  retrograde pyelogram kidney cyst multiple, both kidneys
C2187389  retrograde pyelogram kidney cyst multiple, left kidney only
C2187390  retrograde pyelogram kidney cyst multiple, right kidney only
C2187391  retrograde pyelogram kidney cyst solitary, both kidneys
C2187392  retrograde pyelogram kidney cyst solitary, left only
C2187393  retrograde pyelogram kidney cyst solitary, right only
C2187394  retrograde pyelogram kidney mass lesion ___cm
C2187395  retrograde pyelogram kidney mass lesion calcified
C2187396  retrograde pyelogram kidney mass lesion solitary, bilateral
C2187397  retrograde pyelogram kidney mass lesion solitary, left only
C2187398  retrograde pyelogram kidney mass lesion solitary, right only
C2187399  retrograde pyelogram mass lesion multiple, in both kidneys
C2187400  retrograde pyelogram mass lesion multiple, left kidney only
C2187401  retrograde pyelogram mass lesion multiple, right kidney only
C2187402  retrograde pyelogram nephrocalcinosis (procedure)
C2187403  retrograde pyelogram obstructive pattern (procedure)
C2187404  retrograde pyelogram: obstructive pattern bilaterally (procedure)
C2187405  retrograde pyelogram: obstructive pattern on left only (procedure)
C2187406  retrograde pyelogram: obstructive pattern on right only
C2187407  retrograde pyelogram papillary necrosis (procedure)
C2187408  retrograde pyelogram papillary necrosis bilateral
C2187409  retrograde pyelogram papillary necrosis left only
C2187410  retrograde pyelogram papillary necrosis right only
C2187411  retrograde pyelogram small kidney (procedure)
C2187412  retrograde pyelogram: small kidneys bilaterally
C2187413  retrograde pyelogram: small kidney on left only (procedure)
C2187414  retrograde pyelogram: small kidney on right only
C2187415  retrograde pyelogram: calculus of ureter (procedure)
C2187416  retrograde pyelogram ureter calculi multiple, both ureters
C2187417  retrograde pyelogram ureter calculi multiple, left only
C2187418  retrograde pyelogram ureter calculi multiple, right only
C2187419  retrograde pyelogram ureter calculi solitary, both ureters
C2187420  retrograde pyelogram ureter calculi solitary, left only
C2187421  retrograde pyelogram ureter calculi solitary, right only
C2187966  penis lesion papules umbilicated
C2188177  penis lesion ulcer multiple, uniform size (___ cm)
C2188323  ureterostomy
C2188414  urinalysis results: WBC eosinophils
C2188420  urinalysis results: WBCs with bacilli bacteria (___ per hpf)
C2188421  urinalysis results: WBCs with bacteria (___ per hpf)
C2188422  urinalysis results: WBCs with cocci bacteria (___ per hpf)
C2188450  bladder incontinence
C2188451  urinary incontinence by exam while standing (physical finding)
C2188452  urinary incontinence by exam while supine (physical finding)
C2188453  bladder incontinence with anatomy correction
C2188454  urinary incontinence by exam with heavy cough
C2188455  urinary incontinence by exam with Valsalva (physical finding)
C2188722  urine leukocytes (3 glass) (lab test)
C2188723  urinalysis results: leukocytes too numerous to count
C2189374  verrucous papules of penis
C2197028  bilateral costovertebral angle tenderness (physical finding)
C2197691  penis hypospadias scrotal
C2198730  abdominal computed tomography kidney enlargement bilateral
C2198732  abdominal computed tomography kidney mass bilateral ___cm
C2198735  abdominal computed tomography kidney nephrocalcinosis bilateral
C2198742  abdominal computed tomography kidney mass calcified ___cm
C2201204  right cryptorchidism (physical finding)
C2201427  right ectopic testis (physical finding)
C2201428  testes ectopic right in high scrotal position
C2201429  right ectopic testis in inguinal region (physical finding)
C2201430  right ectopic testis in perineum
C2201543  epididymis mass right
C2202206  hydrocele of right scrotum
C2202701  bladder incontinence tested with ___ cc fluid in bladder
C2210289  MRA renal artery stenosis right proximal (cm)
C2210290  MRA renal artery stenosis right distal
C2210291  MRA renal artery stenosis left proximal (cm)
C2210292  MRA renal artery stenosis left distal
C2210308  abdominal computed tomography kidney mass size (length) (___ cm)
C2210309  abdominal computed tomography kidney mass size (width) (___cm)
C2210310  CT of abdomen mass of upper pole of kidney
C2210311  CT of abdomen mass of middle pole of kidney
C2210312  CT of abdomen mass of lower pole of kidney
C2210313  abdominal magnetic resonance imaging kidney mass length (___ cm)
C2210314  abdominal magnetic resonance imaging kidney mass size (width) (___cm)
C2210315  abdominal MRI kidney mass upper pole
C2210316  abdominal MRI kidney mass mid pole
C2210317  abdominal MRI kidney mass lower pole
C2218507  right scrotal edema
C2218508  hematoma of right scrotum
C2218509  scrotum laceration right
C2218510  scrotum laceration right depth
C2218511  scrotum laceration right edges
C2218512  scrotum laceration right edges ragged
C2218513  scrotum laceration right to fascia
C2218514  scrotum laceration right to fat
C2218515  scrotum laceration right to muscle
C2218516  scrotum laceration right extending into testicle
C2218517  scrotum laceration right to tunica vaginalis
C2218518  scrotum laceration right full thickness
C2218519  scrotum laceration right jagged
C2218520  scrotum laceration right L-shaped
C2218521  scrotum laceration right shape
C2218522  scrotum laceration right straight line
C2218523  scrotum laceration right superficial (epidermal only)
C2218524  scrotum laceration R postsuture edge adequately approximated
C2218525  scrotum laceration right edges postsuture approximation
C2218526  scrotum laceration R postsuture edges poorly approximated
C2218527  scrotum laceration right postsuture edges well-approximated
C2218528  scrotum laceration right V-shaped
C2218529  scrotum laceration right Y-shaped
C2218531  mass in right scrotum
C2218796  atrophic right testis
C2218797  testes mass right
C2219168  right ureterostomy by exam (physical finding)
C2219169  right ureterostomy narrowed by exam (physical finding)
C2219170  right ureterostomy obstructed by exam (physical finding)
C2219171  ureterostomy right prolapsed
C2219172  right ureterostomy with blood by exam
C2219173  right varicocele
C2219180  right vulvar mass
C2219518  sanguineous penile discharge (physical finding)
C2220100  number of hours since child's last urination
C2220565  CT of abdomen enlarged kidney
C2220566  CT of abdomen enlarged kidney on left
C2220567  CT of abdomen enlarged kidney on right
C2220572  abdominal computed tomography kidney mass
C2220573  CT of abdomen mass of renal pelvis
C2220581  abdominal CT mass of left kidney
C2220615  abdominal computed tomography kidney cysts multiple, bilateral
C2220617  abdominal computed tomography kidney cysts multiple, left only
C2220619  abdominal computed tomography kidney cysts multiple, right only
C2220627  abdominal computed tomography kidney nephrocalcinosis
C2220628  abdominal computed tomography kidney nephrocalcinosis left only
C2220629  abdominal computed tomography kidney nephrocalcinosis right only
C2222173  nephrostomy in the right flank
C2222174  nephrostomy in the left flank
C2222183  nephrostomy present with clean, nonerythematous skin and a pink, moist mucosa
C2222184  skin surrounding nephrostomy
C2222185  erythematous skin surrounding nephrostomy
C2222186  fluctuant skin surrounding nephrostomy
C2222187  purulent discharge of skin surrounding nephrostomy (physical finding)
C2222188  tender skin surrounding nephrostomy (physical finding)
C2222189  nephrostomy obstructed (physical finding)
C2222191  abdominal suprapubic catheter (physical finding)
C2225085  epididymis mass bilateral
C2225089  sebaceous cysts of right scrotum
C2225090  sebaceous cysts of left scrotum
C2225091  sebaceous cysts of both scrotum (physical finding)
C2225092  bilateral scrotal hematomas (physical finding)
C2225093  laceration of scrotum bilaterally (physical finding)
C2225097  bilateral varicoceles
C2225105  size of largest of multiple penile ulcers of varying sizes in cm
C2225106  size of mass in proximal part of ventral shaft of penis in centimeters
C2225107  penis mass ventral shaft distal (___ cm)
C2225108  penis mass ventral shaft irregular borders (___ cm)
C2225109  size of mass in ventral shaft of penis that protrudes through skin in centimeters
C2225110  size of fixed mass in ventral shaft of penis in cm
C2225111  size of mass in proximal part of dorsal shaft of penis in centimeters
C2225112  penis mass dorsal shaft distal (___ cm)
C2225113  size of soft mass in dorsal shaft of penis in centimeters
C2225114  penis mass dorsal shaft firm (___ cm)
C2225115  penis mass dorsal shaft hard (___ cm)
C2225116  penis mass dorsal shaft irregular borders (___ cm)
C2225117  penis mass dorsal shaft protrudes through skin (___ cm)
C2225118  penis mass dorsal shaft fixed (___ cm)
C2225119  size of mass in lateral shaft of penis in centimeters
C2225120  size of mass in proximal part of lateral shaft of penis in centimeters
C2225121  size of mass in distal part of lateral shaft of penis in cm
C2225122  size of soft mass in lateral shaft of penis in centimeters
C2225123  size of firm mass in lateral shaft of penis in centimeters
C2225124  size of hard mass in lateral shaft of penis in centimeters
C2225125  size of irregular mass in lateral shaft of penis in cm
C2225126  size of mass in lateral shaft of penis that protrudes through skin in centimeters
C2225127  size of fixed mass in lateral shaft of penis in centimeters
C2225128  size of mass in proximal part of right lateral shaft of penis in cm
C2225129  penis mass lateral shaft proximal left side (___ cm)
C2225130  size of mass in distal part of right lateral shaft of penis in centimeters
C2225131  size of mass in distal part of left lateral shaft of penis in centimeters
C2225132  size of mass in ventral glans penis in cm
C2225133  penis mass glans dorsal (___ cm)
C2225134  penis mass glans lateral (___ cm)
C2225135  penis mass glans lateral right side (___ cm)
C2225136  size of mass in left lateral glans penis in centimeters
C2225137  size of mass in foreskin of penis in cm
C2225138  size of mass in ventral foreskin of penis in centimeters
C2225139  size of mass in dorsal foreskin of penis in cm
C2225140  size of mass in lateral foreskin of penis in centimeters
C2225141  size of mass in right lateral foreskin of penis in centimeters
C2225142  size of mass in left lateral foreskin of penis in centimeters
C2225170  bilateral scrotal masses
C2225347  vesicovaginal fistula mid
C2225511  mass of labia majora
C2225512  mass of right labia majora
C2225513  mass of left labia majora
C2225514  mass of labia minora
C2225515  mass of right labia minora (physical finding)
C2225516  labia minora mass left
C2227369  testes ectopic bilaterally
C2227370  bilateral ectopic testes in perineum
C2227371  bilateral ectopic testis in high scrotal position
C2227372  bilateral ectopic testis in inguinal region
C2227376  vulvar mass right fluctuant
C2227377  vulvar mass right mobile
C2227378  vulvar mass right fixed
C2227379  vulvar mass left fluctuant
C2227380  mobile left vulvar mass
C2227381  fixed left vulvar mass
C2227575  abdominal computed tomography kidney mass right (___ cm)
C2228139  primary nocturnal enuresis (diagnosis)
C2228769  penis mass ventral shaft
C2229544  serpiginous penile ulcer
C2230349  penis lesion ulcer single (___ cm)
C2230350  multiple penile ulcers of varying sizes
C2230351  size of mass in glans penis in cm
C2234376  penis discharge mucinous
C2234377  bloody penile discharge
C2235074  penis laceration foreskin depth
C2235075  penis laceration foreskin superficial (epidermal only)
C2235076  penis laceration foreskin full thickness
C2235077  penis laceration foreskin shape
C2235078  penis laceration foreskin straight line
C2235079  penis laceration foreskin V-shaped
C2235080  penis laceration foreskin Y-shaped
C2235081  penis laceration foreskin L-shaped
C2235082  penis laceration foreskin jagged
C2235083  penis laceration foreskin orientation
C2235084  penis laceration foreskin orientation longitudinal
C2235085  penis laceration foreskin orientation transverse
C2235086  penis laceration foreskin edges
C2235087  penis laceration foreskin edges ragged
C2235088  penis laceration foreskin edges postsuture approximation
C2235089  penis laceration foreskin postsuture edges well-approximated
C2235090  postsuture edges of laceration on the foreskin were adequately approximated
C2235091  postsuture edges of laceration on the foreskin were poorly approximated
C2237475  bilateral renal artery bruit
C2237595  bilateral scrotal edema (physical finding)
C2237596  bilateral hydroceles (physical finding)
C2237597  bilateral testicular masses
C2315822  Retention of urine due to occlusion of Foley catheter (disorder)
C2367058  seminal vesicles absent bilaterally
C2367059  seminal vesicles absent on left (physical finding)
C2367060  absent right seminal vesicle (physical finding)
C2584331  Urinary continence
C2584688  SWELLING OF TESTICLES
C2584926  Suprapubic urinary catheter in situ (finding)
C2585990  Increased AD7c neuronal thread protein concentration in urine
C2586100  Urinary catheter in situ
C2700122  Urinary Tract Anastomotic Leakage
C2700124  Urinary Tract Perforation
C2700125  Urinary Tract Stenosis
C2711028  Catecholamine in urine specimen above reference range
C2711267  Stress incontinence after prostatectomy
C2711474  Altered bladder function (finding)
C2732859  Indwelling urinary catheter bulb in urethra (finding)
C2733025  Left kidney absent
C2733026  Right kidney absent
C2733184  Indwelling urinary catheter fell out (finding)
C2919170  Cystic dilatation of paraurethral gland
C2919640  Left kidney present (finding)
C2919703  Right kidney present (finding)
C2919741  Age related reduction of renal function (finding)
C2921589  cath pulmonary artery embolus left branch (procedure)
C2921590  cath pulmonary artery embolus left branch lower lobe (procedure)
C2921591  cath pulmonary artery embolus left branch upper lobe
C2921592  cath pulmonary artery embolus main
C2921593  cath pulmonary artery embolus right branch
C2921594  cath pulmonary artery embolus right branch lower lobe (procedure)
C2921595  cath pulmonary artery embolus right branch middle lobe (procedure)
C2921596  cath pulmonary artery embolus right branch upper lobe (procedure)
C2921597  cath pulmonary artery embolus sadddle
C2921719  cystoscopy urethra stricture navicular fossa
C2945609  Urinary sediment, NOS
C2957121  congenital anomalies of urinary system corrected (diagnosis)
C2957169  cystoscopy bladder ureteral orifice bullous edema bilaterally
C2957170  cystoscopy bladder ureteral orifice bullous edema left
C2957171  cystoscopy bladder ureteral orifice bullous edema right (procedure)
C2957172  cystoscopy bladder ureteral orifice morphology bullous edema
C2957333  hypospadia corrected
C2959436  Urinary bladder sand
C2959980  Infection of epididymis due to Chlamydia trachomatis (disorder)
C2960538  Hematoma of prepuce (disorder)
C2960699  Residual ureterocele
C3161659  urinary symptoms ipss score ___ (symptom)
C3264505  Nodular prostate with lower urinary tract symptoms
C3274336  Grade I Vesicoureteral Reflux
C3274337  Grade II Vesicoureteral Reflux
C3274338  Grade III Vesicoureteral Reflux
C3274339  Grade IV Vesicoureteral Reflux
C3274340  Grade V Vesicoureteral Reflux
C3274487  Ureterovesical Obstruction
C3469524  prostate cancer susceptibility
C3472581  Non-organic primary nocturnal enuresis
C3472582  Non-organic secondary nocturnal enuresis
C3472583  Non-organic nocturnal enuresis (finding)
C3472689  Acquired penile adhesion
C3494767  Penile mid-shaft hypospadias (disorder)
C3494768  Covered exstrophy of bladder (disorder)
C3494805  Primary right vesicoureteral reflux
C3494806  Primary right vesicoureteral reflux grade 1
C3494807  Primary right vesicoureteral reflux grade 1 measured by radionuclide cystogram (disorder)
C3494808  Primary right vesicoureteral reflux grade 2
C3494809  Primary right vesico-ureteric reflux grade 3
C3494810  Primary right vesicoureteral reflux grade 4 (disorder)
C3494811  Primary right vesico-ureteric reflux grade 5
C3494812  Primary right vesico-ureteric reflux grade 2 measured by radionuclide cystogram
C3494813  Primary right vesicoureteral reflux grade 3 measured by radionuclide cystogram
C3494814  Primary right vesicoureteral reflux grade 1 measured by voiding cystourethrography (disorder)
C3494815  Primary right vesico-ureteric reflux grade 2 measured by voiding cystourethrography
C3494816  Primary right vesicoureteral reflux grade 3 measured by VCUG - voiding cystourethrography
C3494817  Primary right vesico-ureteric reflux grade 4 measured by voiding cystourethrography
C3494818  Primary right vesicoureteral reflux grade 5 measured by voiding cystourethrography (disorder)
C3494819  Primary left vesicoureteral reflux (disorder)
C3494820  Primary left vesicoureteral reflux grade 1
C3494821  Primary left vesicoureteral reflux grade 2
C3494822  Primary left vesicoureteral reflux grade 3 (disorder)
C3494823  Primary left vesico-ureteric reflux grade 4
C3494824  Primary left vesicoureteral reflux grade 5 (disorder)
C3494825  Primary left vesicoureteral reflux grade 1 measured by radionuclide cystogram
C3494826  Primary left vesicoureteral reflux grade 2 measured by radionuclide cystogram
C3494827  Primary left vesicoureteral reflux grade 3 measured by radionuclide cystogram
C3494828  Primary left vesicoureteral reflux grade 1 measured by voiding urethrocystography
C3494829  Primary left vesicoureteral reflux grade 2 measured by voiding urethrocystography
C3494830  Primary left vesico-ureteric reflux grade 3 measured by voiding urethrocystography
C3494831  Primary left vesicoureteral reflux grade 4 measured by voiding urethrocystography
C3494832  Primary left vesico-ureteric reflux grade 5 measured by voiding urethrocystography
C3494847  Secondary right vesicoureteral reflux grade 1 measured by radionuclide cystogram
C3494848  Secondary right vesicoureteral reflux grade 2 measured by radionuclide cystogram (disorder)
C3494849  Secondary right vesicoureteral reflux grade 3 measured by radionuclide cystogram (disorder)
C3494850  Secondary left vesicoureteral reflux grade 1 measured by radionuclide cystogram (disorder)
C3494851  Secondary left vesicoureteral reflux grade 3 measured by RNC - radionuclide cystogram
C3494852  Secondary left vesico-ureteric reflux grade 2 measured by radionuclide cystogram
C3494853  Secondary right vesicoureteral reflux grade 1 measured by voiding urethrocystography
C3494854  Secondary right vesicoureteral reflux grade 2 measured by voiding urethrocytography (disorder)
C3494855  Secondary right vesicoureteral reflux grade 3 measured by voiding urethrocystography (disorder)
C3494856  Secondary right vesicoureteral reflux grade 4 measured by voiding urethrocystography
C3494857  Secondary right vesicoureteral reflux grade 5 measured by voiding urethrocystography
C3494858  Secondary left vesicoureteral reflux grade 1 measured by voiding urethrocytography (disorder)
C3494859  Secondary left vesico-ureteric reflux grade 2 measured by voiding urethrocystography
C3494860  Secondary left vesico-ureteric reflux grade 3 measured by voiding urethrocystography
C3494861  Secondary left vesicoureteral reflux grade 4 measured by voiding urethrocystography (disorder)
C3494862  Secondary left vesicoureteral reflux grade 5 measured by voiding urethrocystography (disorder)
C3494931  Parapelvic renal cyst (finding)
C3495000  Decreased urinary bladder capacity
C3505992  urethra catheter in place leaking
C3505993  urethra catheter in place - crystals in urine (physical finding)
C3509545  isolated proteinuria with morphological lesion (diagnosis)
C3509546  isolated proteinuria with diffuse cresentic glomerulonephritis
C3531787  Malignant hypertensive end stage renal disease on dialysis (disorder)
C3532029  Cystic dilatation of duct of bulbourethral gland (disorder)
C3532629  Migration of suprapubic catheter
C3532685  Normal renal function of transplanted kidney
