C0003962  Ascites
C2109521  erythema of medial aspect of both knees (physical finding)
C2109522  erythema of posterior aspect of both knees
C2109523  erythema of superior aspect of both knees
C2109524  erythema of anterior aspect of left knee
C2109525  erythema of inferior aspect of left knee (physical finding)
C2109526  erythema of lateral aspect of left knee
C2109527  erythema of medial aspect of left knee
C2109528  erythema of posterior aspect of left knee
C2109529  erythema of superior aspect of left knee (physical finding)
C2109530  erythema of anterior aspect of right knee (physical finding)
C2109531  erythema of inferior aspect of right knee (physical finding)
C2109532  erythema of lateral aspect of right knee (physical finding)
C2109533  erythema of medial aspect of right knee (physical finding)
C2109534  erythema of posterior aspect of right knee (physical finding)
C2109535  erythema of superior aspect of right knee (physical finding)
C2111423  laparoscopy: adhesions of appendix (procedure)
C2111424  laparoscopy: dilation of appendix
C2111425  laparoscopy: endometriotic tissue of appendix
C2111426  laparoscopy: erythema of appendix (procedure)
C2111428  the appendix showed fibrinous material
C2111429  laparoscopy: gangrene of appendix (procedure)
C2111431  laparoscopy: rupture of appendix
C2111440  laparoscopy: adhesions of large intestine (procedure)
C2111441  laparoscopy: dilation of large intestine (procedure)
C2111442  laparoscopy: endometriotic tissue of large intestine (procedure)
C2111443  the large intestine showed Meckel's diverticulum
C2111444  laparoscopy: stricture of large intestine
C2111485  laparoscopy: adhesions of small intestine (procedure)
C2111486  laparoscopy: dilation of small intestine
C2111487  laparoscopy: endometriotic tissue of small intestine (procedure)
C2111488  the small intestine showed Meckel's diverticulum
C2111489  laparoscopy: stricture of small intestine (procedure)
C2111917  enlarged, fluctuant popliteal lymph nodes bilaterally (physical finding)
C2111918  enlarged, rubbery popliteal lymph nodes bilaterally (physical finding)
C2111919  enlarged, hard popliteal lymph nodes bilaterally
C2111920  bilateral popliteal lymphadenopathy with draining sinus tract
C2111921  buboes of popliteal lymph nodes bilaterally (physical finding)
C2111922  consistency of bilaterally enlarged popliteal lymph nodes
C2111923  enlarged, fixed popliteal lymph nodes bilaterally (physical finding)
C2111924  enlarged, mobile popliteal lymph nodes bilaterally
C2111925  enlarged, suppurative popliteal lymph nodes bilaterally (physical finding)
C2111926  enlarged, tender popliteal lymph nodes bilaterally
C2111927  bubo of left popliteal lymph node
C2111928  consistency of enlarged left popliteal lymph node (physical finding)
C2111929  left popliteal lymphadenopathy with draining sinus tract
C2111930  enlarged, fixed left popliteal lymph node
C2111931  enlarged, mobile left popliteal lymph node (physical finding)
C2111932  enlarged, suppurative left popliteal lymph node (physical finding)
C2111933  enlarged, tender left popliteal lymph node
C2111934  bubo of right popliteal lymph node
C2111935  consistency of enlarged right popliteal lymph node (physical finding)
C2111936  right popliteal lymphadenopathy with draining sinus tract
C2111937  enlarged, fixed right popliteal lymph node (physical finding)
C2111938  enlarged, mobile right popliteal lymph node (physical finding)
C2111939  enlarged, suppurative right popliteal lymph node (physical finding)
C2111940  enlarged, tender right popliteal lymph node
C2112101  enlarged, fluctuant postauricular lymph nodes bilaterally (physical finding)
C2112102  enlarged, rubbery postauricular lymph nodes bilaterally (physical finding)
C2112103  enlarged, hard postauricular lymph nodes bilaterally
C2112104  enlarged postauricular lymph nodes bilaterally (physical finding)
C2112105  buboes of postauricular lymph nodes bilaterally
C2112106  consistency of bilaterally enlarged postauricular lymph nodes
C2112107  bilateral posterior auricular lymphadenopathy with draining sinus tract
C2112108  enlarged, fixed postauricular lymph nodes bilaterally
C2112109  enlarged, mobile postauricular lymph nodes bilaterally
C2112110  enlarged, suppurative postauricular lymph nodes bilaterally (physical finding)
C2112111  enlarged, tender postauricular lymph nodes bilaterally (physical finding)
C2112112  bubo of left postauricular lymph node
C2112113  consistency of enlarged left postauricular lymph node (physical finding)
C2112114  left posterior auricular lymphadenopathy with draining sinus tract
C2112115  enlarged, fixed left postauricular lymph node (physical finding)
C2112116  enlarged, mobile left postauricular lymph node (physical finding)
C2112117  enlarged, suppurative left postauricular lymph node
C2112118  enlarged, tender left postauricular lymph node
C2112119  enlarged left postauricular lymph node
C2112120  enlarged right postauricular lymph node
C2112121  bubo of right postauricular lymph node (physical finding)
C2112122  consistency of enlarged right postauricular lymph node
C2112123  postauric lymph nodes enlarged right draining sinus tract
C2112124  enlarged, fixed right postauricular lymph node (physical finding)
C2112125  enlarged, mobile right postauricular lymph node (physical finding)
C2112126  enlarged, suppurative right postauricular lymph node
C2112127  enlarged, tender right postauricular lymph node (physical finding)
C2112133  post-delivery exam cervical laceration (___ mm)
C2112134  post-delivery exam showing cervical laceration at specified location
C2112158  post-delivery exam vaginal sulcus tear (___ cm)
C2112159  post-delivery exam vaginal sulcus tear left sidewall (cm)
C2112160  post-delivery exam vaginal sulcus tear right sidewall (cm)
C2112215  enlarged posterior cervical lymph nodes bilaterally
C2112216  enlarged left posterior cervical lymph nodes (physical finding)
C2112217  enlarged right posterior cervical lymph nodes (physical finding)
C2112516  uveitis left eye posterior
C2112517  uveitis right eye posterior
C2112816  status post gastric or duodenal anastomosis (diagnosis)
C2112817  status post intestinal bypass (diagnosis)
C2112818  status post gastric banding
C2112819  status post gastric bypass for obesity (diagnosis)
C2112820  post-obesity surgery
C2112915  enlarged, fluctuant preauricular lymph nodes bilaterally (physical finding)
C2112916  enlarged, rubbery preauricular lymph nodes bilaterally (physical finding)
C2112917  enlarged, hard preauricular lymph nodes bilaterally
C2112918  bilateral preauricular lymphadenopathy with draining sinus tract
C2112919  enlarged preauricular lymph nodes bilaterally (physical finding)
C2112920  buboes of preauricular lymph nodes bilaterally (physical finding)
C2112921  consistency of bilaterally enlarged preauricular lymph node
C2112922  enlarged, fixed preauricular lymph nodes bilaterally (physical finding)
C2112923  enlarged, mobile preauricular lymph nodes bilaterally
C2112924  enlarged, suppurative preauricular lymph nodes bilaterally
C2112925  enlarged, tender preauricular lymph nodes bilaterally (physical finding)
C2112926  bubo of left preauricular lymph node (physical finding)
C2112927  consistency of enlarged left preauricular lymph node
C2112928  enlarged left preauricular lymph node with draining sinus tract (physical finding)
C2112929  enlarged, fixed left preauricular lymph node (physical finding)
C2112930  enlarged, mobile left preauricular lymph node
C2112931  enlarged, suppurative left preauricular lymph node (physical finding)
C2112932  enlarged, tender left preauricular lymph node (physical finding)
C2112933  enlarged left preauricular lymph node
C2112934  enlarged right preauricular lymph node (physical finding)
C2112935  bubo of right preauricular lymph node (physical finding)
C2112936  consistency of enlarged right preauricular lymph node
C2112937  enlarged right preauricular lymph node with draining sinus tract (physical finding)
C2112938  enlarged, fixed right preauricular lymph node (physical finding)
C2112939  enlarged, mobile right preauricular lymph node
C2112940  enlarged, suppurative right preauricular lymph node (physical finding)
C2112941  enlarged, tender right preauricular lymph node (physical finding)
C2114555  primary complex tuberculosis bacteriology and histology not done (diagnosis)
C2114556  primary complex tuberculosis bacteriology and histology unknown (diagnosis)
C2114725  rigid proctosigmoidoscopy: bleeding internal hemorrhoids
C2114726  rigid proctosigmoidoscopy: friable internal hemorrhoids (procedure)
C2114727  rigid proctosigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2114739  proctosigmoidoscopy (rigid) hemorrhoids
C2114740  proctosigmoidoscopy (rigid) hemorrhoids internal
C2116022  firm nodule of thyroid (physical finding)
C2116023  firm nodule of left lobe of thyroid
C2116024  firm nodule of right lobe of thyroid
C2116025  fixed nodule of thyroid (physical finding)
C2116026  fixed nodule of left lobe of thyroid
C2116027  fixed nodule of right lobe of thyroid
C2116034  hard, small, and smooth nodule of thyroid
C2116035  hard, small, and smooth nodule of left lobe of thyroid (physical finding)
C2116036  hard, small, and smooth nodule of right lobe of thyroid (physical finding)
C2116082  thyroid nodule
C2116147  single nodule of thyroid (physical finding)
C2116148  single hard nodule of thyroid (physical finding)
C2116149  single nodule of thyroid with increase in size since prior exam (physical finding)
C2116150  single nodule of midline thyroid
C2116151  single nodule of left lobe of thyroid (physical finding)
C2116152  single nodule of right lobe of thyroid
C2116153  single tender nodule of thyroid (physical finding)
C2116159  soft nodule of thyroid (physical finding)
C2116160  soft nodule of left lobe of thyroid (physical finding)
C2116161  soft nodule of right lobe of thyroid (physical finding)
C2118623  pulmonary tuberculosis involving bronchus bacteriology and histology unknown
C2118628  tuberculosis of sinus bacteriology and histology not done
C2118629  tuberculosis of sinus bacteriology and histology unknown
C2118634  tuberculosis of nose bacteriology and histology not done
C2118635  tuberculosis of nose bacteriology and histology unknown (diagnosis)
C2118640  tuberculosis of nasopharynx bacteriology and histology not done (diagnosis)
C2118641  tuberculosis of nasopharynx bacteriology and histology unknown
C2118646  tuberculosis of mediastinum bacteriology and histology not done (diagnosis)
C2118647  tuberculosis of mediastinum bacteriology and histology unknown
C2118652  tuberculosis of knee bacteriology and histology not done (diagnosis)
C2118653  tuberculosis of knee bacteriology and histology unknown (diagnosis)
C2118664  tuberculous otitis media bacteriology and histology not done
C2118665  tuberculous otitis media bacteriology and histology unknown
C2118670  acute miliary tuberculosis bacteriology and histology not done
C2118671  acute miliary tuberculosis bacteriology and histology unknown (diagnosis)
C2119242  TB pleurisy, primary progressive TB, bacteriology / histology not done
C2119243  TB pleurisy, primary progressive TB, bacteriology / histology unknown
C2119247  TB lower extremity bacteriology / histology not done
C2119248  TB lower extremity bacteriology / histology unknown
C2119253  tuberculosis of bone bacteriology and histology not done (diagnosis)
C2119254  tuberculosis of bone bacteriology and histology unknown (diagnosis)
C2119259  tuberculosis of joint bacteriology and histology not done (diagnosis)
C2119260  tuberculosis of joint bacteriology and histology unknown (diagnosis)
C2119265  tuberculous prostatitis bacteriology and histology not done
C2119266  prostatitis tuberculous bacteriology and histology unknown
C2119267  tuberculous prostatitis TB in sputum: (+) microscopy
C2119268  tuberculous prostatitis TB in sputum: (+) culture (-) microscopy (diagnosis)
C2119269  tuberculous prostatitis TB (+) histology, (-) bacteriology
C2119270  tuberculous prostatitis TB (+) other way (-) bacteriology (-) histology (diagnosis)
C2121402  fiberoptic sigmoidoscopy mucosal erythema
C2121405  sigmoidoscopy (fiberoptic) diverticula
C2121406  fiberoptic sigmoidoscopy: diffuse diverticula (procedure)
C2121407  fiberoptic sigmoidoscopy: left-sided diverticula (procedure)
C2121408  fiberoptic sigmoidoscopy: right-sided diverticula (procedure)
C2121409  fiberoptic sigmoidoscopy: scattered diverticula
C2121412  fiberoptic sigmoidoscopy: polyps (procedure)
C2121413  fiberoptic sigmoidoscopy: flat polyps (procedure)
C2121414  fiberoptic sigmoidoscopy: pedunculated polyps (procedure)
C2121415  fiberoptic sigmoidoscopy: sessile polyps
C2121416  fiberoptic sigmoidoscopy: obstructing polyps
C2121417  fiberoptic sigmoidoscopy: near-obstructing polyps (procedure)
C2121418  fiberoptic sigmoidoscopy: ulcerated mass
C2121421  sigmoidoscopy (fiberoptic) hemorrhoids
C2121422  sigmoidoscopy (fiberoptic) hemorrhoids internal
C2121423  fiberoptic sigmoidoscopy: friable internal hemorrhoids (procedure)
C2121424  fiberoptic sigmoidoscopy: bleeding internal hemorrhoids (procedure)
C2121425  fiberoptic sigmoidoscopy: prolapsed internal hemorrhoids (procedure)
C2122142  duodenoscopy foreign body (procedure)
C2122144  duodenoscopy polyps
C2122188  duodenoscopy fistula (procedure)
C2122217  ultrasound appendiceal mural thickening
C2122218  ultrasound appendiceal appendicolith
C2123115  MRCP pancreas ____cm cyst
C2123116  magnetic resonance cholangiopancreatography pancreatic cyst ____cm head
C2123117  magnetic resonance cholangiopancreatography pancreatic cyst ____cm body
C2123118  MRCP pancreas ____cm cyst tail
C2123119  magnetic resonance cholangiopancreatography pancreatic cyst ____cm uncinate process
C2123120  MRCP pancreas pseudocyst ____cm
C2123156  MRCP gallbladder calculi
C2123158  biopsy of esophagus dysplasia (procedure)
C2123159  biopsy of esophagus dysplasia grade (L/M/H) (procedure)
C2133532  recurrent bacterial infections of ears during childhood (history)
C2133618  dosage failure excessive amount during blood transfusion
C2133783  nonspecific serologic evidence of HIV
C2136018  foreign object(s) placed in rectum
C2136541  recent methicillin-resistant Staphylococcus aureus infection
C2137410  corneal keratic precipitates bilaterally
C2137411  keratic precipitates of left cornea (physical finding)
C2137412  granulomatous keratic precipitates of left cornea
C2137413  nongranulomatous keratic precipitates of left cornea (physical finding)
C2137414  keratic precipitates of right cornea
C2137415  granulomatous keratic precipitates of right cornea
C2137416  nongranulomatous keratic precipitates of right cornea
C2137492  infectious corneal ulceration (physical finding)
C2137493  infectious corneal ulceration with perforation (physical finding)
C2138887  large central incisors
C2139695  left anterior cervical lymphadenopathy
C2140138  left axillary lymphadenopathy
C2140139  enlarged, fluctuant left axillary lymph node
C2140140  enlarged, rubbery left axillary lymph node
C2140141  enlarged, hard left axillary lymph node (physical finding)
C2140397  ultrasound breast abscess left breast
C2140398  ultrasound abscess left breast inferior lateral quadrant
C2140399  ultrasound abscess left breast inferior medial quadrant
C2140400  ultrasound abscess left breast superior lateral quadrant
C2140401  ultrasound abscess left breast superior medial quadrant
C2140516  enlarged, fixed left cervical lymph node (physical finding)
C2140517  enlarged, fluctuant left cervical lymph node
C2140518  enlarged, mobile left cervical lymph node (physical finding)
C2140519  enlarged, rubbery left cervical lymph node (physical finding)
C2140520  enlarged, hard left cervical lymph node
C2140521  enlarged, tender left cervical lymph node (physical finding)
C2140522  erythema of left chest (physical finding)
C2140523  erythema of left chest at anterior axillary line
C2140524  erythema of left chest at mid-axillary line
C2140525  erythema of left chest at mid-clavicular line
C2140526  erythema of left chest at specified rib (#___) (physical finding)
C2140527  erythema of left chest extending to specified rib (#___) (physical finding)
C2141005  enlarged, fluctuant left epitrochlear lymph node (physical finding)
C2141006  enlarged, rubbery left epitrochlear lymph node
C2141007  enlarged, hard left epitrochlear lymph node
C2141132  enlarged, fluctuant left femoral lymph node
C2141133  enlarged, rubbery left femoral lymph node (physical finding)
C2141134  enlarged, hard left femoral lymph node (physical finding)
C2142141  enlarged, fluctuant left inguinal lymph node
C2142142  enlarged, rubbery left inguinal lymph node
C2142143  enlarged, hard left inguinal lymph node (physical finding)
C2143236  epithelial keratitis punctate right eye central
C2143320  purpura along anterior jaw line (physical finding)
C2143321  purpura along entire jaw line
C2143322  purpura on the face along the jaw line
C2143323  purpura along left jaw line (physical finding)
C2143324  purpura along posterior jaw line
C2143325  purpura along right jaw line
C2143326  purpura on the face circumorally both
C2143327  purpura around both sides of nose and mouth (physical finding)
C2143328  purpura around left side of mouth (physical finding)
C2143329  purpura around left side of nose and mouth
C2143330  purpura around mouth (physical finding)
C2143331  purpura on the face around nose and mouth
C2143332  purpura around right side of mouth (physical finding)
C2143333  purpura on the face around nose and mouth right
C2143334  purpura between the toes left foot first-second
C2143335  purpura between the toes right foot first-second
C2143336  purpura between fourth and fifth toes on left foot
C2143337  purpura between fourth and fifth toes on right foot
C2143338  purpura between the toes left foot second-third
C2143339  purpura between second and third toes on right foot
C2143340  purpura between third and fourth toes on left foot (physical finding)
C2143341  purpura between third and fourth toes on right foot (physical finding)
C2143342  purpura between toes (physical finding)
C2143343  purpura between toes on both feet (physical finding)
C2143344  purpura between toes on left foot
C2143345  purpura between the toes right foot
C2143346  purpura 'blueberry muffin' rash (physical finding)
C2143347  purpura was seen in the diaper area involving the buttocks
C2143348  purpura was seen in the diaper area toward the front
C2143349  purpura, looking papular, was seen in the diaper area
C2143350  purpura, with peeling, was seen in the diaper area
C2143351  raw-looking purpura was seen in the diaper area
C2143352  purpura, with scabs present, was seen in the diaper area
C2143353  purpura, looking smooth and red, was seen in the diaper area
C2143354  purpura in diaper area (physical finding)
C2143355  purpura in entire inguinal region (physical finding)
C2143356  purpura in inguinal region (physical finding)
C2143357  purpura in left inguinal region (physical finding)
C2143358  purpura in right inguinal region (physical finding)
C2143359  purpura on abdomen (physical finding)
C2143360  purpura on the face nose ala nasi
C2143361  purpura on the face nose alar groove
C2143362  purpura on anal region
C2143363  purpura on the feet soles left heel anterior
C2143364  purpura on anterior heel of right foot (physical finding)
C2143365  purpura on anterior neck
C2143366  purpura on anterior scalp (physical finding)
C2143367  purpura on the knees both anterior
C2143368  purpura on anterior surface of both thighs (physical finding)
C2143369  purpura on anterior surface of left knee (physical finding)
C2143370  purpura on anterior surface of left thigh (physical finding)
C2143371  purpura on the knees right anterior
C2143372  purpura on anterior surface of right thigh (physical finding)
C2143373  purpura on the feet soles left arch
C2143374  purpura on the feet soles right arch
C2143375  purpura on the chest areola
C2143376  purpura on the arms
C2143377  purpura on back
C2143378  purpura on back of both shoulders
C2143379  purpura on back of left shoulder (physical finding)
C2143380  purpura on back of right shoulder
C2143381  purpura on the shoulders back
C2143382  purpura on both ala nasi
C2143383  purpura on both alar grooves
C2143384  purpura on both ankles
C2143385  purpura on both areolae (physical finding)
C2143386  purpura on both arms (physical finding)
C2143387  purpura on both breasts (physical finding)
C2143388  purpura on both buttocks (physical finding)
C2143389  purpura on both calves (physical finding)
C2143390  purpura on the face cheeks both
C2143391  purpura on both ears
C2143392  purpura on the elbows both
C2143393  purpura on both eyebrows (physical finding)
C2143394  purpura on the forearms both
C2143395  purpura on both hands
C2143396  purpura on the calves bilaterally inferior
C2143397  purpura on both infraclavicular regions
C2143398  purpura on both knees
C2143399  purpura labia bilateral
C2143400  purpura on both lateral ankles (physical finding)
C2143401  purpura on the elbows both lateral
C2143402  purpura on both lower shins
C2143403  purpura on both medial ankles (physical finding)
C2143404  purpura on both medial elbows
C2143405  purpura on both nipples
C2143406  purpura on the face nose nostril both
C2143407  purpura on both outside elbows
C2143408  purpura on both paranasal folds (physical finding)
C2143409  purpura on the knees both popliteal fossae
C2143410  purpura on the shins both
C2143411  purpura on both sides of anterior neck (physical finding)
C2143412  purpura on both sides of posterior neck sides (physical finding)
C2143413  purpura on both superior calves (physical finding)
C2143414  purpura on the chest supraclavicular bilateral
C2143415  purpura on both temples (physical finding)
C2143416  purpura on both thighs
C2143417  purpura on both upper shins (physical finding)
C2143418  purpura on buttock (physical finding)
C2143419  purpura on the calves
C2143420  purpura on the face eyelids canthus
C2143421  purpura on cheek
C2143422  purpura on chest
C2143423  purpura on the face chin
C2143424  purpura on the face nose columella
C2143425  purpura on the thighs both distal
C2143426  purpura on the forearms left distal
C2143427  purpura on distal end of left fourth toe
C2143428  purpura on distal end of left great toe (physical finding)
C2143429  purpura on the fingers left index finger distal
C2143430  purpura on the fingers left little finger distal
C2143431  purpura on the left little toe distal
C2143432  purpura on the fingers left middle finger distal
C2143433  purpura on the fingers left ring finger distal
C2143434  purpura on distal end of left second toe (physical finding)
C2143435  purpura on distal end of left thigh (physical finding)
C2143436  purpura on distal end of left third toe (physical finding)
C2143437  purpura on the fingers left thumb distal
C2143438  purpura on distal end of right forearm
C2143439  purpura on the right fourth toe distal
C2143440  purpura on the right great toe distal
C2143441  purpura on the fingers right index finger distal
C2143442  purpura on the fingers right little finger distal
C2143443  purpura on distal end of right little toe (physical finding)
C2143444  purpura on the fingers right middle finger distal
C2143445  purpura on the fingers right ring finger distal
C2143446  purpura on the right second toe distal
C2143447  purpura on distal end of right thigh (physical finding)
C2143448  purpura on the right third toe distal
C2143449  purpura on distal end of right thumb
C2143450  purpura on dorsal surface of both hands (physical finding)
C2143451  purpura on the forearms left dorsal
C2143452  purpura on the left fourth toe dorsal
C2143453  purpura on the left great toe dorsal
C2143454  purpura on dorsal surface of left hand (physical finding)
C2143455  purpura on the fingers left index finger dorsal
C2143456  purpura on the fingers left little finger dorsal
C2143457  purpura on dorsal surface of left little toe (physical finding)
C2143458  purpura on the fingers left middle finger dorsal
C2143459  purpura on the fingers left ring finger dorsal
C2143460  purpura on the left second toe dorsal
C2143461  purpura on dorsal surface of left third toe (physical finding)
C2143462  purpura on dorsal surface of left thumb
C2143463  purpura on dorsal surface of right forearm (physical finding)
C2143464  purpura on dorsal surface of right fourth toe
C2143465  purpura on the right great toe dorsal
C2143466  purpura on dorsal surface of right hand (physical finding)
C2143467  purpura on the fingers right index finger dorsal
C2143468  purpura on the fingers right little finger dorsal
C2143469  purpura on dorsal surface of right little toe
C2143470  purpura on the fingers right middle finger dorsal
C2143471  purpura on the fingers right ring finger dorsal
C2143472  purpura on the right second toe dorsal
C2143473  purpura on dorsal surface of right third toe (physical finding)
C2143474  purpura on dorsal surface of right thumb (physical finding)
C2143475  purpura on dorsum of nose
C2143476  purpura on the ear
C2143477  purpura on elbow (physical finding)
C2143478  purpura on entire abdomen (physical finding)
C2143479  purpura on the chest entire
C2143480  purpura on entire chin (physical finding)
C2143481  purpura on entire forehead
C2143482  purpura on entire lower back (physical finding)
C2143483  purpura on the face lip lower entire
C2143484  purpura on entire middle back (physical finding)
C2143485  purpura on entire upper back
C2143486  purpura on entire upper lip
C2143487  purpura on eyebrow (physical finding)
C2143488  purpura on the face eyelids
C2143489  purpura on face
C2143490  purpura on forearm
C2143491  purpura on front of both shoulders (physical finding)
C2143492  purpura on the shoulders front left
C2143493  purpura on the shoulders front right
C2143494  purpura on front of shoulder
C2143495  purpura on the face forehead glabella
C2143496  purpura on heel of left foot (physical finding)
C2143497  purpura on heel of right foot
C2143498  purpura on the breasts left inferior lateral quadrant
C2143499  purpura on inferior lateral quadrant of right breast
C2143500  purpura on inferior medial quadrant of left breast (physical finding)
C2143501  purpura on inferior medial quadrant of right breast (physical finding)
C2143502  purpura on the chest infraclavicular
C2143503  purpura on knee (physical finding)
C2143504  purpura on labia
C2143505  purpura on lateral arch of left foot (physical finding)
C2143506  purpura on lateral arch of right foot (physical finding)
C2143507  purpura on the feet soles left heel lateral
C2143508  purpura on lateral heel of right foot (physical finding)
C2143509  purpura on lateral metatarsal area of sole of left foot (physical finding)
C2143510  purpura on lateral metatarsal area of sole of right foot (physical finding)
C2143511  purpura on lateral surface of both knees
C2143512  purpura on lateral surface of both thighs (physical finding)
C2143513  purpura on lateral surface of left forearm (physical finding)
C2143514  purpura on lateral surface of left fourth toe
C2143515  purpura on the left great toe lateral
C2143516  purpura on the fingers left index finger lateral
C2143517  purpura on lateral surface of left knee (physical finding)
C2143518  purpura on the fingers left little finger lateral
C2143519  purpura on lateral surface of left little toe
C2143520  purpura on the fingers left middle finger lateral
C2143521  purpura on the fingers left ring finger lateral
C2143522  purpura on lateral surface of left second toe (physical finding)
C2143523  purpura on lateral surface of left thigh
C2143524  purpura on lateral surface of left third toe (physical finding)
C2143525  purpura on lateral surface of left thumb
C2143526  purpura on lateral surface of right forearm
C2143527  purpura on the right fourth toe lateral
C2143528  purpura on lateral surface of right great toe
C2143529  purpura on the fingers right index finger lateral
C2143530  purpura on lateral surface of right knee (physical finding)
C2143531  purpura on the fingers right little finger lateral
C2143532  purpura on lateral surface of right little toe
C2143533  purpura on the fingers right middle finger lateral
C2143534  purpura on the fingers right ring finger lateral
C2143535  purpura on the right second toe lateral
C2143536  purpura on the thighs right lateral
C2143537  purpura on the right third toe lateral
C2143538  purpura on the fingers right thumb lateral
C2143539  purpura on left ala nasi (physical finding)
C2143540  purpura on left alar groove
C2143541  purpura on left ankle
C2143542  purpura on left antecubital fossa
C2143543  purpura on the ear left auricle antihelix
C2143544  purpura on left antitragus (physical finding)
C2143545  purpura on left areola (physical finding)
C2143546  purpura on left arm (physical finding)
C2143547  purpura on the ear left auricle
C2143548  purpura on the breasts left
C2143549  purpura on left buttock (physical finding)
C2143550  purpura on left calf
C2143551  purpura on left cheek
C2143552  purpura on left chest (physical finding)
C2143553  purpura on the ear left auricle concha
C2143554  purpura on the arms left dorsal
C2143555  purpura on left elbow
C2143556  purpura on left extensor region of elbow
C2143557  purpura on left external auditory canal (physical finding)
C2143558  purpura on left eyebrow (physical finding)
C2143559  purpura on left forearm
C2143560  purpura on the left fourth toe
C2143561  purpura on left great toe (physical finding)
C2143562  purpura on left hand (physical finding)
C2143563  purpura on left helix (physical finding)
C2143564  purpura on the fingers left index finger
C2143565  purpura on the calves on the left inferior
C2143566  purpura on the chest infraclavicular left
C2143567  purpura on left knee
C2143568  purpura on left labia (physical finding)
C2143569  purpura on left lateral ankle (physical finding)
C2143570  purpura on left lateral arm
C2143571  purpura on left lateral canthus
C2143572  purpura on left lateral cheek (physical finding)
C2143573  purpura on left lateral elbow (physical finding)
C2143574  purpura on left lateral eyebrow
C2143575  purpura on the fingers left little finger
C2143576  purpura on the left little toe
C2143577  purpura abdomen left lower (inferior)
C2143578  purpura back lower left
C2143579  purpura on left lower cheek
C2143580  purpura on left lower chest (physical finding)
C2143581  purpura on left lower eyelid (physical finding)
C2143582  purpura on left lower forehead (physical finding)
C2143583  purpura on left lower lip
C2143584  purpura on left lower paranasal fold
C2143585  purpura on the shins left inferior
C2143586  purpura on left medial ankle
C2143587  purpura on left medial arm (physical finding)
C2143588  purpura on the face eyelids canthus left medial
C2143589  purpura on the face cheeks left inner (medial)
C2143590  purpura on the elbows left medial
C2143591  purpura on the face eyebrows left inner (medial)
C2143592  purpura on left middle back
C2143593  purpura on the fingers left middle finger
C2143594  purpura on left nipple (physical finding)
C2143595  purpura on the face nose nostril left
C2143596  purpura on left outside elbow (physical finding)
C2143597  purpura on left paranasal fold
C2143598  purpura on the knees left popliteal fossa
C2143599  purpura on the fingers left ring finger
C2143600  purpura on the ear left auricle scaphoid
C2143601  purpura on left second toe (physical finding)
C2143602  purpura on left shin
C2143603  purpura on left side of anterior neck (physical finding)
C2143604  purpura on left side of chin (physical finding)
C2143605  purpura on left side of nose (physical finding)
C2143606  purpura on left side of posterior neck
C2143607  purpura on left side of scalp (physical finding)
C2143608  purpura on left side of tip of nose (physical finding)
C2143609  purpura on left superior calf
C2143610  purpura on left supraclavicular region of chest (physical finding)
C2143611  purpura on left temple
C2143612  purpura on left thigh
C2143613  purpura on left third toe
C2143614  purpura on the fingers left thumb
C2143615  purpura on left tragus
C2143616  purpura on left upper abdomen
C2143617  purpura on left upper back (physical finding)
C2143618  purpura on left upper cheek (physical finding)
C2143619  purpura on left upper chest (physical finding)
C2143620  purpura on left upper forehead
C2143621  purpura on left upper lip (physical finding)
C2143622  purpura on left upper paranasal fold (physical finding)
C2143623  purpura on left upper shin
C2143624  purpura on left volar arm (physical finding)
C2143625  purpura back lower
C2143626  purpura on the face eyelids lower
C2143627  purpura on lower lip (physical finding)
C2143628  purpura on the face eyelids lower left margin
C2143629  purpura on margin of right lower eyelid (physical finding)
C2143630  purpura on the face eyelids upper left margin
C2143631  purpura on margin of upper right eyelid
C2143632  purpura on medial arch of left foot (physical finding)
C2143633  purpura on medial arch of right foot (physical finding)
C2143634  purpura on the feet soles left heel medial
C2143635  purpura on medial heel of right foot
C2143636  purpura on the soles left metatarsal area medial
C2143637  purpura on medial metatarsal area of sole of right foot (physical finding)
C2143638  purpura on medial surface both thighs (physical finding)
C2143639  purpura on medial surface of both knees
C2143640  purpura on medial surface of left forearm
C2143641  purpura on medial surface of left fourth toe (physical finding)
C2143642  purpura on medial surface of left great toe (physical finding)
C2143643  purpura on the fingers left index finger medial
C2143644  purpura on the knees left medial
C2143645  purpura on the fingers left little finger medial
C2143646  purpura on the left little toe medial
C2143647  purpura on the fingers left middle finger medial
C2143648  purpura on the fingers left ring finger medial
C2143649  purpura on medial surface of left second toe (physical finding)
C2143650  purpura on medial surface of left thigh (physical finding)
C2143651  purpura on the left third toe medial
C2143652  purpura on the fingers left thumb medial
C2143653  purpura on the forearms right medial
C2143654  purpura on the right fourth toe medial
C2143655  purpura on medial surface of right great toe
C2143656  purpura on the fingers right index finger medial
C2143657  purpura on medial surface of right knee
C2143658  purpura on the fingers right little finger medial
C2143659  purpura on medial surface of right little toe
C2143660  purpura on the fingers right middle finger medial
C2143661  purpura on the fingers right ring finger medial
C2143662  purpura on the right second toe medial
C2143663  purpura on the thighs right medial
C2143664  purpura on the right third toe medial
C2143665  purpura on the fingers right thumb medial
C2143666  purpura on metatarsal area of sole of left foot (physical finding)
C2143667  purpura on metatarsal area of sole of right foot (physical finding)
C2143668  purpura on middle back (physical finding)
