C0020458  Hyperhidrosis
C2121915  L breast inferior lateral quad previous mass 3 size decrease
C2121916  L breast inferior lateral quad previous mass 3 size unchange
C2121917  L breast inferior lateral quad previous mass 3 spicules
C2121918  mammogram previous mass #3 of inferior lateral quadrant of left breast with increased spicules
C2121919  mammogram previous mass #3 of inferior lateral quadrant of left breast with decreased spicules
C2121920  the left breast inferior lateral quadrant third mass spicules are unchanged
C2121921  mammogram previous mass #3 of inferior lateral quadrant of left breast with microcalcifications
C2121922  mammogram previous mass #3 of inferior lateral quadrant of left breast with increased microcalcifications
C2121923  mammogram previous mass #3 of inferior lateral quadrant of left breast with decreased microcalcifications
C2121924  the left breast inferior lateral quadrant third mass microcalcifications are unchanged
C2121926  L breast inferior lateral quad previous multiple mass number
C2121927  mammogram increased number of masses of inferior lateral quadrant of left breast (procedure)
C2121928  mammogram decreased number of previous masses of inferior lateral quadrant of left breast
C2121929  the number of left breast inferior lateral quadrant masses is unchanged
C2121930  L breast inferior lateral quad previous multiple mass area
C2121932  mammogram increased diffuse fibrosis of inferior lateral quadrant of left breast compared with previous result
C2121933  mammogram decreased diffuse fibrosis of inferior lateral quadrant of left breast compared with previous result
C2121934  mammogram unchanged diffuse fibrosis of inferior lateral quadrant of left breast compared with previous result
C2121936  mammogram increased diffuse calcification of inferior lateral quadrant of left breast compared with previous result
C2121937  mammogram decreased diffuse calcification of inferior lateral quadrant of left breast compared with previous result (procedure)
C2121938  mammogram unchanged diffuse calcification of inferior lateral quadrant of left breast compared with previous result (procedure)
C2121941  L breast superior medial quad previous mass 1 size (___cm)
C2121942  L breast superior medial quad previous mass 1 size increase
C2121943  L breast superior medial quad previous mass 1 size decrease
C2121944  L breast superior medial quad previous mass 1 size unchanged
C2121945  L breast superior medial quad previous mass 1 spicules
C2121946  mammogram previous mass #1 of superior medial quadrant of left breast with increased spicules (procedure)
C2121947  mammogram previous mass #1 of superior medial quadrant of left breast with decreased spicules
C2121948  the left breast superior medial quadrant mass spicules are unchanged
C2121949  mammogram previous mass #1 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121950  mammogram previous mass #1 of superior medial quadrant of left breast with increased microcalcifications
C2121951  mammogram previous mass #1 of superior medial quadrant of left breast with decreased microcalcifications
C2121952  the left breast superior medial quadrant mass microcalcifications are unchanged
C2121954  L breast superior medial quad previous mass 2 size (___cm)
C2121955  L breast superior medial quad previous mass 2 size increase
C2121956  L breast superior medial quad previous mass 2 size decrease
C2121957  L breast superior medial quad previous mass 2 size unchanged
C2121958  L breast superior medial quad previous mass 2 spicules
C2121959  mammogram previous mass #2 of superior medial quadrant of left breast with spicules increased (procedure)
C2121960  mammogram previous mass #2 of superior medial quadrant of left breast with spicules decreased
C2121961  the left breast superior medial quadrant second mass spicules are unchanged
C2121962  mammogram previous mass #2 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121963  mammogram previous mass #2 of superior medial quadrant of left breast with increased microcalcifications (procedure)
C2121964  mammogram previous mass #2 of superior medial quadrant of left breast with decreased microcalcifications
C2121965  the left breast superior medial quadrant second mass microcalcifications are unchanged
C2121967  L breast superior medial quad previous mass 3 size (___cm)
C2121968  L breast superior medial quad previous mass 3 size increase
C2121969  L breast superior medial quad previous mass 3 size decrease
C2121970  L breast superior medial quad previous mass 3 size unchanged
C2121971  L breast superior medial quad previous mass 3 spicules
C2121972  mammogram previous mass #3 of superior medial quadrant of left breast with increased spicules (procedure)
C2121973  mammogram previous mass #3 of superior medial quadrant of left breast with decreased spicules
C2121974  the left breast superior medial quadrant third mass spicules are unchanged
C2121975  mammogram previous mass #3 of superior medial quadrant of left breast with microcalcifications (procedure)
C2121976  mammogram previous mass #3 of superior medial quadrant of left breast with increased microcalcifications
C2121977  mammogram previous mass #3 of superior medial quadrant of left breast with decreased microcalcifications (procedure)
C2121978  the left breast superior medial quadrant third mass microcalcifications are unchanged
C2121979  mammogram superior medial quadrant of left breast compared with previous multiple masses (procedure)
C2121980  L breast superior medial quad previous multiple mass number
C2121981  mammogram increased number of masses of superior medial quadrant of left breast
C2121982  mammogram decreased number of previous masses of superior medial quadrant of left breast (procedure)
C2121983  the number of left breast superior medial quadrant masses is unchanged
C2121984  L breast superior medial quad previous multiple mass area
C2121986  mammogram increased diffuse fibrosis of superior medial quadrant of left breast compared with previous result (procedure)
C2121987  mammogram decreased diffuse fibrosis of superior medial quadrant of left breast compared with previous result (procedure)
C2121988  mammogram unchanged diffuse fibrosis of superior medial quadrant of left breast compared with previous result (procedure)
C2121990  mammogram increased diffuse calcification of superior medial quadrant of left breast compared with previous result (procedure)
C2121991  mammogram decreased diffuse calcification of superior medial quadrant of left breast compared with previous result (procedure)
C2121992  mammogram unchanged diffuse calcification of superior medial quadrant of left breast compared with previous result (procedure)
C2121995  L breast inferior medial quad previous mass 1 size (___cm)
C2121996  L breast inferior medial quad previous mass 1 size increase
C2121997  L breast inferior medial quad previous mass 1 size decrease
C2121998  L breast inferior medial quad previous mass 1 size unchanged
C2121999  L breast inferior medial quad previous mass 1 spicules
C2122000  mammogram previous mass #1 of inferior medial quadrant of left breast with increased spicules (procedure)
C2122001  mammogram previous mass #1 of inferior medial quadrant of left breast with decreased spicules
C2122002  the left breast inferior medial quadrant mass spicules are unchanged
C2122003  mammogram previous mass #1 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2122004  mammogram previous mass #1 of inferior medial quadrant of left breast with increased microcalcifications (procedure)
C2122005  mammogram previous mass #1 of inferior medial quadrant of left breast with decreased microcalcifications (procedure)
C2122006  the left breast inferior medial quadrant mass microcalcifications are unchanged
C2122007  L breast inferior medial quad compared with previous mass 2
C2122008  L breast inferior medial quad previous mass 2 size (___cm)
C2122009  L breast inferior medial quad previous mass 2 size increase
C2122010  L breast inferior medial quad previous mass 2 size decrease
C2122011  L breast inferior medial quad previous mass 2 size unchanged
C2122012  L breast inferior medial quad previous mass 2 spicules
C2122013  mammogram previous mass #2 of inferior medial quadrant of left breast with increased spicules (procedure)
C2122014  mammogram previous mass #2 of inferior medial quadrant of left breast with decreased spicules (procedure)
C2122015  the left breast inferior medial quadrant second mass spicules are unchanged
C2122016  mammogram previous mass #2 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2122017  mammogram previous mass #2 of inferior medial quadrant of left breast with increased microcalcifications
C2122018  mammogram previous mass #2 of inferior medial quadrant of left breast with decreased microcalcifications (procedure)
C2122019  the left breast inferior medial quadrant second mass microcalcifications are unchanged
C2122021  L breast inferior medial quad previous mass 3 size (___cm)
C2122022  L breast inferior medial quad previous mass 3 size increase
C2122023  L breast inferior medial quad previous mass 3 size decrease
C2122024  L breast inferior medial quad previous mass 3 size unchanged
C2122025  L breast inferior medial quad previous mass 3 spicules
C2122026  mammogram previous mass #3 of inferior medial quadrant of left breast with increased spicules
C2122027  mammogram previous mass #3 of inferior medial quadrant of left breast with decreased spicules (procedure)
C2122028  the left breast inferior medial quadrant third mass spicules are unchanged
C2122029  mammogram previous mass #3 of inferior medial quadrant of left breast with microcalcifications (procedure)
C2122030  mammogram previous mass #3 of inferior medial quadrant of left breast with increased microcalcifications (procedure)
C2122031  mammogram previous mass #3 of inferior medial quadrant of left breast with decreased microcalcifications (procedure)
C2122032  the left breast inferior medial quadrant third mass microcalcifications are unchanged
C2122034  L breast inferior medial quad previous multiple mass number
C2122035  mammogram increased number of masses of inferior medial quadrant of left breast
C2122036  mammogram decreased number of previous masses of inferior medial quadrant of left breast (procedure)
C2122037  the number of left breast inferior medial quadrant masses is unchanged
C2122038  L breast inferior medial quad previous multiple mass area
C2122040  mammogram increased diffuse fibrosis of inferior medial quadrant of left breast compared with previous result
C2122041  mammogram decreased diffuse fibrosis of inferior medial quadrant of left breast compared with previous result
C2122042  mammogram unchanged diffuse fibrosis of inferior medial quadrant of left breast compared with previous result (procedure)
C2122044  mammogram increased diffuse calcification of inferior medial quadrant of left breast compared with previous result (procedure)
C2122045  mammogram decreased diffuse calcification of inferior medial quadrant of left breast compared with previous result (procedure)
C2122046  mammogram unchanged diffuse calcification of inferior medial quadrant of left breast compared with previous result
C2122156  endometrial biopsy dysplasia (procedure)
C2122157  endometrial biopsy dysplasia grade (procedure)
C2122158  endometrial biopsy low-grade dysplasia
C2122159  endometrial biopsy high-grade dysplasia
C2122167  endometrial biopsy hyperplasia (procedure)
C2122168  endometrial biopsy hyperplasia with atypia
C2122169  endometrial biopsy hyperplasia without atypia (procedure)
C2126188  lump in the right breast upper outer quadrant
C2126189  lump in lower outer quadrant of right breast
C2126191  lump in lower inner quadrant of right breast
C2126193  lump in the left breast upper outer quadrant
C2126194  lump in the left breast lower outer quadrant
C2126195  lump in the left breast upper inner quadrant
C2126196  lump in lower inner quadrant of left breast
C2127289  amniotic fluid analysis nonspecific abnormal findings (lab test)
C2127566  right nipple discharge
C2127567  discharge from left nipple (symptom)
C2127568  discharge from both nipples (symptom)
C2127569  right breast abnormal lactation
C2127570  abnormal milky discharge from left nipple
C2127571  bilateral breast abnormal lactation
C2127572  bloody discharge from right nipple (symptom)
C2127573  bloody discharge from left nipple
C2127574  bloody discharge from both nipples (symptom)
C2127575  serous discharge from right nipple (symptom)
C2127576  serous discharge from left nipple
C2127577  serous discharge from both nipples (symptom)
C2129050  scrotal swelling localized
C2129051  localized right scrotal swelling
C2129052  scrotal swelling localized left
C2129661  finger pressure in vagina necessary to pass stool (symptom)
C2130238  vaginal discharge of gas (symptom)
C2130241  yellow-green nipple discharge
C2130242  yellow-green nipple discharge right
C2130243  yellow-green nipple discharge left
C2130245  brown nipple discharge (symptom)
C2130246  brown discharge from right nipple (symptom)
C2130247  brown left nipple discharge
C2130248  brown discharge from both nipples (symptom)
C2130254  itching of right breast (symptom)
C2130255  itching of left breast (symptom)
C2131676  skin plaque of breast (symptom)
C2131677  skin plaque of right breast
C2131678  skin plaque of right upper outer breast (symptom)
C2131679  skin plaque of right lower outer breast (symptom)
C2131680  skin plaque of right upper inner breast (symptom)
C2131681  skin plaque of right lower inner breast (symptom)
C2131682  skin plaque of left breast
C2131683  skin plaque of left upper outer breast (symptom)
C2131684  skin plaque of left lower outer breast (symptom)
C2131685  skin plaque of left upper inner breast (symptom)
C2131686  skin plaque of left lower inner breast (symptom)
C2131714  skin plaque of vulva
C2131715  skin plaque of right side of vulva
C2131716  skin plaque of left side of vulva
C2131717  skin plaque of entire vulvar area
C2132064  skin nodule of right breast (symptom)
C2132065  skin nodule of right upper outer breast (symptom)
C2132066  skin nodule of right lower outer breast
C2132067  skin nodule of right upper inner breast (symptom)
C2132068  skin nodule of right lower inner breast (symptom)
C2132069  skin nodule of left breast
C2132070  skin nodule of left upper outer breast (symptom)
C2132071  skin nodule of left lower outer breast (symptom)
C2132072  skin nodule of left upper inner breast
C2132073  skin nodule of left lower inner breast
C2138389  cremasteric reflexes were absent on both sides
C2138390  the cremasteric reflex was absent on the left
C2138391  the cremasteric reflex was absent on the right
C2138571  crusted lesion of external female genitalia (physical finding)
C2138572  crusted lesion of penis
C2138574  penis urinary meatus crusts
C2138633  crusts on areola (physical finding)
C2138643  crusts on both areolae (physical finding)
C2138645  crusts on both breasts (physical finding)
C2138657  crusts were seen on the labia bilaterally
C2138663  crusts on both nipples
C2138676  crusts on breast (physical finding)
C2138760  crusts on inferior lateral quadrant of left breast
C2138761  crusts on inferior lateral quadrant of right breast
C2138762  crusts on inferior medial quadrant of left breast
C2138763  crusts on inferior medial quadrant of right breast (physical finding)
C2138766  crusts on labia
C2138807  crusts on left areola (physical finding)
C2138810  crusts on left breast
C2138830  crusts on left labia (physical finding)
C2138856  crusts on left nipple
C2139196  lateral extent of angulated penile erection in degrees (physical finding)
C2139354  left adnexal tenderness
C2140151  left breast incision number [1st, 2nd, etc.]
C2140152  incision of left breast with approximation of postsuture edges
C2140153  incision of left breast with poorly approximated postsuture edges (physical finding)
C2140154  incision of left breast with well approximated postsuture edges
C2140155  multiple incisions of left breast (physical finding)
C2140156  incision of left breast with adequately approximated postsuture edges (physical finding)
C2140158  ecchymotic tissue surrounding incision of left breast
C2140159  erythematous tissue surrounding incision of left breast
C2140160  fluctuant tissue surrounding incision of left breast
C2140161  foul-smelling tissue surrounding incision of left breast
C2140162  indurated tissue surrounding incision of left breast
C2140163  swollen tissue surrounding incision of left breast (physical finding)
C2140164  tender tissue surrounding incision of left breast
C2140165  warm tissue surrounding incision of left breast
C2140166  mammogram microcalcifications of inferior lateral quadrant of left breast (procedure)
C2140167  mammogram microcalcifications of inferior medial quadrant of left breast
C2140211  serosanguineous drainage from laceration of left breast
C2140220  left breast mammogram inferior lateral quadrant mass 2 BI-RADS category ___ (0-5)
C2140221  left breast mammogram inferior lateral quadrant mass 3 BI-RADS category ___ (0-5)
C2140222  mammogram mass #1 of inferior lateral quadrant of left breast BI-RADS category (procedure)
C2140223  mammogram mass #1 of inferior medial quadrant of left breast BI-RADS category (procedure)
C2140224  mammogram mass #2 of inferior medial quadrant of left breast BI-RADS category
C2140225  mammogram mass #3 of inferior medial quadrant of left breast BI-RADS category (procedure)
C2140226  mammogram mass #1 of superior lateral quadrant of left breast BI-RADS category
C2140227  mammogram mass #2 of superior lateral quadrant of left breast BI-RADS category (procedure)
C2140228  mammogram mass #3 of superior lateral quadrant of left breast BI-RADS category
C2140229  mammogram mass #1 of superior medial quadrant of left breast BI-RADS category
C2140230  mammogram mass #2 of superior medial quadrant of left breast BI-RADS category
C2140231  mammogram mass #3 of superior medial quadrant of left breast BI-RADS category (procedure)
C2140255  puncture of left breast consistent with bullet entry wound with gunpowder residue (physical finding)
C2140256  left breast tissue puncture consist with bullet entry wound
C2140257  left breast tissue puncture consistent w/ bullet exit wound
C2140258  left breast tissue puncture consistent w/ entry bullet #___
C2140259  puncture of left breast consistent with entry wound of multiple bullets
C2140260  left breast tissue puncture consistent w/ exit bullet # ___
C2140261  puncture of left breast consistent with exit wound of multiple bullets (physical finding)
C2140262  left breast tissue injury puncture ice pick
C2140263  puncture of left breast consistent with entry wound of specified shrapnel fragment (#___) (physical finding)
C2140264  puncture of left breast consistent with entry wound of multiple shrapnel fragments
C2140265  puncture of left breast consistent with shrapnel entry wound (physical finding)
C2140266  puncture of left breast consistent with exit wound of specified shrapnel fragment (#___)
C2140267  puncture of left breast consistent with exit wound of multiple shrapnel fragments (physical finding)
C2140268  puncture of left breast consistent with shrapnel exit wound
C2140272  mammogram microcalcifications of superior lateral quadrant of left breast
C2140273  mammogram microcalcification of superior medial quadrant of left breast (procedure)
C2140275  incision of left breast with arterial bleeding (physical finding)
C2140276  inferior lateral to superior medial incision of left breast (physical finding)
C2140277  superior lateral to inferior medial incision of left breast (physical finding)
C2140278  incision of left breast with specified daily tube drainage
C2140279  incision of left breast with specified hourly tube drainage
C2140280  incision of left breast with specified total tube drainage
C2140281  incision of left breast with uniform healing ridge
C2140282  foul-smelling weeping incision of left breast (physical finding)
C2140283  serosanguineous drainage from incision of left breast
C2140284  incision of left breast with well-opposed edges
C2140288  bite of left breast (physical finding)
C2140290  incision of left breast
C2140291  incision of left breast with aligned margins
C2140292  bleeding incision of left breast (physical finding)
C2140293  incision of left breast with tissue bleeding (physical finding)
C2140294  incision of left breast with venous bleeding
C2140295  clean incision of left breast (physical finding)
C2140296  deep incision of left breast
C2140297  dehiscence of incision of left breast (physical finding)
C2140298  depth of incision of left breast
C2140299  direction of incision of left breast (physical finding)
C2140300  horizontal incision of left breast (physical finding)
C2140301  vertical incision of left breast
C2140302  dry incision of left breast
C2140303  edges of incision of left breast
C2140304  incision of left breast with ragged edges (physical finding)
C2140305  erythematous incision of left breast
C2140306  incision of left breast extending into muscle
C2140307  incision of left breast extending to bone
C2140308  incision of left breast extending to fascia
C2140309  full thickness incision of left breast (physical finding)
C2140310  indurated incision of left breast (physical finding)
C2140311  length of incision of left breast (physical finding)
C2140312  macerated incision of left breast (physical finding)
C2140313  open incision of left breast (physical finding)
C2140314  shape of incision of left breast (physical finding)
C2140315  angulated incision of left breast
C2140316  L-shaped incision of left breast (physical finding)
C2140317  left breast tissue injury incision shape angulated V-shaped
C2140318  Y-shaped incision of left breast
C2140319  curvilinear incision of left breast
C2140320  left breast tissue injury incision shape irregular
C2140321  left breast tissue injury incision shape jagged
C2140322  left breast tissue injury incision shape straight
C2140323  incision of left breast with staples in place (physical finding)
C2140324  incision of left breast with sterile strips in place
C2140325  subcutaneous incision of left breast (physical finding)
C2140326  superficial incision of left breast
C2140327  incision of left breast with sutures in place
C2140328  tube drainage of incision of left breast
C2140329  unclean incision of left breast (physical finding)
C2140330  weeping incision of left breast
C2140331  bloody incision of left breast
C2140332  weeping purulent incision of left breast (physical finding)
C2140333  serous drainage from incision of left breast
C2140334  well-healed incision of left breast (physical finding)
C2140335  width of incision of left breast
C2140339  puncture of left breast (physical finding)
C2140340  puncture of left breast with erythema (physical finding)
C2140341  puncture of left breast by knife (physical finding)
C2140342  puncture of left breast by nail (physical finding)
C2140343  puncture of left breast by needle
C2140344  puncture of left breast by multiple needles (physical finding)
C2140345  puncture of left breast by single needle (physical finding)
C2140346  puncture of left breast with swelling (physical finding)
C2140347  puncture of left breast with tenderness (physical finding)
C2140376  avulsion of left breast (physical finding)
C2140390  weeping wound of left breast
C2140391  bloody wound of left breast (physical finding)
C2140392  purulent wound of left breast (physical finding)
C2140393  serous drainage from wound of left breast
C2140397  ultrasound breast abscess left breast
C2140398  ultrasound abscess left breast inferior lateral quadrant
C2140399  ultrasound abscess left breast inferior medial quadrant
C2140400  ultrasound abscess left breast superior lateral quadrant
C2140401  ultrasound abscess left breast superior medial quadrant
C2140402  ultrasound breast mass left breast
C2140405  wound bed of left breast with hard black eschar
C2140409  wound bed of left breast with soft black eschar (physical finding)
C2140424  ecchymotic tissue surrounding wound of left breast (physical finding)
C2140430  tender tissue surrounding wound of left breast (physical finding)
C2140436  foul-smelling weeping wound of left breast
C2140437  serosanguineous drainage from wound of left breast
C2140574  left costovertebral angle tenderness
C2140575  left cryptorchidism (physical finding)
C2140788  left ectopic testis (physical finding)
C2140789  left ectopic testis in high scrotal position
C2140790  left ectopic testis in inguinal region (physical finding)
C2140791  left ectopic testis in perineum (physical finding)
C2141003  epididymis mass left
C2142132  scrotum hydrocele on the left
C2142690  nodule or hard area of both sides of prostate (physical finding)
C2142691  nodule or hard area of both sides of prostate at apex (physical finding)
C2142692  nodule or hard area of both sides of prostate at base (physical finding)
C2142693  nodule or hard area of both sides of prostate in middle (physical finding)
C2142694  multiple nodules or hard areas of prostate (physical finding)
C2142695  prostate hard area or nodule multiple largest (___ cm)
C2142696  total number of multiple hard areas or nodules of prostate (#___) (physical finding)
C2142697  nodule or hard area of prostate on left
C2142698  nodule or hard area at apex of prostate on left
C2142699  nodule or hard area at base of prostate on left
C2142700  nodule or hard area in middle of prostate on left
C2142701  nodule or hard area of prostate on right
C2142702  nodule or hard area at apex of prostate on right
C2142703  nodule or hard area at base of prostate on right
C2142704  nodule or hard area in middle of prostate on right
C2142705  prostate hard area or nodule single (___ cm)
C2142706  nodule or hard area of prostate with postvoiding residual urine (physical finding)
C2142713  prostate hard area or nodule
C2142781  proximal dorsal extent of angulated penile erection in degrees
C2142784  proximal lateral extent of angulated penile erection in degrees
C2142785  proximal lateral extent of angulated penile erection to left in degrees
C2142786  proximal lateral extent of angulated penile erection to right in degrees
C2142801  proximal tenderness of lateral shaft of penis (physical finding)
C2142802  proximal tenderness of left lateral shaft of penis
C2142803  penis tenderness shaft lateral proximal right
C2142804  penis erection angulated ventral proximal (___ degrees)
C2143118  pubertal maturation scrotal skin
C2143119  pubertal maturation scrotal skin adult pigmentation
C2143120  pubertal maturation scrotal skin adult rugae thickening (physical finding)
C2143121  pubertal penis development (physical finding)
C2143122  pubertal penis length
C2143123  pubertal scrotal development
C2143124  pubertal scrotal enlargement (physical finding)
C2143125  pubertal testicular development
C2143126  pubertal testicular size
C2143375  purpura on the chest areola
C2143385  purpura on both areolae (physical finding)
C2143399  purpura labia bilateral
C2143405  purpura on both nipples
C2143498  purpura on the breasts left inferior lateral quadrant
C2143499  purpura on inferior lateral quadrant of right breast
C2143500  purpura on inferior medial quadrant of left breast (physical finding)
C2143501  purpura on inferior medial quadrant of right breast (physical finding)
C2143504  purpura on labia
C2143545  purpura on left areola (physical finding)
C2143548  purpura on the breasts left
C2143568  purpura on left labia (physical finding)
C2143594  purpura on left nipple (physical finding)
C2143676  purpura on nipple
C2143752  purpura on right areola (physical finding)
C2143755  purpura on right breast (physical finding)
C2143775  purpura on right labia (physical finding)
C2143801  purpura on right nipple
C2143838  purpura on superior lateral quadrant of left breast
C2143839  purpura on superior lateral quadrant of right breast
C2143840  purpura on superior medial quadrant of left breast (physical finding)
C2143841  purpura on superior medial quadrant of right breast (physical finding)
C2143910  purpura was seen on the scrotum
C2143911  purpura of anterior aspect of scrotum
C2143912  purpura of left side of scrotum
C2143913  purpura of posterior aspect of scrotum (physical finding)
C2143914  purpura of right side of scrotum (physical finding)
C2143915  purpura was seen on the entire vulva
C2143916  purpura of left side of vulva (physical finding)
C2143917  purpura of right side of vulva
C2143930  purulent cervical discharge
C2143931  purulent cervical discharge with fundal tenderness
C2144017  pustules on areola (physical finding)
C2144027  pustules on both areolae (physical finding)
C2144029  pustules on both breasts (physical finding)
C2145478  translucent mass of epididymis (physical finding)
C2145479  translucent testicular mass
C2145711  ultrasound trans-vaginal umbilical cord single artery
C2154010  skin fissure on breast (physical finding)
C2154011  skin fissure on right breast (physical finding)
C2154012  skin fissure on superior lateral quadrant of right breast
C2154013  skin fissure on inferior lateral quadrant of right breast (physical finding)
C2154014  skin fissure on superior medial quadrant of right breast
C2154015  skin fissure on inferior medial quadrant of right breast
C2154016  skin fissure on left breast (physical finding)
C2154017  skin fissure on superior lateral quadrant of left breast
C2154018  skin fissure on inferior lateral quadrant of left breast
C2154019  skin fissure on superior medial quadrant of left breast
C2154020  skin fissure on inferior medial quadrant of left breast
C2154021  skin fissure on both breasts (physical finding)
C2154022  skin fissure on nipple (physical finding)
C2154023  skin fissure on right nipple (physical finding)
C2154024  skin fissure on left nipple (physical finding)
C2154025  skin fissure on both nipples (physical finding)
C2154026  skin fissure on areola
C2154027  skin fissure on right areola
C2154028  skin fissure on left areola (physical finding)
C2154029  skin fissure on both areolae
C2154066  skin fissure of scrotum
C2154067  skin fissure of right side of scrotum (physical finding)
C2154068  skin fissure of left side of scrotum
C2154069  skin fissure of anterior aspect of scrotum
C2154070  skin fissure of posterior aspect of scrotum
C2154086  skin fissure on labia (physical finding)
C2154087  skin fissure on right labia (physical finding)
C2154088  skin fissure on left labia
C2154089  skin fissure on labia bilaterally
C2154613  skin erosion on breast (physical finding)
C2154614  skin erosion on right breast (physical finding)
C2154615  skin erosion on superior lateral quadrant of right breast (physical finding)
C2154616  skin erosion on inferior lateral quadrant of right breast (physical finding)
C2154617  skin erosion on superior medial quadrant of right breast (physical finding)
C2154618  skin erosion on inferior medial quadrant of right breast (physical finding)
C2154619  skin erosion on left breast (physical finding)
C2154620  skin erosion on superior lateral quadrant of left breast
C2154621  skin erosion on inferior lateral quadrant of left breast (physical finding)
C2154622  skin erosion on superior medial quadrant of left breast (physical finding)
C2154623  skin erosion on inferior medial quadrant of left breast (physical finding)
C2154624  skin erosion on both breasts
C2154625  skin erosion on nipple
C2154626  skin erosion on right nipple (physical finding)
C2154627  skin erosion on left nipple
C2154628  skin erosion on both nipples (physical finding)
C2154629  skin erosion on areola
C2154630  skin erosion on right areola (physical finding)
C2154631  skin erosion on left areola (physical finding)
C2154632  skin erosion on both areolae (physical finding)
C2154669  skin erosion of scrotum
C2154670  skin erosion of right side of scrotum (physical finding)
C2154671  skin erosion of left side of scrotum
C2154672  skin erosion of anterior aspect of scrotum (physical finding)
C2154673  skin erosion of posterior aspect of scrotum
C2155212  macule on breast
C2155213  macule on right breast (physical finding)
C2155214  macule on the breasts right superior lateral quadrant
C2155215  macule on inferior lateral quadrant of right breast (physical finding)
C2155216  macule on the breast right superior medial quadrant
C2155217  macule on the breasts right inferior medial quadrant
C2155218  macule on the breasts left
C2155219  macule on the breasts left superior lateral quadrant
C2155220  macule on the breasts left inferior lateral quadrant
C2155221  macule on the breasts left superior medial quadrant
C2155222  macule on inferior medial quadrant of left breast (physical finding)
C2155223  macule on both breasts
C2155224  macule on nipple (physical finding)
C2155225  macule on right nipple (physical finding)
C2155226  macule on left nipple (physical finding)
C2155227  macule on both nipples (physical finding)
C2155228  macule on areola
C2155229  macule on right areola (physical finding)
C2155230  macule on left areola (physical finding)
C2155231  macule on both areolae (physical finding)
C2155268  macule of scrotum (physical finding)
C2155269  macule of right side of scrotum
C2155270  macule of left side of scrotum (physical finding)
C2155271  macule of anterior aspect of scrotum (physical finding)
C2155272  macule of posterior aspect of scrotum (physical finding)
C2155288  macule on labia
C2155289  macule on right labia (physical finding)
C2155290  macule on left labia (physical finding)
C2155291  macule on both labia (physical finding)
C2155847  vesicle on breast (physical finding)
C2155848  vesicle on right breast
C2155849  vesicle on superior lateral quadrant of right breast
C2155850  vesicle on inferior lateral quadrant of right breast
C2155851  vesicle on superior medial quadrant of right breast (physical finding)
C2155852  vesicle on inferior medial quadrant of right breast (physical finding)
C2155853  vesicle on left breast (physical finding)
C2155854  vesicle on the breasts left superior lateral quadrant
C2155855  vesicle on the breasts left inferior lateral quadrant
C2155856  vesicle on the breasts left superior medial quadrant
C2155857  vesicle on inferior medial quadrant of left breast (physical finding)
C2155858  vesicle on both breasts (physical finding)
C2155859  vesicle on nipple
C2155860  vesicle on the chest nipple(s) right
C2155861  vesicle on left nipple (physical finding)
C2155862  vesicle on both nipples (physical finding)
C2155863  vesicle on areola
C2155864  vesicle on right areola (physical finding)
C2155865  vesicle on left areola (physical finding)
C2155866  vesicle on both areolae (physical finding)
C2155903  vesicle of scrotum (physical finding)
C2155904  vesicle of right side of scrotum (physical finding)
C2155905  vesicle of left side of scrotum (physical finding)
C2155906  vesicle of anterior aspect of scrotum
C2155907  vesicle of posterior aspect of scrotum
C2155924  vesicle on the labial
C2155925  vesicle on the labia right
C2155926  vesicle on left labia (physical finding)
C2155927  vesicle on the labia bilateral
C2156453  bullae on breast (physical finding)
C2156454  bullae on right breast
C2156455  bullae on superior lateral quadrant of right breast
C2156456  bullae on inferior lateral quadrant of right breast (physical finding)
C2156457  bullae on superior medial quadrant of right breast (physical finding)
C2156458  bullae on inferior medial quadrant of right breast
C2156459  bullae on left breast (physical finding)
C2156460  bullae on superior lateral quadrant of left breast
C2156461  bullae on inferior lateral quadrant of left breast (physical finding)
C2156462  bullae on superior medial quadrant left breast (physical finding)
C2156463  bullae on inferior medial quadrant of left breast (physical finding)
C2156464  bullae on both breasts (physical finding)
C2156465  bullae on nipple
C2156466  bullae on right nipple (physical finding)
C2156467  bullae on left nipple (physical finding)
C2156468  bullae on both nipples (physical finding)
C2156469  bullae on areola
C2156470  bullae on right areola (physical finding)
C2156471  bullae on left areola (physical finding)
C2156472  bullae on both areolae
C2156509  bullae on scrotum
C2156510  bullae on right scrotum
C2156511  bullae on left scrotum (physical finding)
C2156512  bullae of anterior aspect of scrotum (physical finding)
C2156513  bullae of posterior aspect of scrotum
C2156529  bullae on labia (physical finding)
C2156530  bullae on right labia
C2156531  bullae on left labia
C2156532  bullae on labia bilaterally (physical finding)
C2157501  excoriation on breast (physical finding)
C2157502  excoriation on the breasts right
C2157503  excoriation on the breasts right superior lateral quadrant
C2157504  excoriation on inferior lateral quadrant of right breast (physical finding)
C2157505  excoriation on superior medial quadrant of right breast (physical finding)
C2157506  excoriation on the breasts right inferior medial quadrant
C2157507  excoriation on left breast
C2157508  excoriation on superior lateral quadrant of left breast
C2157509  excoriation on inferior lateral quadrant of left breast
C2157510  excoriation on the breasts left superior medial quadrant
C2157511  excoriation on the breasts left inferior medial quadrant
