C0003107  Anogenital pruritus
C2232200  skin crust of medial aspect of left thigh (symptom)
C2232201  skin crust of lateral aspect of left thigh
C2232202  skin crust of both thighs (symptom)
C2232203  skin crust of anterior aspect of both thighs (symptom)
C2232204  skin crust of posterior aspect of both thighs (symptom)
C2232205  skin crust of medial aspect of both thighs (symptom)
C2232206  skin crust of lateral aspect of both thighs
C2232207  skin crust of knee (symptom)
C2232208  skin crust of right knee (symptom)
C2232209  skin crust of anterior aspect of right knee
C2232210  skin crust of posterior aspect of right knee
C2232211  skin crust of medial aspect of right knee
C2232212  skin crust of lateral aspect of right knee (symptom)
C2232213  skin crust of left knee (symptom)
C2232214  skin crust of anterior aspect of left knee (symptom)
C2232215  skin crust of posterior aspect of left knee
C2232216  skin crust of medial aspect of left knee (symptom)
C2232217  skin crust of lateral aspect of left knee
C2232218  skin crust of both knees (symptom)
C2232219  skin crust of anterior aspect of both knees (symptom)
C2232220  skin crust of posterior aspect of both knees (symptom)
C2232221  skin crust of medial aspect of both knees
C2232222  skin crust of lateral aspect of both knees (symptom)
C2232223  skin crust of shin (symptom)
C2232224  skin crust of right shin
C2232225  skin crust of left shin
C2232226  skin crust of both shins (symptom)
C2232227  skin crust of calf (symptom)
C2232228  skin crust of right calf (symptom)
C2232229  skin crust of left calf (symptom)
C2232230  skin crust of both calves
C2232231  skin crust of ankle
C2232232  skin crust of right ankle
C2232233  skin crust of anterior aspect of right ankle (symptom)
C2232234  skin crust of posterior aspect of right ankle (symptom)
C2232235  skin crust of medial aspect of right ankle
C2232236  skin crust of lateral aspect of right ankle
C2232237  skin crust of left ankle
C2232238  skin crust of anterior aspect of left ankle (symptom)
C2232239  skin crust of posterior aspect of left ankle (symptom)
C2232240  skin crust of medial aspect of left ankle
C2232241  skin crust of lateral aspect of left ankle (symptom)
C2232242  skin crust of both ankles
C2232243  skin crust of anterior aspect of both ankles
C2232244  skin crust of posterior aspect of both ankles (symptom)
C2232245  skin crust of medial aspect of both ankles
C2232246  skin crust of lateral aspect of both ankles (symptom)
C2232247  skin crust of foot (symptom)
C2232248  skin crust of right foot
C2232249  skin crust of top of right foot
C2232250  skin crust of sole of right foot
C2232251  skin crust of medial aspect of right foot (symptom)
C2232252  skin crust of lateral aspect of right foot (symptom)
C2232253  skin crusts of right foot with moccasin distribution (symptom)
C2232254  skin crust of left foot (symptom)
C2232255  skin crust of top of left foot
C2232256  skin crust of sole of left foot
C2232257  skin crust of medial aspect of left foot
C2232258  skin crust of lateral aspect of left foot
C2232259  skin crusts of left foot with moccasin distribution
C2232260  skin crust of both feet
C2232261  skin crust of top of both feet
C2232262  skin crust of soles of both feet
C2232263  skin crust of medial aspect of both feet
C2232264  skin crust of lateral aspect of both feet
C2232265  skin crusts of both feet with moccasin distribution (symptom)
C2232266  skin crust of toe
C2232267  skin crust of toe of right foot (symptom)
C2232268  skin crust of great toe of right foot
C2232269  skin crust of second toe of right
C2232270  skin crust of third toe of right foot (symptom)
C2232271  skin crust of fourth toe of right foot (symptom)
C2232272  skin crust of little toe of right foot
C2232273  skin crust of toe of left foot (symptom)
C2232274  skin crust of great toe of left foot
C2232275  skin crust of second toe of left foot (symptom)
C2232276  skin crust of third toe of left foot (symptom)
C2232277  skin crust of fourth toe of left foot
C2232278  skin crust of little toe of left foot
C2232279  skin crust between toes (symptom)
C2232280  skin crust between toes of right foot (symptom)
C2232281  skin crust between toes of left foot
C2232282  skin crust between toes of both feet (symptom)
C2232709  brown spots on the gums
C2232712  numbness of right upper lip (symptom)
C2232713  numbness of left upper lip (symptom)
C2232714  numbness of entire upper lip
C2232715  numbness of right lower lip (symptom)
C2232716  numbness of left lower lip (symptom)
C2232717  numbness of entire lower lip (symptom)
C2232743  numbness of dorsum of right forearm (symptom)
C2232744  numbness of volar aspect of right forearm (symptom)
C2232745  numbness of dorsum of left forearm
C2232746  numbness of volar aspect of left forearm
C2232747  numbness of dorsum of both forearms
C2232748  numbness of volar aspect of both forearms
C2232749  numbness of outer aspect of lower right leg
C2232750  numbness of inner aspect of lower right leg (symptom)
C2232751  numbness of outer aspect of lower left leg
C2232752  numbness of inner aspect of lower left leg (symptom)
C2232754  numbness of eyebrow region (symptom)
C2232755  numbness of right eyebrow region
C2232756  numbness of left eyebrow region (symptom)
C2232757  numbness of eyebrow region on both sides (symptom)
C2233386  skin rash of right breast (symptom)
C2233387  skin rash of right upper outer breast
C2233388  skin rash of right lower outer breast
C2233389  skin rash of right upper inner breast (symptom)
C2233390  skin rash of right lower inner breast
C2233391  skin rash of left breast (symptom)
C2233392  skin rash of left upper outer breast (symptom)
C2233393  skin rash of left lower outer breast
C2233394  skin rash of left upper inner breast
C2233395  skin rash of left lower inner breast
C2233396  skin rash of right upper chest (symptom)
C2233397  skin rash of left upper chest (symptom)
C2233398  skin rash of right lower chest
C2233399  skin rash of left lower chest (symptom)
C2233400  skin rash of entire chest
C2233401  skin rash of right upper abdomen (symptom)
C2233402  skin rash of left upper abdomen
C2233403  skin rash of right lower abdomen
C2233404  skin rash of left lower abdomen (symptom)
C2233405  skin rash of middle abdomen (symptom)
C2233406  skin rash of entire abdomen
C2233623  eyebrows are bleeding
C2242996  Tingling sensation
C2243108  symptoms of the nails of toes
C2609319  Papulopustular rash
C2711130  [D]Subungual swelling (context-dependent category)
C2985318  Pregnancy Related Skin Change
C3266098  Numbness of saddle area (finding)
C3469466  tingling of the lateral left ankle (symptom)
C3469467  tingling of the lateral right ankle (symptom)
C3472693  Numbness and tingling sensation of skin
C3506376  skin wound red
C3506377  skin wound tender to touch
